# Jet breakup length measurement
# Input         : C:\Users\taran\Downloads\metingen_09-06-2026\Measurement_11(3050).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 480 px  (20.000 mm)
# Scale         : 24 px/mm
# FPS           : 5000.0
# Threshold     : 160
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	579	700.0	29.1667
1	0.000200	559	720.0	30.0000
2	0.000400	561	718.0	29.9167
3	0.000600	561	718.0	29.9167
4	0.000800	541	738.0	30.7500
5	0.001000	615	664.0	27.6667
6	0.001200	615	664.0	27.6667
7	0.001400	597	682.0	28.4167
8	0.001600	593	686.0	28.5833
9	0.001800	575	704.0	29.3333
10	0.002000	569	710.0	29.5833
11	0.002200	567	712.0	29.6667
12	0.002400	567	712.0	29.6667
13	0.002600	563	716.0	29.8333
14	0.002800	543	736.0	30.6667
15	0.003000	523	756.0	31.5000
16	0.003200	567	712.0	29.6667
17	0.003400	569	710.0	29.5833
18	0.003600	549	730.0	30.4167
19	0.003800	531	748.0	31.1667
20	0.004000	525	754.0	31.4167
21	0.004200	531	748.0	31.1667
22	0.004400	571	708.0	29.5000
23	0.004600	555	724.0	30.1667
24	0.004800	557	722.0	30.0833
25	0.005000	557	722.0	30.0833
26	0.005200	555	724.0	30.1667
27	0.005400	535	744.0	31.0000
28	0.005600	531	748.0	31.1667
29	0.005800	559	720.0	30.0000
30	0.006000	557	722.0	30.0833
31	0.006200	573	706.0	29.4167
32	0.006400	573	706.0	29.4167
33	0.006600	557	722.0	30.0833
34	0.006800	557	722.0	30.0833
35	0.007000	559	720.0	30.0000
36	0.007200	541	738.0	30.7500
37	0.007400	537	742.0	30.9167
38	0.007600	569	710.0	29.5833
39	0.007800	605	674.0	28.0833
40	0.008000	602	677.0	28.2083
41	0.008200	585	694.0	28.9167
42	0.008400	581	698.0	29.0833
43	0.008600	561	718.0	29.9167
44	0.008800	557	722.0	30.0833
45	0.009000	537	742.0	30.9167
46	0.009200	535	744.0	31.0000
47	0.009400	513	766.0	31.9167
48	0.009600	497	782.0	32.5833
49	0.009800	478	801.0	33.3750
50	0.010000	531	748.0	31.1667
51	0.010200	533	746.0	31.0833
52	0.010400	607	672.0	28.0000
53	0.010600	589	690.0	28.7500
54	0.010800	569	710.0	29.5833
55	0.011000	597	682.0	28.4167
56	0.011200	597	682.0	28.4167
57	0.011400	577	702.0	29.2500
58	0.011600	573	706.0	29.4167
59	0.011800	553	726.0	30.2500
60	0.012000	535	744.0	31.0000
61	0.012200	517	762.0	31.7500
62	0.012400	569	710.0	29.5833
63	0.012600	567	712.0	29.6667
64	0.012800	583	696.0	29.0000
65	0.013000	579	700.0	29.1667
66	0.013200	561	718.0	29.9167
67	0.013400	569	710.0	29.5833
68	0.013600	567	712.0	29.6667
69	0.013800	549	730.0	30.4167
70	0.014000	545	734.0	30.5833
71	0.014200	565	714.0	29.7500
72	0.014400	587	692.0	28.8333
73	0.014600	567	712.0	29.6667
74	0.014800	565	714.0	29.7500
75	0.015000	602	677.0	28.2083
76	0.015200	602	677.0	28.2083
77	0.015400	601	678.0	28.2500
78	0.015600	581	698.0	29.0833
79	0.015800	581	698.0	29.0833
80	0.016000	563	716.0	29.8333
81	0.016200	559	720.0	30.0000
82	0.016400	609	670.0	27.9167
83	0.016600	609	670.0	27.9167
84	0.016800	589	690.0	28.7500
85	0.017000	571	708.0	29.5000
86	0.017200	567	712.0	29.6667
87	0.017400	567	712.0	29.6667
88	0.017600	569	710.0	29.5833
89	0.017800	549	730.0	30.4167
90	0.018000	531	748.0	31.1667
91	0.018200	559	720.0	30.0000
92	0.018400	539	740.0	30.8333
93	0.018600	521	758.0	31.5833
94	0.018800	515	764.0	31.8333
95	0.019000	559	720.0	30.0000
96	0.019200	595	684.0	28.5000
97	0.019400	577	702.0	29.2500
98	0.019600	559	720.0	30.0000
99	0.019800	577	702.0	29.2500
100	0.020000	559	720.0	30.0000
101	0.020200	559	720.0	30.0000
102	0.020400	563	716.0	29.8333
103	0.020600	559	720.0	30.0000
104	0.020800	559	720.0	30.0000
105	0.021000	555	724.0	30.1667
106	0.021200	555	724.0	30.1667
107	0.021400	557	722.0	30.0833
108	0.021600	557	722.0	30.0833
109	0.021800	561	718.0	29.9167
110	0.022000	583	696.0	29.0000
111	0.022200	585	694.0	28.9167
112	0.022400	565	714.0	29.7500
113	0.022600	545	734.0	30.5833
114	0.022800	577	702.0	29.2500
115	0.023000	559	720.0	30.0000
116	0.023200	611	668.0	27.8333
117	0.023400	611	668.0	27.8333
118	0.023600	593	686.0	28.5833
119	0.023800	591	688.0	28.6667
120	0.024000	589	690.0	28.7500
121	0.024200	571	708.0	29.5000
122	0.024400	552	727.0	30.2917
123	0.024600	543	736.0	30.6667
124	0.024800	524	755.0	31.4583
125	0.025000	505	774.0	32.2500
126	0.025200	515	764.0	31.8333
127	0.025400	527	752.0	31.3333
128	0.025600	615	664.0	27.6667
129	0.025800	598	681.0	28.3750
130	0.026000	595	684.0	28.5000
131	0.026200	577	702.0	29.2500
132	0.026400	557	722.0	30.0833
133	0.026600	591	688.0	28.6667
134	0.026800	589	690.0	28.7500
135	0.027000	569	710.0	29.5833
136	0.027200	635	644.0	26.8333
137	0.027400	619	660.0	27.5000
138	0.027600	-1	0.0	0.0000
139	0.027800	792	487.0	20.2917
140	0.028000	-1	0.0	0.0000
141	0.028200	798	481.0	20.0417
142	0.028400	777	502.0	20.9167
143	0.028600	775	504.0	21.0000
144	0.028800	758	521.0	21.7083
145	0.029000	739	540.0	22.5000
146	0.029200	718	561.0	23.3750
147	0.029400	697	582.0	24.2500
148	0.029600	678	601.0	25.0417
149	0.029800	660	619.0	25.7917
150	0.030000	663	616.0	25.6667
151	0.030200	645	634.0	26.4167
152	0.030400	626	653.0	27.2083
153	0.030600	607	672.0	28.0000
154	0.030800	587	692.0	28.8333
155	0.031000	567	712.0	29.6667
156	0.031200	587	692.0	28.8333
157	0.031400	585	694.0	28.9167
158	0.031600	609	670.0	27.9167
159	0.031800	609	670.0	27.9167
160	0.032000	607	672.0	28.0000
161	0.032200	587	692.0	28.8333
162	0.032400	570	709.0	29.5417
163	0.032600	551	728.0	30.3333
164	0.032800	577	702.0	29.2500
165	0.033000	575	704.0	29.3333
166	0.033200	555	724.0	30.1667
167	0.033400	571	708.0	29.5000
168	0.033600	569	710.0	29.5833
169	0.033800	567	712.0	29.6667
170	0.034000	585	694.0	28.9167
171	0.034200	567	712.0	29.6667
172	0.034400	563	716.0	29.8333
173	0.034600	543	736.0	30.6667
174	0.034800	602	677.0	28.2083
175	0.035000	601	678.0	28.2500
176	0.035200	583	696.0	29.0000
177	0.035400	565	714.0	29.7500
178	0.035600	595	684.0	28.5000
179	0.035800	593	686.0	28.5833
180	0.036000	575	704.0	29.3333
181	0.036200	573	706.0	29.4167
182	0.036400	553	726.0	30.2500
183	0.036600	535	744.0	31.0000
184	0.036800	525	754.0	31.4167
185	0.037000	507	772.0	32.1667
186	0.037200	517	762.0	31.7500
187	0.037400	500	779.0	32.4583
188	0.037600	531	748.0	31.1667
189	0.037800	563	716.0	29.8333
190	0.038000	563	716.0	29.8333
191	0.038200	543	736.0	30.6667
192	0.038400	561	718.0	29.9167
193	0.038600	577	702.0	29.2500
194	0.038800	575	704.0	29.3333
195	0.039000	573	706.0	29.4167
196	0.039200	553	726.0	30.2500
197	0.039400	535	744.0	31.0000
198	0.039600	529	750.0	31.2500
199	0.039800	527	752.0	31.3333
200	0.040000	509	770.0	32.0833
201	0.040200	503	776.0	32.3333
202	0.040400	543	736.0	30.6667
203	0.040600	505	774.0	32.2500
204	0.040800	553	726.0	30.2500
205	0.041000	571	708.0	29.5000
206	0.041200	569	710.0	29.5833
207	0.041400	549	730.0	30.4167
208	0.041600	613	666.0	27.7500
209	0.041800	613	666.0	27.7500
210	0.042000	611	668.0	27.8333
211	0.042200	593	686.0	28.5833
212	0.042400	591	688.0	28.6667
213	0.042600	571	708.0	29.5000
214	0.042800	553	726.0	30.2500
215	0.043000	549	730.0	30.4167
216	0.043200	545	734.0	30.5833
217	0.043400	527	752.0	31.3333
218	0.043600	573	706.0	29.4167
219	0.043800	573	706.0	29.4167
220	0.044000	553	726.0	30.2500
221	0.044200	585	694.0	28.9167
222	0.044400	587	692.0	28.8333
223	0.044600	585	694.0	28.9167
224	0.044800	567	712.0	29.6667
225	0.045000	567	712.0	29.6667
226	0.045200	567	712.0	29.6667
227	0.045400	549	730.0	30.4167
228	0.045600	587	692.0	28.8333
229	0.045800	587	692.0	28.8333
230	0.046000	567	712.0	29.6667
231	0.046200	565	714.0	29.7500
232	0.046400	545	734.0	30.5833
233	0.046600	545	734.0	30.5833
234	0.046800	567	712.0	29.6667
235	0.047000	585	694.0	28.9167
236	0.047200	581	698.0	29.0833
237	0.047400	561	718.0	29.9167
238	0.047600	541	738.0	30.7500
239	0.047800	524	755.0	31.4583
240	0.048000	503	776.0	32.3333
241	0.048200	484	795.0	33.1250
242	0.048400	557	722.0	30.0833
243	0.048600	537	742.0	30.9167
244	0.048800	520	759.0	31.6250
245	0.049000	515	764.0	31.8333
246	0.049200	559	720.0	30.0000
247	0.049400	559	720.0	30.0000
248	0.049600	557	722.0	30.0833
249	0.049800	597	682.0	28.4167
250	0.050000	597	682.0	28.4167
251	0.050200	577	702.0	29.2500
252	0.050400	575	704.0	29.3333
253	0.050600	555	724.0	30.1667
254	0.050800	551	728.0	30.3333
255	0.051000	551	728.0	30.3333
256	0.051200	529	750.0	31.2500
257	0.051400	581	698.0	29.0833
258	0.051600	583	696.0	29.0000
259	0.051800	563	716.0	29.8333
260	0.052000	559	720.0	30.0000
261	0.052200	539	740.0	30.8333
262	0.052400	589	690.0	28.7500
263	0.052600	587	692.0	28.8333
264	0.052800	601	678.0	28.2500
265	0.053000	583	696.0	29.0000
266	0.053200	581	698.0	29.0833
267	0.053400	561	718.0	29.9167
268	0.053600	543	736.0	30.6667
269	0.053800	523	756.0	31.5000
270	0.054000	531	748.0	31.1667
271	0.054200	514	765.0	31.8750
272	0.054400	535	744.0	31.0000
273	0.054600	509	770.0	32.0833
274	0.054800	515	764.0	31.8333
275	0.055000	559	720.0	30.0000
276	0.055200	559	720.0	30.0000
277	0.055400	585	694.0	28.9167
278	0.055600	567	712.0	29.6667
279	0.055800	561	718.0	29.9167
280	0.056000	543	736.0	30.6667
281	0.056200	525	754.0	31.4167
282	0.056400	533	746.0	31.0833
283	0.056600	513	766.0	31.9167
284	0.056800	541	738.0	30.7500
285	0.057000	541	738.0	30.7500
286	0.057200	523	756.0	31.5000
287	0.057400	504	775.0	32.2917
288	0.057600	561	718.0	29.9167
289	0.057800	541	738.0	30.7500
290	0.058000	523	756.0	31.5000
291	0.058200	515	764.0	31.8333
292	0.058400	613	666.0	27.7500
293	0.058600	595	684.0	28.5000
294	0.058800	591	688.0	28.6667
295	0.059000	589	690.0	28.7500
296	0.059200	587	692.0	28.8333
297	0.059400	583	696.0	29.0000
298	0.059600	621	658.0	27.4167
299	0.059800	602	677.0	28.2083
300	0.060000	599	680.0	28.3333
301	0.060200	579	700.0	29.1667
302	0.060400	561	718.0	29.9167
303	0.060600	569	710.0	29.5833
304	0.060800	551	728.0	30.3333
305	0.061000	545	734.0	30.5833
306	0.061200	527	752.0	31.3333
307	0.061400	551	728.0	30.3333
308	0.061600	551	728.0	30.3333
309	0.061800	545	734.0	30.5833
310	0.062000	529	750.0	31.2500
311	0.062200	531	748.0	31.1667
312	0.062400	511	768.0	32.0000
313	0.062600	513	766.0	31.9167
314	0.062800	527	752.0	31.3333
315	0.063000	573	706.0	29.4167
316	0.063200	555	724.0	30.1667
317	0.063400	577	702.0	29.2500
318	0.063600	577	702.0	29.2500
319	0.063800	559	720.0	30.0000
320	0.064000	555	724.0	30.1667
321	0.064200	537	742.0	30.9167
322	0.064400	517	762.0	31.7500
323	0.064600	579	700.0	29.1667
324	0.064800	577	702.0	29.2500
325	0.065000	573	706.0	29.4167
326	0.065200	589	690.0	28.7500
327	0.065400	571	708.0	29.5000
328	0.065600	569	710.0	29.5833
329	0.065800	591	688.0	28.6667
330	0.066000	591	688.0	28.6667
331	0.066200	587	692.0	28.8333
332	0.066400	569	710.0	29.5833
333	0.066600	565	714.0	29.7500
334	0.066800	545	734.0	30.5833
335	0.067000	545	734.0	30.5833
336	0.067200	543	736.0	30.6667
337	0.067400	543	736.0	30.6667
338	0.067600	523	756.0	31.5000
339	0.067800	575	704.0	29.3333
340	0.068000	575	704.0	29.3333
341	0.068200	673	606.0	25.2500
342	0.068400	656	623.0	25.9583
343	0.068600	649	630.0	26.2500
344	0.068800	632	647.0	26.9583
345	0.069000	613	666.0	27.7500
346	0.069200	593	686.0	28.5833
347	0.069400	586	693.0	28.8750
348	0.069600	599	680.0	28.3333
349	0.069800	579	700.0	29.1667
350	0.070000	579	700.0	29.1667
351	0.070200	559	720.0	30.0000
352	0.070400	553	726.0	30.2500
353	0.070600	553	726.0	30.2500
354	0.070800	553	726.0	30.2500
355	0.071000	534	745.0	31.0417
356	0.071200	589	690.0	28.7500
357	0.071400	609	670.0	27.9167
358	0.071600	591	688.0	28.6667
359	0.071800	587	692.0	28.8333
360	0.072000	569	710.0	29.5833
361	0.072200	583	696.0	29.0000
