# Jet breakup length measurement
# Input         : C:\Users\taran\Downloads\metingen_09-06-2026\Measurement_9(2850).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 547 px  (22.983 mm)
# Scale         : 23.8 px/mm
# FPS           : 5000.0
# Threshold     : 167
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	667	679.0	28.5294
1	0.000200	652	694.0	29.1597
2	0.000400	633	713.0	29.9580
3	0.000600	699	647.0	27.1849
4	0.000800	683	663.0	27.8571
5	0.001000	681	665.0	27.9412
6	0.001200	665	681.0	28.6134
7	0.001400	645	701.0	29.4538
8	0.001600	639	707.0	29.7059
9	0.001800	627	719.0	30.2101
10	0.002000	-1	0.0	0.0000
11	0.002200	0	1346.0	56.5546
12	0.002400	0	1346.0	56.5546
13	0.002600	643	703.0	29.5378
14	0.002800	646	700.0	29.4118
15	0.003000	-1	0.0	0.0000
16	0.003200	645	701.0	29.4538
17	0.003400	627	719.0	30.2101
18	0.003600	-1	0.0	0.0000
19	0.003800	653	693.0	29.1176
20	0.004000	635	711.0	29.8739
21	0.004200	649	697.0	29.2857
22	0.004400	633	713.0	29.9580
23	0.004600	667	679.0	28.5294
24	0.004800	669	677.0	28.4454
25	0.005000	654	692.0	29.0756
26	0.005200	633	713.0	29.9580
27	0.005400	681	665.0	27.9412
28	0.005600	665	681.0	28.6134
29	0.005800	681	665.0	27.9412
30	0.006000	663	683.0	28.6975
31	0.006200	659	687.0	28.8655
32	0.006400	-1	0.0	0.0000
33	0.006600	627	719.0	30.2101
34	0.006800	625	721.0	30.2941
35	0.007000	617	729.0	30.6303
36	0.007200	609	737.0	30.9664
37	0.007400	665	681.0	28.6134
38	0.007600	651	695.0	29.2017
39	0.007800	643	703.0	29.5378
40	0.008000	631	715.0	30.0420
41	0.008200	659	687.0	28.8655
42	0.008400	659	687.0	28.8655
43	0.008600	643	703.0	29.5378
44	0.008800	641	705.0	29.6218
45	0.009000	623	723.0	30.3782
46	0.009200	616	730.0	30.6723
47	0.009400	685	661.0	27.7731
48	0.009600	671	675.0	28.3613
49	0.009800	667	679.0	28.5294
50	0.010000	-1	0.0	0.0000
51	0.010200	-1	0.0	0.0000
52	0.010400	661	685.0	28.7815
53	0.010600	649	697.0	29.2857
54	0.010800	631	715.0	30.0420
55	0.011000	601	745.0	31.3025
56	0.011200	0	1346.0	56.5546
57	0.011400	622	724.0	30.4202
58	0.011600	615	731.0	30.7143
59	0.011800	-1	0.0	0.0000
60	0.012000	639	707.0	29.7059
61	0.012200	661	685.0	28.7815
62	0.012400	644	702.0	29.4958
63	0.012600	621	725.0	30.4622
64	0.012800	601	745.0	31.3025
65	0.013000	0	1346.0	56.5546
66	0.013200	0	1346.0	56.5546
67	0.013400	661	685.0	28.7815
68	0.013600	643	703.0	29.5378
69	0.013800	637	709.0	29.7899
70	0.014000	623	723.0	30.3782
71	0.014200	681	665.0	27.9412
72	0.014400	665	681.0	28.6134
73	0.014600	665	681.0	28.6134
74	0.014800	641	705.0	29.6218
75	0.015000	645	701.0	29.4538
76	0.015200	683	663.0	27.8571
77	0.015400	669	677.0	28.4454
78	0.015600	651	695.0	29.2017
79	0.015800	643	703.0	29.5378
80	0.016000	628	718.0	30.1681
81	0.016200	665	681.0	28.6134
82	0.016400	665	681.0	28.6134
83	0.016600	649	697.0	29.2857
84	0.016800	641	705.0	29.6218
85	0.017000	-1	0.0	0.0000
86	0.017200	608	738.0	31.0084
87	0.017400	651	695.0	29.2017
88	0.017600	651	695.0	29.2017
89	0.017800	651	695.0	29.2017
90	0.018000	-1	0.0	0.0000
91	0.018200	633	713.0	29.9580
92	0.018400	615	731.0	30.7143
93	0.018600	671	675.0	28.3613
94	0.018800	689	657.0	27.6050
95	0.019000	-1	0.0	0.0000
96	0.019200	-1	0.0	0.0000
97	0.019400	647	699.0	29.3697
