# Jet breakup length measurement
# Input         : C:\Users\taran\test1\DAS\group 26\meting 15-06-26\Measurement_2(1550).cine
# Rotation      : 270 deg
# Nozzle exit x : 748 px  (in rotated frame)
# Needle length : 51 px  (2.090 mm)
# Offset        : 0 px  (0.000 mm)
# Scale         : 24.4 px/mm
# FPS           : 5000.0
# Threshold     : 172
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	325	423.0	17.3361
1	0.000200	327	421.0	17.2541
2	0.000400	328	420.0	17.2131
3	0.000600	327	421.0	17.2541
4	0.000800	324	424.0	17.3770
5	0.001000	320	428.0	17.5410
6	0.001200	315	433.0	17.7459
7	0.001400	311	437.0	17.9098
8	0.001600	306	442.0	18.1148
9	0.001800	327	421.0	17.2541
10	0.002000	328	420.0	17.2131
11	0.002200	328	420.0	17.2131
12	0.002400	329	419.0	17.1721
13	0.002600	328	420.0	17.2131
14	0.002800	324	424.0	17.3770
15	0.003000	319	429.0	17.5820
16	0.003200	337	411.0	16.8443
17	0.003400	335	413.0	16.9262
18	0.003600	335	413.0	16.9262
19	0.003800	335	413.0	16.9262
20	0.004000	337	411.0	16.8443
21	0.004200	336	412.0	16.8852
22	0.004400	332	416.0	17.0492
23	0.004600	328	420.0	17.2131
24	0.004800	323	425.0	17.4180
25	0.005000	318	430.0	17.6230
26	0.005200	340	408.0	16.7213
27	0.005400	341	407.0	16.6803
28	0.005600	341	407.0	16.6803
29	0.005800	340	408.0	16.7213
30	0.006000	337	411.0	16.8443
31	0.006200	333	415.0	17.0082
32	0.006400	329	419.0	17.1721
33	0.006600	324	424.0	17.3770
34	0.006800	320	428.0	17.5410
35	0.007000	315	433.0	17.7459
36	0.007200	339	409.0	16.7623
37	0.007400	339	409.0	16.7623
38	0.007600	338	410.0	16.8033
39	0.007800	335	413.0	16.9262
40	0.008000	332	416.0	17.0492
41	0.008200	329	419.0	17.1721
42	0.008400	325	423.0	17.3361
43	0.008600	320	428.0	17.5410
44	0.008800	315	433.0	17.7459
45	0.009000	311	437.0	17.9098
46	0.009200	305	443.0	18.1557
47	0.009400	332	416.0	17.0492
48	0.009600	332	416.0	17.0492
49	0.009800	330	418.0	17.1311
50	0.010000	327	421.0	17.2541
51	0.010200	323	425.0	17.4180
52	0.010400	319	429.0	17.5820
53	0.010600	315	433.0	17.7459
54	0.010800	311	437.0	17.9098
55	0.011000	306	442.0	18.1148
56	0.011200	301	447.0	18.3197
57	0.011400	296	452.0	18.5246
58	0.011600	291	457.0	18.7295
59	0.011800	319	429.0	17.5820
60	0.012000	317	431.0	17.6639
61	0.012200	314	434.0	17.7869
62	0.012400	311	437.0	17.9098
63	0.012600	307	441.0	18.0738
64	0.012800	303	445.0	18.2377
65	0.013000	298	450.0	18.4426
66	0.013200	293	455.0	18.6475
67	0.013400	289	459.0	18.8115
68	0.013600	283	465.0	19.0574
69	0.013800	277	471.0	19.3033
70	0.014000	273	475.0	19.4672
71	0.014200	271	477.0	19.5492
72	0.014400	269	479.0	19.6311
73	0.014600	267	481.0	19.7131
74	0.014800	265	483.0	19.7951
75	0.015000	264	484.0	19.8361
76	0.015200	264	484.0	19.8361
77	0.015400	297	451.0	18.4836
78	0.015600	297	451.0	18.4836
79	0.015800	294	454.0	18.6066
80	0.016000	291	457.0	18.7295
81	0.016200	287	461.0	18.8934
82	0.016400	283	465.0	19.0574
83	0.016600	278	470.0	19.2623
84	0.016800	273	475.0	19.4672
85	0.017000	268	480.0	19.6721
86	0.017200	289	459.0	18.8115
87	0.017400	288	460.0	18.8525
88	0.017600	286	462.0	18.9344
89	0.017800	283	465.0	19.0574
90	0.018000	279	469.0	19.2213
91	0.018200	275	473.0	19.3852
92	0.018400	270	478.0	19.5902
93	0.018600	265	483.0	19.7951
94	0.018800	287	461.0	18.8934
95	0.019000	288	460.0	18.8525
96	0.019200	284	464.0	19.0164
97	0.019400	280	468.0	19.1803
98	0.019600	276	472.0	19.3443
99	0.019800	293	455.0	18.6475
100	0.020000	293	455.0	18.6475
101	0.020200	295	453.0	18.5656
102	0.020400	292	456.0	18.6885
103	0.020600	309	439.0	17.9918
104	0.020800	305	443.0	18.1557
105	0.021000	305	443.0	18.1557
106	0.021200	309	439.0	17.9918
107	0.021400	310	438.0	17.9508
108	0.021600	307	441.0	18.0738
109	0.021800	302	446.0	18.2787
110	0.022000	315	433.0	17.7459
111	0.022200	315	433.0	17.7459
112	0.022400	315	433.0	17.7459
113	0.022600	318	430.0	17.6230
114	0.022800	316	432.0	17.7049
115	0.023000	313	435.0	17.8279
116	0.023200	309	439.0	17.9918
117	0.023400	305	443.0	18.1557
118	0.023600	301	447.0	18.3197
119	0.023800	297	451.0	18.4836
120	0.024000	292	456.0	18.6885
121	0.024200	287	461.0	18.8934
122	0.024400	282	466.0	19.0984
123	0.024600	277	471.0	19.3033
124	0.024800	274	474.0	19.4262
125	0.025000	271	477.0	19.5492
126	0.025200	269	479.0	19.6311
