# Jet breakup length measurement
# Input         : C:\Users\boris\Desktop\Uni\Project\ma_15-06-26\swisstransfer_cef94cf3-89a8-463e-beb2-954dd92147be\Measurement_24(3750).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 418.2 px  (17.000 mm)
# Scale         : 24.6 px/mm
# FPS           : 5000.0
# Threshold     : 172
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	495	722.0	29.3496
1	0.000200	502	715.0	29.0650
2	0.000400	493	724.0	29.4309
3	0.000600	501	716.0	29.1057
4	0.000800	491	726.0	29.5122
5	0.001000	483	734.0	29.8374
6	0.001200	476	741.0	30.1220
7	0.001400	469	748.0	30.4065
8	0.001600	462	755.0	30.6911
9	0.001800	457	760.0	30.8943
10	0.002000	452	765.0	31.0976
11	0.002200	442	775.0	31.5041
12	0.002400	430	787.0	31.9919
13	0.002600	435	782.0	31.7886
14	0.002800	505	712.0	28.9431
15	0.003000	526	691.0	28.0894
16	0.003200	517	700.0	28.4553
17	0.003400	527	690.0	28.0488
18	0.003600	517	700.0	28.4553
19	0.003800	510	707.0	28.7398
20	0.004000	503	714.0	29.0244
21	0.004200	494	723.0	29.3902
22	0.004400	485	732.0	29.7561
23	0.004600	525	692.0	28.1301
24	0.004800	515	702.0	28.5366
25	0.005000	533	684.0	27.8049
26	0.005200	545	672.0	27.3171
27	0.005400	533	684.0	27.8049
28	0.005600	525	692.0	28.1301
29	0.005800	536	681.0	27.6829
30	0.006000	526	691.0	28.0894
31	0.006200	535	682.0	27.7236
32	0.006400	525	692.0	28.1301
33	0.006600	517	700.0	28.4553
34	0.006800	509	708.0	28.7805
35	0.007000	501	716.0	29.1057
36	0.007200	493	724.0	29.4309
37	0.007400	499	718.0	29.1870
38	0.007600	488	729.0	29.6341
39	0.007800	468	749.0	30.4472
40	0.008000	485	732.0	29.7561
41	0.008200	479	738.0	30.0000
42	0.008400	505	712.0	28.9431
43	0.008600	529	688.0	27.9675
44	0.008800	519	698.0	28.3740
45	0.009000	529	688.0	27.9675
46	0.009200	522	695.0	28.2520
47	0.009400	531	686.0	27.8862
48	0.009600	521	696.0	28.2927
49	0.009800	539	678.0	27.5610
50	0.010000	532	685.0	27.8455
51	0.010200	521	696.0	28.2927
52	0.010400	529	688.0	27.9675
53	0.010600	519	698.0	28.3740
54	0.010800	513	704.0	28.6179
55	0.011000	505	712.0	28.9431
56	0.011200	497	720.0	29.2683
57	0.011400	488	729.0	29.6341
58	0.011600	478	739.0	30.0407
59	0.011800	468	749.0	30.4472
60	0.012000	457	760.0	30.8943
61	0.012200	446	771.0	31.3415
62	0.012400	434	783.0	31.8293
63	0.012600	423	794.0	32.2764
64	0.012800	457	760.0	30.8943
65	0.013000	451	766.0	31.1382
66	0.013200	440	777.0	31.5854
67	0.013400	429	788.0	32.0325
68	0.013600	437	780.0	31.7073
69	0.013800	495	722.0	29.3496
70	0.014000	513	704.0	28.6179
71	0.014200	506	711.0	28.9024
72	0.014400	495	722.0	29.3496
73	0.014600	484	733.0	29.7967
74	0.014800	491	726.0	29.5122
75	0.015000	483	734.0	29.8374
76	0.015200	476	741.0	30.1220
77	0.015400	467	750.0	30.4878
78	0.015600	457	760.0	30.8943
79	0.015800	447	770.0	31.3008
80	0.016000	437	780.0	31.7073
81	0.016200	427	790.0	32.1138
82	0.016400	417	800.0	32.5203
83	0.016600	406	811.0	32.9675
84	0.016800	444	773.0	31.4228
85	0.017000	423	794.0	32.2764
86	0.017200	414	803.0	32.6423
87	0.017400	432	785.0	31.9106
88	0.017600	441	776.0	31.5447
89	0.017800	433	784.0	31.8699
90	0.018000	424	793.0	32.2358
91	0.018200	469	748.0	30.4065
92	0.018400	457	760.0	30.8943
