# Jet breakup length measurement
# Input         : C:\Users\boris\Desktop\Uni\Project\ma_15-06-26\swisstransfer_cef94cf3-89a8-463e-beb2-954dd92147be\measurement_23(3650).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 418.2 px  (17.000 mm)
# Scale         : 24.6 px/mm
# FPS           : 5000.0
# Threshold     : 172
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	523	694.0	28.2114
1	0.000200	515	702.0	28.5366
2	0.000400	508	709.0	28.8211
3	0.000600	499	718.0	29.1870
4	0.000800	491	726.0	29.5122
5	0.001000	483	734.0	29.8374
6	0.001200	474	743.0	30.2033
7	0.001400	467	750.0	30.4878
8	0.001600	487	730.0	29.6748
9	0.001800	479	738.0	30.0000
10	0.002000	473	744.0	30.2439
11	0.002200	503	714.0	29.0244
12	0.002400	493	724.0	29.4309
13	0.002600	489	728.0	29.5935
14	0.002800	482	735.0	29.8780
15	0.003000	471	746.0	30.3252
16	0.003200	481	736.0	29.9187
17	0.003400	471	746.0	30.3252
18	0.003600	467	750.0	30.4878
19	0.003800	460	757.0	30.7724
20	0.004000	448	769.0	31.2602
21	0.004200	455	762.0	30.9756
22	0.004400	445	772.0	31.3821
23	0.004600	440	777.0	31.5854
24	0.004800	465	752.0	30.5691
25	0.005000	451	766.0	31.1382
26	0.005200	453	764.0	31.0569
27	0.005400	443	774.0	31.4634
28	0.005600	511	706.0	28.6992
29	0.005800	517	700.0	28.4553
30	0.006000	507	710.0	28.8618
31	0.006200	496	721.0	29.3089
32	0.006400	505	712.0	28.9431
33	0.006600	499	718.0	29.1870
34	0.006800	523	694.0	28.2114
35	0.007000	513	704.0	28.6179
36	0.007200	510	707.0	28.7398
37	0.007400	521	696.0	28.2927
38	0.007600	513	704.0	28.6179
39	0.007800	507	710.0	28.8618
40	0.008000	501	716.0	29.1057
41	0.008200	494	723.0	29.3902
42	0.008400	486	731.0	29.7154
43	0.008600	478	739.0	30.0407
44	0.008800	503	714.0	29.0244
45	0.009000	499	718.0	29.1870
46	0.009200	491	726.0	29.5122
47	0.009400	436	781.0	31.7480
48	0.009600	477	740.0	30.0813
49	0.009800	468	749.0	30.4472
50	0.010000	457	760.0	30.8943
51	0.010200	465	752.0	30.5691
52	0.010400	456	761.0	30.9350
53	0.010600	486	731.0	29.7154
54	0.010800	476	741.0	30.1220
55	0.011000	464	753.0	30.6098
56	0.011200	471	746.0	30.3252
57	0.011400	465	752.0	30.5691
58	0.011600	458	759.0	30.8537
59	0.011800	449	768.0	31.2195
60	0.012000	439	778.0	31.6260
61	0.012200	428	789.0	32.0732
62	0.012400	417	800.0	32.5203
63	0.012600	405	812.0	33.0081
64	0.012800	499	718.0	29.1870
65	0.013000	499	718.0	29.1870
66	0.013200	471	746.0	30.3252
67	0.013400	489	728.0	29.5935
68	0.013600	479	738.0	30.0000
69	0.013800	468	749.0	30.4472
70	0.014000	475	742.0	30.1626
71	0.014200	468	749.0	30.4472
72	0.014400	461	756.0	30.7317
73	0.014600	453	764.0	31.0569
74	0.014800	444	773.0	31.4228
75	0.015000	435	782.0	31.7886
76	0.015200	443	774.0	31.4634
77	0.015400	434	783.0	31.8293
78	0.015600	445	772.0	31.3821
79	0.015800	439	778.0	31.6260
80	0.016000	442	775.0	31.5041
81	0.016200	425	792.0	32.1951
82	0.016400	418	799.0	32.4797
83	0.016600	427	790.0	32.1138
84	0.016800	421	796.0	32.3577
85	0.017000	416	801.0	32.5610
86	0.017200	412	805.0	32.7236
87	0.017400	460	757.0	30.7724
88	0.017600	451	766.0	31.1382
89	0.017800	461	756.0	30.7317
90	0.018000	455	762.0	30.9756
91	0.018200	449	768.0	31.2195
92	0.018400	441	776.0	31.5447
93	0.018600	431	786.0	31.9512
94	0.018800	475	742.0	30.1626
95	0.019000	467	750.0	30.4878
96	0.019200	461	756.0	30.7317
97	0.019400	454	763.0	31.0163
98	0.019600	447	770.0	31.3008
99	0.019800	441	776.0	31.5447
100	0.020000	436	781.0	31.7480
101	0.020200	443	774.0	31.4634
102	0.020400	435	782.0	31.7886
103	0.020600	427	790.0	32.1138
104	0.020800	419	798.0	32.4390
