# Jet breakup length measurement
# Input         : ./Measurements\Measurement_5(750).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 378.3 px  (6.500 mm)
# Scale         : 58.2 px/mm
# FPS           : 5000.0
# Threshold     : 150
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	445	732.0	12.5773
1	0.000200	458	719.0	12.3540
2	0.000400	480	697.0	11.9759
3	0.000600	458	719.0	12.3540
4	0.000800	475	702.0	12.0619
5	0.001000	462	715.0	12.2852
6	0.001200	442	735.0	12.6289
7	0.001400	421	756.0	12.9897
8	0.001600	400	777.0	13.3505
9	0.001800	417	760.0	13.0584
10	0.002000	453	724.0	12.4399
11	0.002200	434	743.0	12.7663
12	0.002400	449	728.0	12.5086
13	0.002600	472	705.0	12.1134
14	0.002800	473	704.0	12.0962
15	0.003000	468	709.0	12.1821
16	0.003200	447	730.0	12.5430
17	0.003400	462	715.0	12.2852
18	0.003600	477	700.0	12.0275
19	0.003800	461	716.0	12.3024
20	0.004000	473	704.0	12.0962
21	0.004200	463	714.0	12.2680
22	0.004400	441	736.0	12.6460
23	0.004600	455	722.0	12.4055
24	0.004800	437	740.0	12.7148
25	0.005000	489	688.0	11.8213
26	0.005200	491	686.0	11.7869
27	0.005400	490	687.0	11.8041
28	0.005600	469	708.0	12.1649
29	0.005800	447	730.0	12.5430
30	0.006000	425	752.0	12.9210
31	0.006200	476	701.0	12.0447
32	0.006400	457	720.0	12.3711
33	0.006600	467	710.0	12.1993
34	0.006800	460	717.0	12.3196
35	0.007000	439	738.0	12.6804
36	0.007200	453	724.0	12.4399
37	0.007400	444	733.0	12.5945
38	0.007600	451	726.0	12.4742
39	0.007800	441	736.0	12.6460
40	0.008000	421	756.0	12.9897
41	0.008200	435	742.0	12.7491
42	0.008400	415	762.0	13.0928
43	0.008600	425	752.0	12.9210
44	0.008800	418	759.0	13.0412
45	0.009000	446	731.0	12.5601
46	0.009200	455	722.0	12.4055
47	0.009400	449	728.0	12.5086
48	0.009600	434	743.0	12.7663
49	0.009800	410	767.0	13.1787
50	0.010000	387	790.0	13.5739
51	0.010200	455	722.0	12.4055
52	0.010400	475	702.0	12.0619
53	0.010600	469	708.0	12.1649
54	0.010800	494	683.0	11.7354
55	0.011000	512	665.0	11.4261
56	0.011200	495	682.0	11.7182
57	0.011400	473	704.0	12.0962
58	0.011600	486	691.0	11.8729
59	0.011800	466	711.0	12.2165
60	0.012000	445	732.0	12.5773
61	0.012200	496	681.0	11.7010
62	0.012400	476	701.0	12.0447
63	0.012600	489	688.0	11.8213
64	0.012800	478	699.0	12.0103
65	0.013000	458	719.0	12.3540
66	0.013200	435	742.0	12.7491
67	0.013400	411	766.0	13.1615
68	0.013600	398	779.0	13.3849
69	0.013800	486	691.0	11.8729
70	0.014000	489	688.0	11.8213
71	0.014200	490	687.0	11.8041
72	0.014400	468	709.0	12.1821
73	0.014600	479	698.0	11.9931
74	0.014800	458	719.0	12.3540
75	0.015000	503	674.0	11.5808
76	0.015200	535	642.0	11.0309
77	0.015400	538	639.0	10.9794
78	0.015600	543	634.0	10.8935
79	0.015800	538	639.0	10.9794
80	0.016000	516	661.0	11.3574
81	0.016200	531	646.0	11.0997
82	0.016400	513	664.0	11.4089
83	0.016600	491	686.0	11.7869
84	0.016800	504	673.0	11.5636
