# Jet breakup length measurement
# Input         : C:\Users\taran\test1\DAS\group 26\Metingen opnieuw 15_06_2026\Measurement_1(550).cine
# Rotation      : 270 deg
# Nozzle exit x : 729 px  (in rotated frame)
# Needle length : 70 px  (1.207 mm)
# Offset        : 0 px  (0.000 mm)
# Scale         : 58 px/mm
# FPS           : 5000.0
# Threshold     : 170
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	257	472.0	8.1379
1	0.000200	244	485.0	8.3621
2	0.000400	229	500.0	8.6207
3	0.000600	214	515.0	8.8793
4	0.000800	207	522.0	9.0000
5	0.001000	248	481.0	8.2931
6	0.001200	235	494.0	8.5172
7	0.001400	253	476.0	8.2069
8	0.001600	243	486.0	8.3793
9	0.001800	261	468.0	8.0690
10	0.002000	254	475.0	8.1897
11	0.002200	271	458.0	7.8966
12	0.002400	264	465.0	8.0172
13	0.002600	253	476.0	8.2069
14	0.002800	239	490.0	8.4483
15	0.003000	223	506.0	8.7241
16	0.003200	268	461.0	7.9483
17	0.003400	264	465.0	8.0172
18	0.003600	257	472.0	8.1379
19	0.003800	243	486.0	8.3793
20	0.004000	263	466.0	8.0345
21	0.004200	255	474.0	8.1724
22	0.004400	242	487.0	8.3966
23	0.004600	227	502.0	8.6552
24	0.004800	213	516.0	8.8966
25	0.005000	259	470.0	8.1034
26	0.005200	251	478.0	8.2414
27	0.005400	272	457.0	7.8793
28	0.005600	257	472.0	8.1379
29	0.005800	250	479.0	8.2586
30	0.006000	262	467.0	8.0517
31	0.006200	259	470.0	8.1034
32	0.006400	248	481.0	8.2931
33	0.006600	233	496.0	8.5517
34	0.006800	253	476.0	8.2069
35	0.007000	244	485.0	8.3621
36	0.007200	254	475.0	8.1897
37	0.007400	251	478.0	8.2414
38	0.007600	240	489.0	8.4310
39	0.007800	225	504.0	8.6897
40	0.008000	249	480.0	8.2759
41	0.008200	238	491.0	8.4655
42	0.008400	223	506.0	8.7241
43	0.008600	249	480.0	8.2759
44	0.008800	240	489.0	8.4310
45	0.009000	226	503.0	8.6724
46	0.009200	247	482.0	8.3103
47	0.009400	237	492.0	8.4828
48	0.009600	248	481.0	8.2931
49	0.009800	243	486.0	8.3793
50	0.010000	260	469.0	8.0862
51	0.010200	256	473.0	8.1552
52	0.010400	244	485.0	8.3621
53	0.010600	229	500.0	8.6207
54	0.010800	212	517.0	8.9138
55	0.011000	204	525.0	9.0517
