# Jet breakup length measurement
# Input         : ./Measurements 03-06-2026\Measurement_17(1950).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 1336.3 px  (23.000 mm)
# Scale         : 58.1 px/mm
# FPS           : 5000.0
# Threshold     : 150
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	289	1846.0	31.7728
1	0.000200	240	1895.0	32.6162
2	0.000400	302	1833.0	31.5491
3	0.000600	270	1865.0	32.0998
4	0.000800	251	1884.0	32.4269
5	0.001000	356	1779.0	30.6196
6	0.001200	340	1795.0	30.8950
7	0.001400	318	1817.0	31.2737
8	0.001600	258	1877.0	32.3064
9	0.001800	420	1715.0	29.5181
10	0.002000	389	1746.0	30.0516
11	0.002200	338	1797.0	30.9294
12	0.002400	307	1828.0	31.4630
13	0.002600	332	1803.0	31.0327
14	0.002800	269	1866.0	32.1170
15	0.003000	339	1796.0	30.9122
16	0.003200	302	1833.0	31.5491
17	0.003400	364	1771.0	30.4819
18	0.003600	343	1792.0	30.8434
19	0.003800	347	1788.0	30.7745
20	0.004000	333	1802.0	31.0155
21	0.004200	389	1746.0	30.0516
22	0.004400	376	1759.0	30.2754
23	0.004600	356	1779.0	30.6196
24	0.004800	363	1772.0	30.4991
25	0.005000	364	1771.0	30.4819
26	0.005200	351	1784.0	30.7057
27	0.005400	317	1818.0	31.2909
28	0.005600	340	1795.0	30.8950
29	0.005800	311	1824.0	31.3941
30	0.006000	263	1872.0	32.2203
31	0.006200	423	1712.0	29.4664
32	0.006400	403	1732.0	29.8107
33	0.006600	360	1775.0	30.5508
34	0.006800	299	1836.0	31.6007
35	0.007000	272	1863.0	32.0654
36	0.007200	278	1857.0	31.9621
37	0.007400	378	1757.0	30.2410
38	0.007600	363	1772.0	30.4991
39	0.007800	323	1812.0	31.1876
40	0.008000	277	1858.0	31.9793
41	0.008200	336	1799.0	30.9639
42	0.008400	295	1840.0	31.6695
43	0.008600	334	1801.0	30.9983
44	0.008800	298	1837.0	31.6179
45	0.009000	408	1727.0	29.7246
46	0.009200	375	1760.0	30.2926
47	0.009400	326	1809.0	31.1360
48	0.009600	290	1845.0	31.7556
49	0.009800	299	1836.0	31.6007
50	0.010000	281	1854.0	31.9105
51	0.010200	326	1809.0	31.1360
52	0.010400	400	1735.0	29.8623
53	0.010600	388	1747.0	30.0688
54	0.010800	357	1778.0	30.6024
55	0.011000	306	1829.0	31.4802
56	0.011200	282	1853.0	31.8933
57	0.011400	407	1728.0	29.7418
58	0.011600	392	1743.0	30.0000
59	0.011800	355	1780.0	30.6368
60	0.012000	349	1786.0	30.7401
61	0.012200	315	1820.0	31.3253
62	0.012400	322	1813.0	31.2048
