# Jet breakup length measurement
# Input         : ./Measurements 03-06-2026\Measurement_18_poging2(2050).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 1418.55 px  (24.500 mm)
# Scale         : 57.9 px/mm
# FPS           : 5000.0
# Threshold     : 157
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	448	1769.0	30.5527
1	0.000200	409	1808.0	31.2263
2	0.000400	366	1851.0	31.9689
3	0.000600	444	1773.0	30.6218
4	0.000800	418	1799.0	31.0708
5	0.001000	358	1859.0	32.1071
6	0.001200	462	1755.0	30.3109
7	0.001400	440	1777.0	30.6908
8	0.001600	397	1820.0	31.4335
9	0.001800	352	1865.0	32.2107
10	0.002000	288	1929.0	33.3161
11	0.002200	369	1848.0	31.9171
12	0.002400	469	1748.0	30.1900
13	0.002600	499	1718.0	29.6718
14	0.002800	461	1756.0	30.3282
15	0.003000	480	1737.0	30.0000
16	0.003200	466	1751.0	30.2418
17	0.003400	429	1788.0	30.8808
18	0.003600	487	1730.0	29.8791
19	0.003800	492	1725.0	29.7927
20	0.004000	421	1796.0	31.0190
21	0.004200	505	1712.0	29.5682
22	0.004400	462	1755.0	30.3109
23	0.004600	436	1781.0	30.7599
24	0.004800	374	1843.0	31.8307
25	0.005000	411	1806.0	31.1917
26	0.005200	355	1862.0	32.1589
27	0.005400	412	1805.0	31.1744
28	0.005600	388	1829.0	31.5889
29	0.005800	419	1798.0	31.0535
30	0.006000	382	1835.0	31.6926
31	0.006200	393	1824.0	31.5026
32	0.006400	378	1839.0	31.7617
33	0.006600	433	1784.0	30.8117
34	0.006800	425	1792.0	30.9499
35	0.007000	375	1842.0	31.8135
36	0.007200	340	1877.0	32.4180
37	0.007400	384	1833.0	31.6580
38	0.007600	464	1753.0	30.2763
39	0.007800	448	1769.0	30.5527
40	0.008000	412	1805.0	31.1744
41	0.008200	395	1822.0	31.4680
42	0.008400	404	1813.0	31.3126
43	0.008600	455	1762.0	30.4318
44	0.008800	479	1738.0	30.0173
45	0.009000	433	1784.0	30.8117
46	0.009200	376	1841.0	31.7962
47	0.009400	391	1826.0	31.5371
48	0.009600	434	1783.0	30.7945
49	0.009800	413	1804.0	31.1572
50	0.010000	368	1849.0	31.9344
51	0.010200	312	1905.0	32.9016
52	0.010400	361	1856.0	32.0553
53	0.010600	365	1852.0	31.9862
54	0.010800	462	1755.0	30.3109
55	0.011000	437	1780.0	30.7427
56	0.011200	380	1837.0	31.7271
57	0.011400	430	1787.0	30.8636
58	0.011600	433	1784.0	30.8117
59	0.011800	413	1804.0	31.1572
60	0.012000	362	1855.0	32.0380
61	0.012200	409	1808.0	31.2263
62	0.012400	391	1826.0	31.5371
63	0.012600	352	1865.0	32.2107
64	0.012800	375	1842.0	31.8135
65	0.013000	439	1778.0	30.7081
66	0.013200	417	1800.0	31.0881
67	0.013400	395	1822.0	31.4680
68	0.013600	435	1782.0	30.7772
69	0.013800	421	1796.0	31.0190
70	0.014000	366	1851.0	31.9689
71	0.014200	378	1839.0	31.7617
72	0.014400	355	1862.0	32.1589
73	0.014600	410	1807.0	31.2090
74	0.014800	473	1744.0	30.1209
75	0.015000	459	1758.0	30.3627
76	0.015200	408	1809.0	31.2435
77	0.015400	382	1835.0	31.6926
78	0.015600	439	1778.0	30.7081
79	0.015800	389	1828.0	31.5717
80	0.016000	363	1854.0	32.0207
81	0.016200	451	1766.0	30.5009
82	0.016400	473	1744.0	30.1209
83	0.016600	468	1749.0	30.2073
84	0.016800	429	1788.0	30.8808
85	0.017000	477	1740.0	30.0518
86	0.017200	459	1758.0	30.3627
87	0.017400	495	1722.0	29.7409
88	0.017600	445	1772.0	30.6045
89	0.017800	415	1802.0	31.1226
90	0.018000	383	1834.0	31.6753
91	0.018200	400	1817.0	31.3817
92	0.018400	368	1849.0	31.9344
93	0.018600	335	1882.0	32.5043
94	0.018800	483	1734.0	29.9482
95	0.019000	463	1754.0	30.2936
96	0.019200	447	1770.0	30.5699
97	0.019400	436	1781.0	30.7599
98	0.019600	417	1800.0	31.0881
99	0.019800	378	1839.0	31.7617
100	0.020000	342	1875.0	32.3834
101	0.020200	410	1807.0	31.2090
102	0.020400	422	1795.0	31.0017
103	0.020600	491	1726.0	29.8100
104	0.020800	467	1750.0	30.2245
105	0.021000	418	1799.0	31.0708
106	0.021200	391	1826.0	31.5371
107	0.021400	498	1719.0	29.6891
108	0.021600	462	1755.0	30.3109
109	0.021800	414	1803.0	31.1399
110	0.022000	507	1710.0	29.5337
111	0.022200	489	1728.0	29.8446
112	0.022400	442	1775.0	30.6563
113	0.022600	378	1839.0	31.7617
114	0.022800	342	1875.0	32.3834
115	0.023000	333	1884.0	32.5389
116	0.023200	292	1925.0	33.2470
117	0.023400	368	1849.0	31.9344
118	0.023600	333	1884.0	32.5389
119	0.023800	449	1768.0	30.5354
120	0.024000	435	1782.0	30.7772
121	0.024200	380	1837.0	31.7271
122	0.024400	415	1802.0	31.1226
123	0.024600	368	1849.0	31.9344
124	0.024800	337	1880.0	32.4698
125	0.025000	413	1804.0	31.1572
126	0.025200	459	1758.0	30.3627
127	0.025400	446	1771.0	30.5872
128	0.025600	421	1796.0	31.0190
129	0.025800	405	1812.0	31.2953
130	0.026000	463	1754.0	30.2936
131	0.026200	446	1771.0	30.5872
132	0.026400	398	1819.0	31.4162
133	0.026600	362	1855.0	32.0380
134	0.026800	523	1694.0	29.2573
135	0.027000	503	1714.0	29.6028
136	0.027200	452	1765.0	30.4836
137	0.027400	394	1823.0	31.4853
138	0.027600	328	1889.0	32.6252
139	0.027800	427	1790.0	30.9154
140	0.028000	390	1827.0	31.5544
141	0.028200	438	1779.0	30.7254
142	0.028400	399	1818.0	31.3990
143	0.028600	352	1865.0	32.2107
144	0.028800	292	1925.0	33.2470
145	0.029000	350	1867.0	32.2453
146	0.029200	312	1905.0	32.9016
147	0.029400	262	1955.0	33.7651
148	0.029600	347	1870.0	32.2971
149	0.029800	501	1716.0	29.6373
150	0.030000	450	1767.0	30.5181
151	0.030200	424	1793.0	30.9672
152	0.030400	364	1853.0	32.0035
153	0.030600	300	1917.0	33.1088
154	0.030800	0	2217.0	38.2902
155	0.031000	415	1802.0	31.1226
156	0.031200	378	1839.0	31.7617
157	0.031400	409	1808.0	31.2263
158	0.031600	363	1854.0	32.0207
159	0.031800	402	1815.0	31.3472
160	0.032000	386	1831.0	31.6235
161	0.032200	321	1896.0	32.7461
162	0.032400	378	1839.0	31.7617
163	0.032600	420	1797.0	31.0363
164	0.032800	381	1836.0	31.7098
165	0.033000	372	1845.0	31.8653
166	0.033200	335	1882.0	32.5043
167	0.033400	288	1929.0	33.3161
168	0.033600	352	1865.0	32.2107
169	0.033800	320	1897.0	32.7634
170	0.034000	298	1919.0	33.1434
171	0.034200	409	1808.0	31.2263
172	0.034400	361	1856.0	32.0553
173	0.034600	300	1917.0	33.1088
174	0.034800	416	1801.0	31.1054
175	0.035000	379	1838.0	31.7444
176	0.035200	391	1826.0	31.5371
177	0.035400	463	1754.0	30.2936
178	0.035600	453	1764.0	30.4663
179	0.035800	403	1814.0	31.3299
180	0.036000	374	1843.0	31.8307
181	0.036200	360	1857.0	32.0725
182	0.036400	430	1787.0	30.8636
183	0.036600	468	1749.0	30.2073
184	0.036800	439	1778.0	30.7081
185	0.037000	409	1808.0	31.2263
186	0.037200	385	1832.0	31.6408
187	0.037400	371	1846.0	31.8826
188	0.037600	411	1806.0	31.1917
189	0.037800	424	1793.0	30.9672
190	0.038000	435	1782.0	30.7772
191	0.038200	436	1781.0	30.7599
192	0.038400	410	1807.0	31.2090
193	0.038600	369	1848.0	31.9171
194	0.038800	446	1771.0	30.5872
195	0.039000	495	1722.0	29.7409
196	0.039200	475	1742.0	30.0864
197	0.039400	427	1790.0	30.9154
198	0.039600	363	1854.0	32.0207
199	0.039800	340	1877.0	32.4180
200	0.040000	438	1779.0	30.7254
201	0.040200	451	1766.0	30.5009
202	0.040400	433	1784.0	30.8117
203	0.040600	387	1830.0	31.6062
204	0.040800	326	1891.0	32.6598
205	0.041000	434	1783.0	30.7945
206	0.041200	418	1799.0	31.0708
207	0.041400	384	1833.0	31.6580
208	0.041600	394	1823.0	31.4853
209	0.041800	450	1767.0	30.5181
210	0.042000	413	1804.0	31.1572
211	0.042200	362	1855.0	32.0380
212	0.042400	458	1759.0	30.3800
213	0.042600	444	1773.0	30.6218
214	0.042800	411	1806.0	31.1917
215	0.043000	361	1856.0	32.0553
216	0.043200	298	1919.0	33.1434
217	0.043400	352	1865.0	32.2107
218	0.043600	363	1854.0	32.0207
219	0.043800	405	1812.0	31.2953
220	0.044000	364	1853.0	32.0035
221	0.044200	473	1744.0	30.1209
222	0.044400	477	1740.0	30.0518
223	0.044600	456	1761.0	30.4145
224	0.044800	436	1781.0	30.7599
225	0.045000	439	1778.0	30.7081
226	0.045200	427	1790.0	30.9154
227	0.045400	519	1698.0	29.3264
228	0.045600	504	1713.0	29.5855
229	0.045800	467	1750.0	30.2245
230	0.046000	416	1801.0	31.1054
231	0.046200	387	1830.0	31.6062
232	0.046400	378	1839.0	31.7617
233	0.046600	363	1854.0	32.0207
234	0.046800	497	1720.0	29.7064
235	0.047000	476	1741.0	30.0691
236	0.047200	414	1803.0	31.1399
237	0.047400	478	1739.0	30.0345
238	0.047600	462	1755.0	30.3109
239	0.047800	427	1790.0	30.9154
240	0.048000	372	1845.0	31.8653
241	0.048200	350	1867.0	32.2453
242	0.048400	388	1829.0	31.5889
243	0.048600	349	1868.0	32.2625
244	0.048800	382	1835.0	31.6926
245	0.049000	421	1796.0	31.0190
246	0.049200	380	1837.0	31.7271
247	0.049400	354	1863.0	32.1762
248	0.049600	440	1777.0	30.6908
249	0.049800	424	1793.0	30.9672
250	0.050000	391	1826.0	31.5371
251	0.050200	467	1750.0	30.2245
252	0.050400	449	1768.0	30.5354
253	0.050600	410	1807.0	31.2090
254	0.050800	372	1845.0	31.8653
255	0.051000	380	1837.0	31.7271
256	0.051200	402	1815.0	31.3472
257	0.051400	478	1739.0	30.0345
258	0.051600	460	1757.0	30.3454
259	0.051800	417	1800.0	31.0881
260	0.052000	367	1850.0	31.9516
261	0.052200	404	1813.0	31.3126
262	0.052400	406	1811.0	31.2781
263	0.052600	434	1783.0	30.7945
264	0.052800	441	1776.0	30.6736
265	0.053000	427	1790.0	30.9154
266	0.053200	379	1838.0	31.7444
267	0.053400	465	1752.0	30.2591
268	0.053600	453	1764.0	30.4663
269	0.053800	403	1814.0	31.3299
