# Jet breakup length measurement
# Input         : C:\Users\taran\test1\DAS\group 26\Measurement_4(680).cine
# Rotation      : 270 deg
# Nozzle exit x : 730 px  (in rotated frame)
# Needle length : 69 px  (1.186 mm)
# Offset        : 0 px  (0.000 mm)
# Scale         : 58.2 px/mm
# FPS           : 5000.0
# Threshold     : 150
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	124	606.0	10.4124
1	0.000200	120	610.0	10.4811
2	0.000400	102	628.0	10.7904
3	0.000600	113	617.0	10.6014
4	0.000800	108	622.0	10.6873
5	0.001000	90	640.0	10.9966
6	0.001200	70	660.0	11.3402
7	0.001400	47	683.0	11.7354
8	0.001600	75	655.0	11.2543
9	0.001800	91	639.0	10.9794
10	0.002000	123	607.0	10.4296
11	0.002200	119	611.0	10.4983
12	0.002400	145	585.0	10.0515
13	0.002600	129	601.0	10.3265
14	0.002800	146	584.0	10.0344
15	0.003000	131	599.0	10.2921
16	0.003200	112	618.0	10.6186
17	0.003400	128	602.0	10.3436
18	0.003600	112	618.0	10.6186
19	0.003800	93	637.0	10.9450
20	0.004000	70	660.0	11.3402
21	0.004200	92	638.0	10.9622
22	0.004400	75	655.0	11.2543
23	0.004600	102	628.0	10.7904
24	0.004800	81	649.0	11.1512
25	0.005000	106	624.0	10.7216
26	0.005200	91	639.0	10.9794
27	0.005400	70	660.0	11.3402
28	0.005600	93	637.0	10.9450
29	0.005800	109	621.0	10.6701
30	0.006000	116	614.0	10.5498
31	0.006200	129	601.0	10.3265
32	0.006400	124	606.0	10.4124
33	0.006600	103	627.0	10.7732
34	0.006800	125	605.0	10.3952
35	0.007000	111	619.0	10.6357
36	0.007200	92	638.0	10.9622
37	0.007400	107	623.0	10.7045
38	0.007600	127	603.0	10.3608
39	0.007800	136	594.0	10.2062
40	0.008000	137	593.0	10.1890
41	0.008200	137	593.0	10.1890
42	0.008400	124	606.0	10.4124
43	0.008600	106	624.0	10.7216
44	0.008800	81	649.0	11.1512
45	0.009000	134	596.0	10.2405
46	0.009200	143	587.0	10.0859
47	0.009400	139	591.0	10.1546
48	0.009600	126	604.0	10.3780
49	0.009800	144	586.0	10.0687
50	0.010000	130	600.0	10.3093
51	0.010200	111	619.0	10.6357
52	0.010400	129	601.0	10.3265
53	0.010600	118	612.0	10.5155
54	0.010800	100	630.0	10.8247
55	0.011000	112	618.0	10.6186
56	0.011200	109	621.0	10.6701
57	0.011400	90	640.0	10.9966
58	0.011600	103	627.0	10.7732
59	0.011800	103	627.0	10.7732
60	0.012000	111	619.0	10.6357
61	0.012200	114	616.0	10.5842
62	0.012400	117	613.0	10.5326
63	0.012600	115	615.0	10.5670
64	0.012800	102	628.0	10.7904
65	0.013000	81	649.0	11.1512
66	0.013200	101	629.0	10.8076
67	0.013400	92	638.0	10.9622
68	0.013600	73	657.0	11.2887
69	0.013800	106	624.0	10.7216
70	0.014000	113	617.0	10.6014
71	0.014200	117	613.0	10.5326
72	0.014400	98	632.0	10.8591
73	0.014600	121	609.0	10.4639
74	0.014800	114	616.0	10.5842
75	0.015000	95	635.0	10.9107
76	0.015200	112	618.0	10.6186
77	0.015400	98	632.0	10.8591
78	0.015600	80	650.0	11.1684
79	0.015800	62	668.0	11.4777
80	0.016000	46	684.0	11.7526
81	0.016200	81	649.0	11.1512
82	0.016400	110	620.0	10.6529
83	0.016600	92	638.0	10.9622
84	0.016800	111	619.0	10.6357
85	0.017000	95	635.0	10.9107
86	0.017200	76	654.0	11.2371
87	0.017400	55	675.0	11.5979
88	0.017600	97	633.0	10.8763
89	0.017800	130	600.0	10.3093
90	0.018000	156	574.0	9.8625
91	0.018200	161	569.0	9.7766
92	0.018400	160	570.0	9.7938
93	0.018600	142	588.0	10.1031
94	0.018800	160	570.0	9.7938
95	0.019000	141	589.0	10.1203
96	0.019200	160	570.0	9.7938
97	0.019400	161	569.0	9.7766
98	0.019600	164	566.0	9.7251
99	0.019800	148	582.0	10.0000
100	0.020000	160	570.0	9.7938
101	0.020200	153	577.0	9.9141
102	0.020400	134	596.0	10.2405
103	0.020600	150	580.0	9.9656
104	0.020800	139	591.0	10.1546
105	0.021000	120	610.0	10.4811
106	0.021200	134	596.0	10.2405
107	0.021400	126	604.0	10.3780
108	0.021600	108	622.0	10.6873
109	0.021800	120	610.0	10.4811
110	0.022000	116	614.0	10.5498
111	0.022200	95	635.0	10.9107
112	0.022400	121	609.0	10.4639
113	0.022600	104	626.0	10.7560
114	0.022800	115	615.0	10.5670
115	0.023000	106	624.0	10.7216
116	0.023200	88	642.0	11.0309
117	0.023400	70	660.0	11.3402
118	0.023600	115	615.0	10.5670
119	0.023800	123	607.0	10.4296
120	0.024000	131	599.0	10.2921
121	0.024200	137	593.0	10.1890
122	0.024400	140	590.0	10.1375
123	0.024600	120	610.0	10.4811
124	0.024800	134	596.0	10.2405
125	0.025000	129	601.0	10.3265
126	0.025200	110	620.0	10.6529
127	0.025400	125	605.0	10.3952
128	0.025600	122	608.0	10.4467
129	0.025800	100	630.0	10.8247
130	0.026000	128	602.0	10.3436
131	0.026200	112	618.0	10.6186
132	0.026400	121	609.0	10.4639
133	0.026600	116	614.0	10.5498
134	0.026800	100	630.0	10.8247
135	0.027000	80	650.0	11.1684
136	0.027200	104	626.0	10.7560
137	0.027400	90	640.0	10.9966
138	0.027600	69	661.0	11.3574
139	0.027800	94	636.0	10.9278
140	0.028000	76	654.0	11.2371
141	0.028200	88	642.0	11.0309
142	0.028400	114	616.0	10.5842
143	0.028600	123	607.0	10.4296
144	0.028800	117	613.0	10.5326
145	0.029000	137	593.0	10.1890
146	0.029200	130	600.0	10.3093
147	0.029400	137	593.0	10.1890
148	0.029600	136	594.0	10.2062
149	0.029800	118	612.0	10.5155
150	0.030000	130	600.0	10.3093
151	0.030200	122	608.0	10.4467
152	0.030400	104	626.0	10.7560
153	0.030600	81	649.0	11.1512
154	0.030800	63	667.0	11.4605
155	0.031000	52	678.0	11.6495
156	0.031200	41	689.0	11.8385
157	0.031400	30	700.0	12.0275
158	0.031600	81	649.0	11.1512
159	0.031800	69	661.0	11.3574
160	0.032000	49	681.0	11.7010
161	0.032200	80	650.0	11.1684
162	0.032400	114	616.0	10.5842
163	0.032600	121	609.0	10.4639
164	0.032800	119	611.0	10.4983
165	0.033000	108	622.0	10.6873
166	0.033200	117	613.0	10.5326
167	0.033400	116	614.0	10.5498
168	0.033600	97	633.0	10.8763
169	0.033800	111	619.0	10.6357
170	0.034000	108	622.0	10.6873
171	0.034200	88	642.0	11.0309
172	0.034400	118	612.0	10.5155
173	0.034600	95	635.0	10.9107
174	0.034800	113	617.0	10.6014
175	0.035000	110	620.0	10.6529
176	0.035200	90	640.0	10.9966
177	0.035400	106	624.0	10.7216
178	0.035600	104	626.0	10.7560
179	0.035800	113	617.0	10.6014
180	0.036000	115	615.0	10.5670
181	0.036200	96	634.0	10.8935
182	0.036400	73	657.0	11.2887
183	0.036600	135	595.0	10.2234
184	0.036800	131	599.0	10.2921
185	0.037000	147	583.0	10.0172
186	0.037200	148	582.0	10.0000
187	0.037400	130	600.0	10.3093
188	0.037600	144	586.0	10.0687
189	0.037800	133	597.0	10.2577
190	0.038000	115	615.0	10.5670
191	0.038200	96	634.0	10.8935
192	0.038400	75	655.0	11.2543
193	0.038600	63	667.0	11.4605
194	0.038800	50	680.0	11.6838
195	0.039000	105	625.0	10.7388
196	0.039200	97	633.0	10.8763
197	0.039400	121	609.0	10.4639
198	0.039600	116	614.0	10.5498
199	0.039800	131	599.0	10.2921
200	0.040000	120	610.0	10.4811
201	0.040200	101	629.0	10.8076
202	0.040400	122	608.0	10.4467
203	0.040600	104	626.0	10.7560
204	0.040800	81	649.0	11.1512
205	0.041000	106	624.0	10.7216
206	0.041200	89	641.0	11.0137
207	0.041400	99	631.0	10.8419
208	0.041600	90	640.0	10.9966
209	0.041800	99	631.0	10.8419
210	0.042000	94	636.0	10.9278
211	0.042200	115	615.0	10.5670
212	0.042400	125	605.0	10.3952
213	0.042600	128	602.0	10.3436
214	0.042800	108	622.0	10.6873
215	0.043000	121	609.0	10.4639
216	0.043200	109	621.0	10.6701
217	0.043400	92	638.0	10.9622
218	0.043600	72	658.0	11.3058
219	0.043800	52	678.0	11.6495
220	0.044000	40	690.0	11.8557
221	0.044200	28	702.0	12.0619
222	0.044400	12	718.0	12.3368
223	0.044600	0	730.0	12.5430
224	0.044800	55	675.0	11.5979
225	0.045000	72	658.0	11.3058
226	0.045200	97	633.0	10.8763
227	0.045400	110	620.0	10.6529
228	0.045600	120	610.0	10.4811
229	0.045800	113	617.0	10.6014
230	0.046000	135	595.0	10.2234
231	0.046200	129	601.0	10.3265
232	0.046400	109	621.0	10.6701
233	0.046600	127	603.0	10.3608
234	0.046800	113	617.0	10.6014
235	0.047000	96	634.0	10.8935
236	0.047200	76	654.0	11.2371
237	0.047400	93	637.0	10.9450
238	0.047600	88	642.0	11.0309
239	0.047800	99	631.0	10.8419
240	0.048000	92	638.0	10.9622
241	0.048200	81	649.0	11.1512
242	0.048400	127	603.0	10.3608
243	0.048600	137	593.0	10.1890
244	0.048800	135	595.0	10.2234
245	0.049000	145	585.0	10.0515
246	0.049200	143	587.0	10.0859
247	0.049400	126	604.0	10.3780
248	0.049600	105	625.0	10.7388
249	0.049800	125	605.0	10.3952
250	0.050000	108	622.0	10.6873
251	0.050200	90	640.0	10.9966
252	0.050400	69	661.0	11.3574
253	0.050600	58	672.0	11.5464
254	0.050800	73	657.0	11.2887
255	0.051000	114	616.0	10.5842
256	0.051200	96	634.0	10.8935
257	0.051400	107	623.0	10.7045
258	0.051600	94	636.0	10.9278
259	0.051800	74	656.0	11.2715
260	0.052000	81	649.0	11.1512
261	0.052200	110	620.0	10.6529
262	0.052400	94	636.0	10.9278
263	0.052600	110	620.0	10.6529
264	0.052800	96	634.0	10.8935
265	0.053000	76	654.0	11.2371
266	0.053200	98	632.0	10.8591
267	0.053400	81	649.0	11.1512
268	0.053600	116	614.0	10.5498
269	0.053800	125	605.0	10.3952
270	0.054000	123	607.0	10.4296
271	0.054200	110	620.0	10.6529
272	0.054400	131	599.0	10.2921
273	0.054600	116	614.0	10.5498
274	0.054800	96	634.0	10.8935
275	0.055000	73	657.0	11.2887
276	0.055200	58	672.0	11.5464
277	0.055400	106	624.0	10.7216
278	0.055600	115	615.0	10.5670
279	0.055800	111	619.0	10.6357
280	0.056000	119	611.0	10.4983
