# Jet breakup length measurement
# Input         : C:\Users\boris\Desktop\Uni\Project\vr_05-06-26\swisstransfer_99112ac3-7cfb-46aa-9b93-8c91a4d14a13\Measurement_8(1350).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 1218 px  (21.000 mm)
# Scale         : 58 px/mm
# FPS           : 5000.0
# Threshold     : 180
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	453	1564.0	26.9655
1	0.000200	445	1572.0	27.1034
2	0.000400	452	1565.0	26.9828
3	0.000600	441	1576.0	27.1724
4	0.000800	461	1556.0	26.8276
5	0.001000	458	1559.0	26.8793
6	0.001200	451	1566.0	27.0000
7	0.001400	469	1548.0	26.6897
8	0.001600	461	1556.0	26.8276
9	0.001800	499	1518.0	26.1724
10	0.002000	479	1538.0	26.5172
11	0.002200	476	1541.0	26.5690
12	0.002400	473	1544.0	26.6207
13	0.002600	470	1547.0	26.6724
14	0.002800	473	1544.0	26.6207
15	0.003000	466	1551.0	26.7414
16	0.003200	449	1568.0	27.0345
17	0.003400	471	1546.0	26.6552
18	0.003600	465	1552.0	26.7586
19	0.003800	398	1619.0	27.9138
20	0.004000	380	1637.0	28.2241
21	0.004200	361	1656.0	28.5517
22	0.004400	342	1675.0	28.8793
23	0.004600	438	1579.0	27.2241
24	0.004800	461	1556.0	26.8276
25	0.005000	448	1569.0	27.0517
26	0.005200	442	1575.0	27.1552
27	0.005400	460	1557.0	26.8448
28	0.005600	449	1568.0	27.0345
29	0.005800	425	1592.0	27.4483
30	0.006000	413	1604.0	27.6552
31	0.006200	455	1562.0	26.9310
32	0.006400	470	1547.0	26.6724
33	0.006600	458	1559.0	26.8793
34	0.006800	481	1536.0	26.4828
35	0.007000	475	1542.0	26.5862
36	0.007200	474	1543.0	26.6034
37	0.007400	493	1524.0	26.2759
38	0.007600	469	1548.0	26.6897
39	0.007800	464	1553.0	26.7759
40	0.008000	445	1572.0	27.1034
41	0.008200	425	1592.0	27.4483
42	0.008400	404	1613.0	27.8103
43	0.008600	599	1418.0	24.4483
44	0.008800	578	1439.0	24.8103
45	0.009000	629	1388.0	23.9310
46	0.009200	616	1401.0	24.1552
47	0.009400	644	1373.0	23.6724
48	0.009600	641	1376.0	23.7241
49	0.009800	636	1381.0	23.8103
50	0.010000	658	1359.0	23.4310
51	0.010200	646	1371.0	23.6379
52	0.010400	681	1336.0	23.0345
53	0.010600	673	1344.0	23.1724
54	0.010800	647	1370.0	23.6207
55	0.011000	645	1372.0	23.6552
56	0.011200	649	1368.0	23.5862
57	0.011400	642	1375.0	23.7069
58	0.011600	628	1389.0	23.9483
59	0.011800	613	1404.0	24.2069
60	0.012000	598	1419.0	24.4655
61	0.012200	582	1435.0	24.7414
62	0.012400	625	1392.0	24.0000
63	0.012600	626	1391.0	23.9828
64	0.012800	616	1401.0	24.1552
65	0.013000	604	1413.0	24.3621
66	0.013200	590	1427.0	24.6034
