# Jet breakup length measurement
# Input         : C:\Users\boris\Desktop\Uni\Project\vr_05-06-26\swisstransfer_99112ac3-7cfb-46aa-9b93-8c91a4d14a13\Measurement_10(1550).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 1218 px  (21.000 mm)
# Scale         : 58.0 px/mm
# FPS           : 5000.0
# Threshold     : 190
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	306	1711.0	29.5000
1	0.000200	298	1719.0	29.6379
2	0.000400	289	1728.0	29.7931
3	0.000600	279	1738.0	29.9655
4	0.000800	299	1718.0	29.6207
5	0.001000	290	1727.0	29.7759
6	0.001200	276	1741.0	30.0172
7	0.001400	240	1777.0	30.6379
8	0.001600	232	1785.0	30.7759
9	0.001800	214	1803.0	31.0862
10	0.002000	192	1825.0	31.4655
11	0.002200	250	1767.0	30.4655
12	0.002400	238	1779.0	30.6724
13	0.002600	223	1794.0	30.9310
14	0.002800	206	1811.0	31.2241
15	0.003000	189	1828.0	31.5172
16	0.003200	170	1847.0	31.8448
17	0.003400	152	1865.0	32.1552
18	0.003600	215	1802.0	31.0690
19	0.003800	202	1815.0	31.2931
20	0.004000	185	1832.0	31.5862
21	0.004200	209	1808.0	31.1724
22	0.004400	199	1818.0	31.3448
23	0.004600	188	1829.0	31.5345
24	0.004800	223	1794.0	30.9310
25	0.005000	249	1768.0	30.4828
26	0.005200	242	1775.0	30.6034
27	0.005400	264	1753.0	30.2241
28	0.005600	249	1768.0	30.4828
29	0.005800	219	1798.0	31.0000
30	0.006000	257	1760.0	30.3448
31	0.006200	254	1763.0	30.3966
32	0.006400	335	1682.0	29.0000
33	0.006600	396	1621.0	27.9483
34	0.006800	380	1637.0	28.2241
35	0.007000	357	1660.0	28.6207
36	0.007200	353	1664.0	28.6897
37	0.007400	350	1667.0	28.7414
38	0.007600	342	1675.0	28.8793
39	0.007800	330	1687.0	29.0862
40	0.008000	315	1702.0	29.3448
41	0.008200	299	1718.0	29.6207
42	0.008400	282	1735.0	29.9138
43	0.008600	266	1751.0	30.1897
44	0.008800	248	1769.0	30.5000
45	0.009000	230	1787.0	30.8103
46	0.009200	348	1669.0	28.7759
