# Jet breakup length measurement
# Input         : ./Measurements 05-06-2026\measurement_16(2150).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 1830 px  (31.497 mm)
# Scale         : 58.1 px/mm
# FPS           : 5000.0
# Threshold     : 208
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	392	2237.0	38.5026
1	0.000200	372	2257.0	38.8468
2	0.000400	357	2272.0	39.1050
3	0.000600	401	2228.0	38.3477
4	0.000800	380	2249.0	38.7091
5	0.001000	356	2273.0	39.1222
6	0.001200	323	2306.0	39.6902
7	0.001400	317	2312.0	39.7935
8	0.001600	301	2328.0	40.0688
9	0.001800	341	2288.0	39.3804
10	0.002000	320	2309.0	39.7418
11	0.002200	295	2334.0	40.1721
12	0.002400	267	2362.0	40.6540
13	0.002600	257	2372.0	40.8262
14	0.002800	319	2310.0	39.7590
15	0.003000	396	2233.0	38.4337
16	0.003200	465	2164.0	37.2461
17	0.003400	445	2184.0	37.5904
18	0.003600	422	2207.0	37.9862
19	0.003800	490	2139.0	36.8158
20	0.004000	467	2162.0	37.2117
21	0.004200	444	2185.0	37.6076
22	0.004400	430	2199.0	37.8485
23	0.004600	484	2145.0	36.9191
24	0.004800	462	2167.0	37.2978
25	0.005000	439	2190.0	37.6936
26	0.005200	417	2212.0	38.0723
27	0.005400	404	2225.0	38.2960
28	0.005600	379	2250.0	38.7263
29	0.005800	423	2206.0	37.9690
30	0.006000	400	2229.0	38.3649
31	0.006200	389	2240.0	38.5542
32	0.006400	353	2276.0	39.1738
33	0.006600	339	2290.0	39.4148
34	0.006800	333	2296.0	39.5181
35	0.007000	379	2250.0	38.7263
36	0.007200	355	2274.0	39.1394
37	0.007400	317	2312.0	39.7935
38	0.007600	332	2297.0	39.5353
39	0.007800	309	2320.0	39.9312
40	0.008000	296	2333.0	40.1549
41	0.008200	277	2352.0	40.4819
42	0.008400	371	2258.0	38.8640
43	0.008600	430	2199.0	37.8485
44	0.008800	437	2192.0	37.7281
45	0.009000	417	2212.0	38.0723
46	0.009200	401	2228.0	38.3477
47	0.009400	383	2246.0	38.6575
48	0.009600	428	2201.0	37.8830
49	0.009800	398	2231.0	38.3993
50	0.010000	387	2242.0	38.5886
51	0.010200	356	2273.0	39.1222
52	0.010400	363	2266.0	39.0017
53	0.010600	329	2300.0	39.5869
54	0.010800	393	2236.0	38.4854
55	0.011000	373	2256.0	38.8296
56	0.011200	349	2280.0	39.2427
57	0.011400	401	2228.0	38.3477
58	0.011600	403	2226.0	38.3133
59	0.011800	383	2246.0	38.6575
60	0.012000	369	2260.0	38.8985
61	0.012200	426	2203.0	37.9174
62	0.012400	401	2228.0	38.3477
63	0.012600	380	2249.0	38.7091
64	0.012800	366	2263.0	38.9501
65	0.013000	421	2208.0	38.0034
66	0.013200	397	2232.0	38.4165
67	0.013400	461	2168.0	37.3150
68	0.013600	439	2190.0	37.6936
69	0.013800	785	1844.0	31.7384
70	0.014000	-1	0.0	0.0000
71	0.014200	780	1849.0	31.8244
72	0.014400	-1	0.0	0.0000
73	0.014600	791	1838.0	31.6351
74	0.014800	-1	0.0	0.0000
75	0.015000	-1	0.0	0.0000
76	0.015200	773	1856.0	31.9449
77	0.015400	747	1882.0	32.3924
78	0.015600	-1	0.0	0.0000
79	0.015800	-1	0.0	0.0000
80	0.016000	799	1830.0	31.4974
81	0.016200	796	1833.0	31.5491
82	0.016400	776	1853.0	31.8933
