# Jet breakup length measurement
# Input         : C:\Users\boris\Desktop\Uni\Project\vr_05-06-26\swisstransfer_99112ac3-7cfb-46aa-9b93-8c91a4d14a13\Measurement_7(1250).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 814.8 px  (14.000 mm)
# Scale         : 58.2 px/mm
# FPS           : 5000.0
# Threshold     : 180
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	565	1048.0	18.0069
1	0.000200	551	1062.0	18.2474
2	0.000400	550	1063.0	18.2646
3	0.000600	554	1059.0	18.1959
4	0.000800	541	1072.0	18.4192
5	0.001000	581	1032.0	17.7320
6	0.001200	573	1040.0	17.8694
7	0.001400	565	1048.0	18.0069
8	0.001600	539	1074.0	18.4536
9	0.001800	538	1075.0	18.4708
10	0.002000	545	1068.0	18.3505
11	0.002200	541	1072.0	18.4192
12	0.002400	527	1086.0	18.6598
13	0.002600	513	1100.0	18.9003
14	0.002800	499	1114.0	19.1409
15	0.003000	484	1129.0	19.3986
16	0.003200	469	1144.0	19.6564
17	0.003400	454	1159.0	19.9141
18	0.003600	433	1180.0	20.2749
19	0.003800	418	1195.0	20.5326
20	0.004000	408	1205.0	20.7045
21	0.004200	537	1076.0	18.4880
22	0.004400	523	1090.0	18.7285
23	0.004600	508	1105.0	18.9863
24	0.004800	537	1076.0	18.4880
25	0.005000	526	1087.0	18.6770
26	0.005200	567	1046.0	17.9725
27	0.005400	555	1058.0	18.1787
28	0.005600	529	1084.0	18.6254
29	0.005800	529	1084.0	18.6254
30	0.006000	530	1083.0	18.6082
31	0.006200	526	1087.0	18.6770
32	0.006400	517	1096.0	18.8316
33	0.006600	505	1108.0	19.0378
34	0.006800	493	1120.0	19.2440
35	0.007000	481	1132.0	19.4502
36	0.007200	467	1146.0	19.6907
37	0.007400	454	1159.0	19.9141
38	0.007600	440	1173.0	20.1546
39	0.007800	426	1187.0	20.3952
40	0.008000	414	1199.0	20.6014
41	0.008200	404	1209.0	20.7732
42	0.008400	517	1096.0	18.8316
43	0.008600	505	1108.0	19.0378
44	0.008800	509	1104.0	18.9691
45	0.009000	503	1110.0	19.0722
46	0.009200	491	1122.0	19.2784
47	0.009400	477	1136.0	19.5189
48	0.009600	462	1151.0	19.7766
49	0.009800	447	1166.0	20.0344
50	0.010000	490	1123.0	19.2955
51	0.010200	490	1123.0	19.2955
52	0.010400	488	1125.0	19.3299
53	0.010600	481	1132.0	19.4502
54	0.010800	470	1143.0	19.6392
55	0.011000	456	1157.0	19.8797
56	0.011200	442	1171.0	20.1203
57	0.011400	427	1186.0	20.3780
58	0.011600	411	1202.0	20.6529
59	0.011800	461	1152.0	19.7938
60	0.012000	455	1158.0	19.8969
61	0.012200	446	1167.0	20.0515
62	0.012400	435	1178.0	20.2405
63	0.012600	423	1190.0	20.4467
64	0.012800	410	1203.0	20.6701
65	0.013000	397	1216.0	20.8935
66	0.013200	519	1094.0	18.7973
67	0.013400	509	1104.0	18.9691
68	0.013600	475	1138.0	19.5533
69	0.013800	469	1144.0	19.6564
70	0.014000	465	1148.0	19.7251
71	0.014200	466	1147.0	19.7079
72	0.014400	474	1139.0	19.5704
73	0.014600	464	1149.0	19.7423
74	0.014800	452	1161.0	19.9485
75	0.015000	439	1174.0	20.1718
76	0.015200	427	1186.0	20.3780
77	0.015400	414	1199.0	20.6014
78	0.015600	519	1094.0	18.7973
79	0.015800	502	1111.0	19.0893
80	0.016000	476	1137.0	19.5361
81	0.016200	509	1104.0	18.9691
82	0.016400	506	1107.0	19.0206
83	0.016600	495	1118.0	19.2096
84	0.016800	482	1131.0	19.4330
85	0.017000	458	1155.0	19.8454
86	0.017200	451	1162.0	19.9656
87	0.017400	441	1172.0	20.1375
88	0.017600	425	1188.0	20.4124
89	0.017800	408	1205.0	20.7045
90	0.018000	390	1223.0	21.0137
91	0.018200	378	1235.0	21.2199
92	0.018400	369	1244.0	21.3746
93	0.018600	362	1251.0	21.4948
94	0.018800	455	1158.0	19.8969
95	0.019000	447	1166.0	20.0344
96	0.019200	439	1174.0	20.1718
97	0.019400	432	1181.0	20.2921
98	0.019600	426	1187.0	20.3952
99	0.019800	498	1115.0	19.1581
100	0.020000	511	1102.0	18.9347
101	0.020200	465	1148.0	19.7251
102	0.020400	503	1110.0	19.0722
103	0.020600	493	1120.0	19.2440
104	0.020800	531	1082.0	18.5911
105	0.021000	521	1092.0	18.7629
106	0.021200	499	1114.0	19.1409
107	0.021400	498	1115.0	19.1581
108	0.021600	503	1110.0	19.0722
109	0.021800	497	1116.0	19.1753
110	0.022000	484	1129.0	19.3986
111	0.022200	471	1142.0	19.6220
112	0.022400	457	1156.0	19.8625
113	0.022600	442	1171.0	20.1203
114	0.022800	487	1126.0	19.3471
115	0.023000	488	1125.0	19.3299
116	0.023200	480	1133.0	19.4674
117	0.023400	468	1145.0	19.6735
118	0.023600	513	1100.0	18.9003
119	0.023800	493	1120.0	19.2440
120	0.024000	479	1134.0	19.4845
121	0.024200	468	1145.0	19.6735
122	0.024400	464	1149.0	19.7423
123	0.024600	489	1124.0	19.3127
124	0.024800	480	1133.0	19.4674
125	0.025000	449	1164.0	20.0000
126	0.025200	505	1108.0	19.0378
127	0.025400	489	1124.0	19.3127
128	0.025600	476	1137.0	19.5361
129	0.025800	473	1140.0	19.5876
130	0.026000	471	1142.0	19.6220
131	0.026200	466	1147.0	19.7079
132	0.026400	455	1158.0	19.8969
133	0.026600	442	1171.0	20.1203
134	0.026800	428	1185.0	20.3608
135	0.027000	413	1200.0	20.6186
136	0.027200	457	1156.0	19.8625
137	0.027400	462	1151.0	19.7766
138	0.027600	446	1167.0	20.0515
139	0.027800	497	1116.0	19.1753
140	0.028000	482	1131.0	19.4330
141	0.028200	555	1058.0	18.1787
142	0.028400	544	1069.0	18.3677
143	0.028600	509	1104.0	18.9691
144	0.028800	505	1108.0	19.0378
145	0.029000	502	1111.0	19.0893
