# Jet breakup length measurement
# Input         : ./Measurements 08-06-2026\Measurement_20(2750).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 466 px  (20.000 mm)
# Scale         : 23.3 px/mm
# FPS           : 5000.0
# Threshold     : 165
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	601	664.0	28.4979
1	0.000200	598	667.0	28.6266
2	0.000400	587	678.0	29.0987
3	0.000600	583	682.0	29.2704
4	0.000800	597	668.0	28.6695
5	0.001000	593	672.0	28.8412
6	0.001200	589	676.0	29.0129
7	0.001400	585	680.0	29.1845
8	0.001600	575	690.0	29.6137
9	0.001800	571	694.0	29.7854
10	0.002000	565	700.0	30.0429
11	0.002200	555	710.0	30.4721
12	0.002400	545	720.0	30.9013
13	0.002600	539	726.0	31.1588
14	0.002800	537	728.0	31.2446
15	0.003000	529	736.0	31.5880
16	0.003200	573	692.0	29.6996
17	0.003400	568	697.0	29.9142
18	0.003600	587	678.0	29.0987
19	0.003800	577	688.0	29.5279
20	0.004000	577	688.0	29.5279
21	0.004200	573	692.0	29.6996
22	0.004400	568	697.0	29.9142
23	0.004600	559	706.0	30.3004
24	0.004800	553	712.0	30.5579
25	0.005000	544	721.0	30.9442
26	0.005200	535	730.0	31.3305
27	0.005400	527	738.0	31.6738
28	0.005600	519	746.0	32.0172
29	0.005800	538	727.0	31.2017
30	0.006000	534	731.0	31.3734
31	0.006200	529	736.0	31.5880
32	0.006400	525	740.0	31.7597
33	0.006600	573	692.0	29.6996
34	0.006800	570	695.0	29.8283
35	0.007000	564	701.0	30.0858
36	0.007200	556	709.0	30.4292
37	0.007400	549	716.0	30.7296
38	0.007600	557	708.0	30.3863
39	0.007800	553	712.0	30.5579
40	0.008000	550	715.0	30.6867
41	0.008200	545	720.0	30.9013
42	0.008400	543	722.0	30.9871
43	0.008600	538	727.0	31.2017
44	0.008800	532	733.0	31.4592
45	0.009000	525	740.0	31.7597
46	0.009200	518	747.0	32.0601
47	0.009400	511	754.0	32.3605
48	0.009600	504	761.0	32.6609
49	0.009800	496	769.0	33.0043
50	0.010000	489	776.0	33.3047
51	0.010200	481	784.0	33.6481
52	0.010400	473	792.0	33.9914
53	0.010600	465	800.0	34.3348
54	0.010800	515	750.0	32.1888
55	0.011000	451	814.0	34.9356
56	0.011200	537	728.0	31.2446
57	0.011400	531	734.0	31.5021
58	0.011600	553	712.0	30.5579
59	0.011800	595	670.0	28.7554
60	0.012000	597	668.0	28.6695
61	0.012200	593	672.0	28.8412
62	0.012400	613	652.0	27.9828
63	0.012600	609	656.0	28.1545
64	0.012800	605	660.0	28.3262
65	0.013000	598	667.0	28.6266
66	0.013200	615	650.0	27.8970
67	0.013400	609	656.0	28.1545
68	0.013600	607	658.0	28.2403
69	0.013800	602	663.0	28.4549
70	0.014000	595	670.0	28.7554
71	0.014200	585	680.0	29.1845
72	0.014400	579	686.0	29.4421
73	0.014600	571	694.0	29.7854
74	0.014800	585	680.0	29.1845
75	0.015000	577	688.0	29.5279
76	0.015200	575	690.0	29.6137
77	0.015400	571	694.0	29.7854
78	0.015600	565	700.0	30.0429
79	0.015800	558	707.0	30.3433
80	0.016000	551	714.0	30.6438
81	0.016200	544	721.0	30.9442
82	0.016400	537	728.0	31.2446
83	0.016600	529	736.0	31.5880
84	0.016800	522	743.0	31.8884
85	0.017000	514	751.0	32.2318
86	0.017200	507	758.0	32.5322
87	0.017400	499	766.0	32.8755
88	0.017600	491	774.0	33.2189
89	0.017800	587	678.0	29.0987
90	0.018000	583	682.0	29.2704
91	0.018200	578	687.0	29.4850
92	0.018400	593	672.0	28.8412
93	0.018600	587	678.0	29.0987
94	0.018800	583	682.0	29.2704
95	0.019000	579	686.0	29.4421
96	0.019200	569	696.0	29.8712
97	0.019400	565	700.0	30.0429
98	0.019600	557	708.0	30.3863
99	0.019800	549	716.0	30.7296
100	0.020000	541	724.0	31.0730
101	0.020200	538	727.0	31.2017
102	0.020400	575	690.0	29.6137
103	0.020600	567	698.0	29.9571
104	0.020800	572	693.0	29.7425
105	0.021000	567	698.0	29.9571
106	0.021200	560	705.0	30.2575
107	0.021400	553	712.0	30.5579
108	0.021600	545	720.0	30.9013
109	0.021800	538	727.0	31.2017
110	0.022000	531	734.0	31.5021
111	0.022200	519	746.0	32.0172
112	0.022400	513	752.0	32.2747
113	0.022600	505	760.0	32.6180
114	0.022800	497	768.0	32.9614
115	0.023000	487	778.0	33.3906
116	0.023200	481	784.0	33.6481
117	0.023400	475	790.0	33.9056
118	0.023600	469	796.0	34.1631
119	0.023800	462	803.0	34.4635
120	0.024000	529	736.0	31.5880
121	0.024200	519	746.0	32.0172
122	0.024400	517	748.0	32.1030
123	0.024600	537	728.0	31.2446
124	0.024800	504	761.0	32.6609
125	0.025000	521	744.0	31.9313
126	0.025200	517	748.0	32.1030
127	0.025400	513	752.0	32.2747
128	0.025600	505	760.0	32.6180
129	0.025800	499	766.0	32.8755
130	0.026000	544	721.0	30.9442
131	0.026200	535	730.0	31.3305
132	0.026400	565	700.0	30.0429
133	0.026600	555	710.0	30.4721
134	0.026800	553	712.0	30.5579
135	0.027000	545	720.0	30.9013
136	0.027200	565	700.0	30.0429
137	0.027400	555	710.0	30.4721
138	0.027600	563	702.0	30.1288
139	0.027800	557	708.0	30.3863
140	0.028000	550	715.0	30.6867
141	0.028200	567	698.0	29.9571
142	0.028400	565	700.0	30.0429
143	0.028600	545	720.0	30.9013
144	0.028800	554	711.0	30.5150
145	0.029000	545	720.0	30.9013
146	0.029200	569	696.0	29.8712
147	0.029400	565	700.0	30.0429
148	0.029600	545	720.0	30.9013
149	0.029800	559	706.0	30.3004
150	0.030000	552	713.0	30.6009
151	0.030200	675	590.0	25.3219
152	0.030400	671	594.0	25.4936
153	0.030600	667	598.0	25.6652
154	0.030800	663	602.0	25.8369
155	0.031000	658	607.0	26.0515
156	0.031200	651	614.0	26.3519
157	0.031400	644	621.0	26.6524
158	0.031600	636	629.0	26.9957
159	0.031800	647	618.0	26.5236
160	0.032000	643	622.0	26.6953
161	0.032200	641	624.0	26.7811
162	0.032400	639	626.0	26.8670
163	0.032600	633	632.0	27.1245
164	0.032800	627	638.0	27.3820
165	0.033000	619	646.0	27.7253
166	0.033200	612	653.0	28.0258
167	0.033400	605	660.0	28.3262
168	0.033600	597	668.0	28.6695
169	0.033800	590	675.0	28.9700
170	0.034000	582	683.0	29.3133
171	0.034200	574	691.0	29.6567
172	0.034400	566	699.0	30.0000
173	0.034600	558	707.0	30.3433
174	0.034800	550	715.0	30.6867
175	0.035000	543	722.0	30.9871
176	0.035200	537	728.0	31.2446
177	0.035400	531	734.0	31.5021
178	0.035600	637	628.0	26.9528
