# Jet breakup length measurement
# Input         : C:\Users\taran\Downloads\metingen_09-06-2026\Measurement_7(2550).cine
# Rotation      : 270 deg
# Nozzle exit x : 773 px  (in rotated frame)
# Needle length : 26 px  (1.083 mm)
# Offset        : 0 px  (0.000 mm)
# Scale         : 24 px/mm
# FPS           : 5000.0
# Threshold     : 172
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	399	374.0	15.5833
1	0.000200	0	773.0	32.2083
2	0.000400	400	373.0	15.5417
3	0.000600	0	773.0	32.2083
4	0.000800	0	773.0	32.2083
5	0.001000	772	1.0	0.0417
6	0.001200	0	773.0	32.2083
7	0.001400	0	773.0	32.2083
8	0.001600	0	773.0	32.2083
9	0.001800	0	773.0	32.2083
10	0.002000	397	376.0	15.6667
11	0.002200	0	773.0	32.2083
12	0.002400	392	381.0	15.8750
13	0.002600	0	773.0	32.2083
14	0.002800	0	773.0	32.2083
15	0.003000	0	773.0	32.2083
16	0.003200	0	773.0	32.2083
17	0.003400	0	773.0	32.2083
18	0.003600	392	381.0	15.8750
19	0.003800	0	773.0	32.2083
20	0.004000	0	773.0	32.2083
21	0.004200	771	2.0	0.0833
22	0.004400	0	773.0	32.2083
23	0.004600	0	773.0	32.2083
24	0.004800	0	773.0	32.2083
25	0.005000	0	773.0	32.2083
26	0.005200	0	773.0	32.2083
27	0.005400	0	773.0	32.2083
28	0.005600	0	773.0	32.2083
29	0.005800	0	773.0	32.2083
30	0.006000	0	773.0	32.2083
31	0.006200	0	773.0	32.2083
32	0.006400	0	773.0	32.2083
33	0.006600	0	773.0	32.2083
34	0.006800	771	2.0	0.0833
35	0.007000	0	773.0	32.2083
36	0.007200	0	773.0	32.2083
37	0.007400	771	2.0	0.0833
38	0.007600	0	773.0	32.2083
39	0.007800	771	2.0	0.0833
40	0.008000	0	773.0	32.2083
41	0.008200	0	773.0	32.2083
42	0.008400	0	773.0	32.2083
43	0.008600	0	773.0	32.2083
44	0.008800	0	773.0	32.2083
45	0.009000	0	773.0	32.2083
46	0.009200	196	577.0	24.0417
47	0.009400	388	385.0	16.0417
48	0.009600	770	3.0	0.1250
49	0.009800	0	773.0	32.2083
50	0.010000	0	773.0	32.2083
51	0.010200	771	2.0	0.0833
52	0.010400	0	773.0	32.2083
53	0.010600	0	773.0	32.2083
54	0.010800	0	773.0	32.2083
55	0.011000	0	773.0	32.2083
56	0.011200	0	773.0	32.2083
57	0.011400	0	773.0	32.2083
58	0.011600	0	773.0	32.2083
59	0.011800	0	773.0	32.2083
60	0.012000	0	773.0	32.2083
61	0.012200	0	773.0	32.2083
62	0.012400	0	773.0	32.2083
63	0.012600	0	773.0	32.2083
64	0.012800	0	773.0	32.2083
65	0.013000	0	773.0	32.2083
66	0.013200	0	773.0	32.2083
67	0.013400	0	773.0	32.2083
68	0.013600	0	773.0	32.2083
69	0.013800	0	773.0	32.2083
70	0.014000	0	773.0	32.2083
71	0.014200	0	773.0	32.2083
72	0.014400	0	773.0	32.2083
73	0.014600	0	773.0	32.2083
74	0.014800	0	773.0	32.2083
75	0.015000	0	773.0	32.2083
76	0.015200	0	773.0	32.2083
77	0.015400	0	773.0	32.2083
78	0.015600	0	773.0	32.2083
79	0.015800	0	773.0	32.2083
80	0.016000	0	773.0	32.2083
81	0.016200	0	773.0	32.2083
82	0.016400	0	773.0	32.2083
83	0.016600	771	2.0	0.0833
84	0.016800	0	773.0	32.2083
85	0.017000	0	773.0	32.2083
86	0.017200	0	773.0	32.2083
87	0.017400	392	381.0	15.8750
88	0.017600	0	773.0	32.2083
89	0.017800	0	773.0	32.2083
90	0.018000	0	773.0	32.2083
91	0.018200	0	773.0	32.2083
92	0.018400	0	773.0	32.2083
93	0.018600	0	773.0	32.2083
94	0.018800	388	385.0	16.0417
95	0.019000	0	773.0	32.2083
96	0.019200	0	773.0	32.2083
97	0.019400	400	373.0	15.5417
98	0.019600	0	773.0	32.2083
99	0.019800	392	381.0	15.8750
100	0.020000	0	773.0	32.2083
101	0.020200	0	773.0	32.2083
102	0.020400	0	773.0	32.2083
103	0.020600	0	773.0	32.2083
104	0.020800	396	377.0	15.7083
105	0.021000	0	773.0	32.2083
106	0.021200	431	342.0	14.2500
107	0.021400	0	773.0	32.2083
108	0.021600	0	773.0	32.2083
109	0.021800	0	773.0	32.2083
110	0.022000	0	773.0	32.2083
111	0.022200	0	773.0	32.2083
112	0.022400	0	773.0	32.2083
113	0.022600	0	773.0	32.2083
114	0.022800	0	773.0	32.2083
115	0.023000	771	2.0	0.0833
116	0.023200	392	381.0	15.8750
117	0.023400	0	773.0	32.2083
118	0.023600	0	773.0	32.2083
119	0.023800	770	3.0	0.1250
120	0.024000	0	773.0	32.2083
121	0.024200	0	773.0	32.2083
122	0.024400	0	773.0	32.2083
123	0.024600	0	773.0	32.2083
124	0.024800	400	373.0	15.5417
125	0.025000	0	773.0	32.2083
126	0.025200	0	773.0	32.2083
127	0.025400	0	773.0	32.2083
128	0.025600	204	569.0	23.7083
129	0.025800	0	773.0	32.2083
130	0.026000	0	773.0	32.2083
131	0.026200	0	773.0	32.2083
132	0.026400	400	373.0	15.5417
133	0.026600	0	773.0	32.2083
134	0.026800	0	773.0	32.2083
135	0.027000	770	3.0	0.1250
136	0.027200	0	773.0	32.2083
137	0.027400	0	773.0	32.2083
138	0.027600	0	773.0	32.2083
139	0.027800	0	773.0	32.2083
140	0.028000	0	773.0	32.2083
141	0.028200	0	773.0	32.2083
142	0.028400	0	773.0	32.2083
143	0.028600	0	773.0	32.2083
144	0.028800	0	773.0	32.2083
145	0.029000	0	773.0	32.2083
146	0.029200	0	773.0	32.2083
147	0.029400	0	773.0	32.2083
148	0.029600	392	381.0	15.8750
149	0.029800	0	773.0	32.2083
150	0.030000	0	773.0	32.2083
151	0.030200	0	773.0	32.2083
152	0.030400	0	773.0	32.2083
153	0.030600	0	773.0	32.2083
154	0.030800	0	773.0	32.2083
155	0.031000	0	773.0	32.2083
156	0.031200	415	358.0	14.9167
157	0.031400	0	773.0	32.2083
158	0.031600	0	773.0	32.2083
159	0.031800	400	373.0	15.5417
160	0.032000	0	773.0	32.2083
161	0.032200	400	373.0	15.5417
162	0.032400	0	773.0	32.2083
163	0.032600	0	773.0	32.2083
164	0.032800	0	773.0	32.2083
165	0.033000	0	773.0	32.2083
166	0.033200	0	773.0	32.2083
167	0.033400	0	773.0	32.2083
168	0.033600	400	373.0	15.5417
169	0.033800	0	773.0	32.2083
170	0.034000	0	773.0	32.2083
171	0.034200	0	773.0	32.2083
172	0.034400	0	773.0	32.2083
173	0.034600	392	381.0	15.8750
174	0.034800	0	773.0	32.2083
175	0.035000	392	381.0	15.8750
176	0.035200	0	773.0	32.2083
177	0.035400	0	773.0	32.2083
178	0.035600	0	773.0	32.2083
179	0.035800	0	773.0	32.2083
180	0.036000	0	773.0	32.2083
181	0.036200	0	773.0	32.2083
182	0.036400	0	773.0	32.2083
183	0.036600	431	342.0	14.2500
184	0.036800	0	773.0	32.2083
185	0.037000	0	773.0	32.2083
186	0.037200	771	2.0	0.0833
187	0.037400	0	773.0	32.2083
188	0.037600	0	773.0	32.2083
189	0.037800	0	773.0	32.2083
190	0.038000	770	3.0	0.1250
191	0.038200	0	773.0	32.2083
192	0.038400	0	773.0	32.2083
193	0.038600	0	773.0	32.2083
194	0.038800	0	773.0	32.2083
195	0.039000	0	773.0	32.2083
196	0.039200	437	336.0	14.0000
197	0.039400	771	2.0	0.0833
198	0.039600	770	3.0	0.1250
199	0.039800	0	773.0	32.2083
200	0.040000	0	773.0	32.2083
201	0.040200	209	564.0	23.5000
202	0.040400	0	773.0	32.2083
203	0.040600	0	773.0	32.2083
204	0.040800	0	773.0	32.2083
205	0.041000	0	773.0	32.2083
206	0.041200	0	773.0	32.2083
207	0.041400	0	773.0	32.2083
208	0.041600	0	773.0	32.2083
209	0.041800	0	773.0	32.2083
210	0.042000	0	773.0	32.2083
211	0.042200	0	773.0	32.2083
212	0.042400	771	2.0	0.0833
213	0.042600	0	773.0	32.2083
214	0.042800	0	773.0	32.2083
215	0.043000	0	773.0	32.2083
216	0.043200	0	773.0	32.2083
217	0.043400	201	572.0	23.8333
218	0.043600	0	773.0	32.2083
219	0.043800	0	773.0	32.2083
