# Jet breakup length measurement
# Input         : ./Measurements 12-06-2026\measurement_18(2350)poging2.cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 494.05 px  (20.500 mm)
# Scale         : 24.1 px/mm
# FPS           : 5000.0
# Threshold     : 175
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	362	931.0	38.6307
1	0.000200	375	918.0	38.0913
2	0.000400	381	912.0	37.8423
3	0.000600	374	919.0	38.1328
4	0.000800	363	930.0	38.5892
5	0.001000	377	916.0	38.0083
6	0.001200	365	928.0	38.5062
7	0.001400	371	922.0	38.2573
8	0.001600	363	930.0	38.5892
9	0.001800	352	941.0	39.0456
10	0.002000	365	928.0	38.5062
11	0.002200	367	926.0	38.4232
12	0.002400	357	936.0	38.8382
13	0.002600	350	943.0	39.1286
14	0.002800	367	926.0	38.4232
15	0.003000	361	932.0	38.6722
16	0.003200	393	900.0	37.3444
17	0.003400	345	948.0	39.3361
18	0.003600	365	928.0	38.5062
19	0.003800	365	928.0	38.5062
20	0.004000	393	900.0	37.3444
21	0.004200	347	946.0	39.2531
22	0.004400	369	924.0	38.3402
23	0.004600	365	928.0	38.5062
24	0.004800	355	938.0	38.9212
25	0.005000	345	948.0	39.3361
26	0.005200	369	924.0	38.3402
27	0.005400	361	932.0	38.6722
28	0.005600	352	941.0	39.0456
29	0.005800	343	950.0	39.4191
30	0.006000	373	920.0	38.1743
31	0.006200	365	928.0	38.5062
32	0.006400	355	938.0	38.9212
33	0.006600	345	948.0	39.3361
34	0.006800	373	920.0	38.1743
35	0.007000	368	925.0	38.3817
36	0.007200	357	936.0	38.8382
37	0.007400	347	946.0	39.2531
38	0.007600	383	910.0	37.7593
39	0.007800	373	920.0	38.1743
40	0.008000	363	930.0	38.5892
41	0.008200	389	904.0	37.5104
42	0.008400	389	904.0	37.5104
43	0.008600	377	916.0	38.0083
44	0.008800	370	923.0	38.2988
45	0.009000	393	900.0	37.3444
46	0.009200	431	862.0	35.7676
47	0.009400	383	910.0	37.7593
48	0.009600	399	894.0	37.0954
49	0.009800	393	900.0	37.3444
50	0.010000	395	898.0	37.2614
51	0.010200	387	906.0	37.5934
52	0.010400	377	916.0	38.0083
53	0.010600	389	904.0	37.5104
54	0.010800	395	898.0	37.2614
55	0.011000	387	906.0	37.5934
56	0.011200	379	914.0	37.9253
57	0.011400	393	900.0	37.3444
58	0.011600	387	906.0	37.5934
59	0.011800	389	904.0	37.5104
60	0.012000	380	913.0	37.8838
61	0.012200	369	924.0	38.3402
62	0.012400	383	910.0	37.7593
63	0.012600	381	912.0	37.8423
64	0.012800	359	934.0	38.7552
65	0.013000	367	926.0	38.4232
66	0.013200	381	912.0	37.8423
67	0.013400	375	918.0	38.0913
68	0.013600	375	918.0	38.0913
69	0.013800	397	896.0	37.1784
70	0.014000	357	936.0	38.8382
71	0.014200	373	920.0	38.1743
72	0.014400	369	924.0	38.3402
73	0.014600	361	932.0	38.6722
74	0.014800	354	939.0	38.9627
75	0.015000	369	924.0	38.3402
76	0.015200	361	932.0	38.6722
77	0.015400	361	932.0	38.6722
78	0.015600	389	904.0	37.5104
79	0.015800	343	950.0	39.4191
80	0.016000	363	930.0	38.5892
81	0.016200	359	934.0	38.7552
82	0.016400	385	908.0	37.6763
83	0.016600	341	952.0	39.5021
84	0.016800	359	934.0	38.7552
85	0.017000	355	938.0	38.9212
86	0.017200	349	944.0	39.1701
87	0.017400	339	954.0	39.5851
88	0.017600	331	962.0	39.9170
89	0.017800	357	936.0	38.8382
90	0.018000	349	944.0	39.1701
91	0.018200	339	954.0	39.5851
92	0.018400	329	964.0	40.0000
93	0.018600	353	940.0	39.0041
94	0.018800	349	944.0	39.1701
95	0.019000	338	955.0	39.6266
96	0.019200	371	922.0	38.2573
97	0.019400	365	928.0	38.5062
98	0.019600	355	938.0	38.9212
99	0.019800	379	914.0	37.9253
100	0.020000	375	918.0	38.0913
101	0.020200	369	924.0	38.3402
102	0.020400	359	934.0	38.7552
103	0.020600	383	910.0	37.7593
104	0.020800	377	916.0	38.0083
105	0.021000	369	924.0	38.3402
106	0.021200	361	932.0	38.6722
107	0.021400	352	941.0	39.0456
108	0.021600	373	920.0	38.1743
109	0.021800	367	926.0	38.4232
110	0.022000	357	936.0	38.8382
111	0.022200	347	946.0	39.2531
112	0.022400	369	924.0	38.3402
113	0.022600	363	930.0	38.5892
114	0.022800	355	938.0	38.9212
115	0.023000	345	948.0	39.3361
116	0.023200	333	960.0	39.8340
117	0.023400	361	932.0	38.6722
118	0.023600	353	940.0	39.0041
119	0.023800	344	949.0	39.3776
120	0.024000	333	960.0	39.8340
121	0.024200	324	969.0	40.2075
122	0.024400	315	978.0	40.5809
123	0.024600	337	956.0	39.6680
124	0.024800	328	965.0	40.0415
125	0.025000	315	978.0	40.5809
126	0.025200	291	1002.0	41.5768
127	0.025400	297	996.0	41.3278
128	0.025600	330	963.0	39.9585
129	0.025800	318	975.0	40.4564
130	0.026000	309	984.0	40.8299
131	0.026200	341	952.0	39.5021
132	0.026400	332	961.0	39.8755
133	0.026600	321	972.0	40.3320
134	0.026800	309	984.0	40.8299
135	0.027000	303	990.0	41.0788
136	0.027200	329	964.0	40.0000
137	0.027400	319	974.0	40.4149
138	0.027600	289	1004.0	41.6598
139	0.027800	283	1010.0	41.9087
140	0.028000	289	1004.0	41.6598
141	0.028200	281	1012.0	41.9917
142	0.028400	305	988.0	40.9959
143	0.028600	289	1004.0	41.6598
144	0.028800	279	1014.0	42.0747
145	0.029000	275	1018.0	42.2407
146	0.029200	305	988.0	40.9959
147	0.029400	299	994.0	41.2448
148	0.029600	285	1008.0	41.8257
149	0.029800	281	1012.0	41.9917
150	0.030000	309	984.0	40.8299
151	0.030200	283	1010.0	41.9087
152	0.030400	287	1006.0	41.7427
153	0.030600	265	1028.0	42.6556
154	0.030800	265	1028.0	42.6556
155	0.031000	260	1033.0	42.8631
156	0.031200	252	1041.0	43.1950
157	0.031400	241	1052.0	43.6515
158	0.031600	269	1024.0	42.4896
159	0.031800	265	1028.0	42.6556
160	0.032000	301	992.0	41.1618
161	0.032200	285	1008.0	41.8257
162	0.032400	283	1010.0	41.9087
163	0.032600	323	970.0	40.2490
164	0.032800	357	936.0	38.8382
165	0.033000	351	942.0	39.0871
166	0.033200	341	952.0	39.5021
167	0.033400	331	962.0	39.9170
168	0.033600	357	936.0	38.8382
169	0.033800	350	943.0	39.1286
170	0.034000	339	954.0	39.5851
171	0.034200	329	964.0	40.0000
172	0.034400	351	942.0	39.0871
173	0.034600	345	948.0	39.3361
174	0.034800	339	954.0	39.5851
175	0.035000	329	964.0	40.0000
176	0.035200	319	974.0	40.4149
177	0.035400	343	950.0	39.4191
178	0.035600	337	956.0	39.6680
179	0.035800	328	965.0	40.0415
180	0.036000	317	976.0	40.4979
181	0.036200	309	984.0	40.8299
182	0.036400	300	993.0	41.2033
183	0.036600	289	1004.0	41.6598
184	0.036800	277	1016.0	42.1577
185	0.037000	288	1005.0	41.7012
186	0.037200	271	1022.0	42.4066
187	0.037400	263	1030.0	42.7386
188	0.037600	255	1038.0	43.0705
189	0.037800	247	1046.0	43.4025
190	0.038000	239	1054.0	43.7344
191	0.038200	230	1063.0	44.1079
192	0.038400	222	1071.0	44.4398
193	0.038600	213	1080.0	44.8133
194	0.038800	203	1090.0	45.2282
195	0.039000	307	986.0	40.9129
196	0.039200	299	994.0	41.2448
197	0.039400	288	1005.0	41.7012
198	0.039600	277	1016.0	42.1577
199	0.039800	270	1023.0	42.4481
200	0.040000	351	942.0	39.0871
201	0.040200	289	1004.0	41.6598
202	0.040400	278	1015.0	42.1162
203	0.040600	372	921.0	38.2158
204	0.040800	364	929.0	38.5477
205	0.041000	351	942.0	39.0871
206	0.041200	292	1001.0	41.5353
207	0.041400	309	984.0	40.8299
208	0.041600	315	978.0	40.5809
209	0.041800	307	986.0	40.9129
210	0.042000	297	996.0	41.3278
211	0.042200	321	972.0	40.3320
212	0.042400	315	978.0	40.5809
213	0.042600	309	984.0	40.8299
214	0.042800	299	994.0	41.2448
215	0.043000	325	968.0	40.1660
216	0.043200	375	918.0	38.0913
217	0.043400	315	978.0	40.5809
218	0.043600	343	950.0	39.4191
219	0.043800	393	900.0	37.3444
220	0.044000	335	958.0	39.7510
221	0.044200	357	936.0	38.8382
222	0.044400	361	932.0	38.6722
223	0.044600	397	896.0	37.1784
224	0.044800	346	947.0	39.2946
225	0.045000	365	928.0	38.5062
226	0.045200	355	938.0	38.9212
227	0.045400	397	896.0	37.1784
228	0.045600	343	950.0	39.4191
229	0.045800	335	958.0	39.7510
230	0.046000	361	932.0	38.6722
231	0.046200	355	938.0	38.9212
232	0.046400	345	948.0	39.3361
233	0.046600	337	956.0	39.6680
234	0.046800	361	932.0	38.6722
235	0.047000	353	940.0	39.0041
236	0.047200	343	950.0	39.4191
237	0.047400	333	960.0	39.8340
238	0.047600	353	940.0	39.0041
239	0.047800	351	942.0	39.0871
240	0.048000	342	951.0	39.4606
241	0.048200	330	963.0	39.9585
242	0.048400	321	972.0	40.3320
243	0.048600	351	942.0	39.0871
244	0.048800	340	953.0	39.5436
245	0.049000	329	964.0	40.0000
