# Jet breakup length measurement
# Input         : ./Measurements 12-06-2026\measurement_24_redo(2950).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 862.65 px  (35.500 mm)
# Scale         : 24.3 px/mm
# FPS           : 5000.0
# Threshold     : 175
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	445	1216.0	50.0412
1	0.000200	434	1227.0	50.4938
2	0.000400	417	1244.0	51.1934
3	0.000600	405	1256.0	51.6872
4	0.000800	413	1248.0	51.3580
5	0.001000	399	1262.0	51.9342
6	0.001200	391	1270.0	52.2634
7	0.001400	385	1276.0	52.5103
8	0.001600	419	1242.0	51.1111
9	0.001800	437	1224.0	50.3704
10	0.002000	419	1242.0	51.1111
11	0.002200	423	1238.0	50.9465
12	0.002400	411	1250.0	51.4403
13	0.002600	398	1263.0	51.9753
14	0.002800	401	1260.0	51.8519
15	0.003000	445	1216.0	50.0412
16	0.003200	485	1176.0	48.3951
17	0.003400	475	1186.0	48.8066
18	0.003600	489	1172.0	48.2305
19	0.003800	485	1176.0	48.3951
20	0.004000	477	1184.0	48.7243
21	0.004200	465	1196.0	49.2181
22	0.004400	477	1184.0	48.7243
23	0.004600	459	1202.0	49.4650
24	0.004800	451	1210.0	49.7942
25	0.005000	450	1211.0	49.8354
26	0.005200	437	1224.0	50.3704
27	0.005400	423	1238.0	50.9465
28	0.005600	487	1174.0	48.3128
29	0.005800	489	1172.0	48.2305
30	0.006000	478	1183.0	48.6831
31	0.006200	464	1197.0	49.2593
32	0.006400	471	1190.0	48.9712
33	0.006600	459	1202.0	49.4650
34	0.006800	451	1210.0	49.7942
35	0.007000	445	1216.0	50.0412
36	0.007200	434	1227.0	50.4938
37	0.007400	509	1152.0	47.4074
38	0.007600	517	1144.0	47.0782
39	0.007800	521	1140.0	46.9136
40	0.008000	512	1149.0	47.2840
41	0.008200	541	1120.0	46.0905
42	0.008400	530	1131.0	46.5432
43	0.008600	517	1144.0	47.0782
44	0.008800	534	1127.0	46.3786
45	0.009000	522	1139.0	46.8724
46	0.009200	537	1124.0	46.2551
47	0.009400	529	1132.0	46.5844
48	0.009600	516	1145.0	47.1193
49	0.009800	527	1134.0	46.6667
50	0.010000	527	1134.0	46.6667
51	0.010200	560	1101.0	45.3086
52	0.010400	550	1111.0	45.7202
53	0.010600	538	1123.0	46.2140
54	0.010800	545	1116.0	45.9259
55	0.011000	553	1108.0	45.5967
56	0.011200	541	1120.0	46.0905
57	0.011400	528	1133.0	46.6255
58	0.011600	533	1128.0	46.4198
59	0.011800	519	1142.0	46.9959
60	0.012000	511	1150.0	47.3251
61	0.012200	503	1158.0	47.6543
62	0.012400	495	1166.0	47.9835
63	0.012600	489	1172.0	48.2305
64	0.012800	477	1184.0	48.7243
65	0.013000	509	1152.0	47.4074
66	0.013200	499	1162.0	47.8189
67	0.013400	490	1171.0	48.1893
68	0.013600	477	1184.0	48.7243
69	0.013800	487	1174.0	48.3128
70	0.014000	477	1184.0	48.7243
71	0.014200	467	1194.0	49.1358
72	0.014400	454	1207.0	49.6708
73	0.014600	441	1220.0	50.2058
74	0.014800	427	1234.0	50.7819
75	0.015000	501	1160.0	47.7366
76	0.015200	495	1166.0	47.9835
77	0.015400	487	1174.0	48.3128
78	0.015600	476	1185.0	48.7654
79	0.015800	483	1178.0	48.4774
80	0.016000	471	1190.0	48.9712
81	0.016200	561	1100.0	45.2675
82	0.016400	553	1108.0	45.5967
83	0.016600	544	1117.0	45.9671
84	0.016800	531	1130.0	46.5021
85	0.017000	554	1107.0	45.5556
86	0.017200	544	1117.0	45.9671
87	0.017400	530	1131.0	46.5432
88	0.017600	545	1116.0	45.9259
89	0.017800	537	1124.0	46.2551
90	0.018000	525	1136.0	46.7490
91	0.018200	531	1130.0	46.5021
92	0.018400	529	1132.0	46.5844
93	0.018600	520	1141.0	46.9547
94	0.018800	507	1154.0	47.4897
95	0.019000	487	1174.0	48.3128
96	0.019200	477	1184.0	48.7243
97	0.019400	461	1200.0	49.3827
98	0.019600	493	1168.0	48.0658
99	0.019800	483	1178.0	48.4774
100	0.020000	535	1126.0	46.3374
101	0.020200	527	1134.0	46.6667
102	0.020400	514	1147.0	47.2016
103	0.020600	501	1160.0	47.7366
104	0.020800	487	1174.0	48.3128
105	0.021000	473	1188.0	48.8889
106	0.021200	483	1178.0	48.4774
107	0.021400	473	1188.0	48.8889
108	0.021600	460	1201.0	49.4239
109	0.021800	447	1214.0	49.9588
110	0.022000	434	1227.0	50.4938
111	0.022200	421	1240.0	51.0288
112	0.022400	487	1174.0	48.3128
113	0.022600	473	1188.0	48.8889
114	0.022800	465	1196.0	49.2181
115	0.023000	453	1208.0	49.7119
116	0.023200	440	1221.0	50.2469
117	0.023400	427	1234.0	50.7819
118	0.023600	413	1248.0	51.3580
119	0.023800	419	1242.0	51.1111
120	0.024000	410	1251.0	51.4815
121	0.024200	399	1262.0	51.9342
122	0.024400	387	1274.0	52.4280
123	0.024600	373	1288.0	53.0041
124	0.024800	360	1301.0	53.5391
125	0.025000	435	1226.0	50.4527
126	0.025200	423	1238.0	50.9465
127	0.025400	442	1219.0	50.1646
128	0.025600	427	1234.0	50.7819
129	0.025800	415	1246.0	51.2757
130	0.026000	439	1222.0	50.2881
131	0.026200	427	1234.0	50.7819
132	0.026400	417	1244.0	51.1934
133	0.026600	409	1252.0	51.5226
134	0.026800	398	1263.0	51.9753
135	0.027000	386	1275.0	52.4691
136	0.027200	373	1288.0	53.0041
137	0.027400	361	1300.0	53.4979
138	0.027600	348	1313.0	54.0329
139	0.027800	331	1330.0	54.7325
140	0.028000	319	1342.0	55.2263
141	0.028200	307	1354.0	55.7202
142	0.028400	293	1368.0	56.2963
143	0.028600	461	1200.0	49.3827
144	0.028800	527	1134.0	46.6667
145	0.029000	517	1144.0	47.0782
146	0.029200	509	1152.0	47.4074
147	0.029400	496	1165.0	47.9424
148	0.029600	511	1150.0	47.3251
149	0.029800	503	1158.0	47.6543
150	0.030000	492	1169.0	48.1070
151	0.030200	480	1181.0	48.6008
152	0.030400	467	1194.0	49.1358
153	0.030600	454	1207.0	49.6708
154	0.030800	441	1220.0	50.2058
155	0.031000	423	1238.0	50.9465
156	0.031200	435	1226.0	50.4527
157	0.031400	423	1238.0	50.9465
158	0.031600	411	1250.0	51.4403
159	0.031800	398	1263.0	51.9753
160	0.032000	384	1277.0	52.5514
161	0.032200	371	1290.0	53.0864
162	0.032400	377	1284.0	52.8395
163	0.032600	437	1224.0	50.3704
164	0.032800	475	1186.0	48.8066
165	0.033000	466	1195.0	49.1770
166	0.033200	456	1205.0	49.5885
167	0.033400	443	1218.0	50.1235
168	0.033600	430	1231.0	50.6584
169	0.033800	437	1224.0	50.3704
170	0.034000	423	1238.0	50.9465
171	0.034200	415	1246.0	51.2757
172	0.034400	489	1172.0	48.2305
173	0.034600	495	1166.0	47.9835
174	0.034800	485	1176.0	48.3951
175	0.035000	475	1186.0	48.8066
176	0.035200	463	1198.0	49.3004
177	0.035400	469	1192.0	49.0535
178	0.035600	453	1208.0	49.7119
179	0.035800	445	1216.0	50.0412
180	0.036000	437	1224.0	50.3704
181	0.036200	451	1210.0	49.7942
182	0.036400	443	1218.0	50.1235
183	0.036600	435	1226.0	50.4527
184	0.036800	425	1236.0	50.8642
185	0.037000	471	1190.0	48.9712
186	0.037200	483	1178.0	48.4774
187	0.037400	479	1182.0	48.6420
188	0.037600	468	1193.0	49.0947
189	0.037800	455	1206.0	49.6296
190	0.038000	461	1200.0	49.3827
191	0.038200	453	1208.0	49.7119
192	0.038400	447	1214.0	49.9588
193	0.038600	438	1223.0	50.3292
194	0.038800	426	1235.0	50.8230
195	0.039000	414	1247.0	51.3169
196	0.039200	401	1260.0	51.8519
197	0.039400	388	1273.0	52.3868
198	0.039600	401	1260.0	51.8519
199	0.039800	435	1226.0	50.4527
200	0.040000	425	1236.0	50.8642
201	0.040200	412	1249.0	51.3992
202	0.040400	515	1146.0	47.1605
203	0.040600	507	1154.0	47.4897
204	0.040800	497	1164.0	47.9012
205	0.041000	505	1156.0	47.5720
206	0.041200	489	1172.0	48.2305
207	0.041400	479	1182.0	48.6420
208	0.041600	471	1190.0	48.9712
209	0.041800	513	1148.0	47.2428
210	0.042000	507	1154.0	47.4897
211	0.042200	517	1144.0	47.0782
212	0.042400	519	1142.0	46.9959
213	0.042600	508	1153.0	47.4486
214	0.042800	495	1166.0	47.9835
215	0.043000	477	1184.0	48.7243
216	0.043200	487	1174.0	48.3128
217	0.043400	477	1184.0	48.7243
218	0.043600	472	1189.0	48.9300
219	0.043800	461	1200.0	49.3827
220	0.044000	448	1213.0	49.9177
221	0.044200	461	1200.0	49.3827
222	0.044400	451	1210.0	49.7942
223	0.044600	440	1221.0	50.2469
224	0.044800	423	1238.0	50.9465
225	0.045000	445	1216.0	50.0412
226	0.045200	477	1184.0	48.7243
227	0.045400	521	1140.0	46.9136
228	0.045600	513	1148.0	47.2428
229	0.045800	504	1157.0	47.6132
230	0.046000	491	1170.0	48.1481
231	0.046200	478	1183.0	48.6831
232	0.046400	515	1146.0	47.1605
233	0.046600	511	1150.0	47.3251
234	0.046800	501	1160.0	47.7366
235	0.047000	493	1168.0	48.0658
236	0.047200	481	1180.0	48.5597
237	0.047400	501	1160.0	47.7366
238	0.047600	495	1166.0	47.9835
239	0.047800	505	1156.0	47.5720
240	0.048000	489	1172.0	48.2305
241	0.048200	499	1162.0	47.8189
242	0.048400	489	1172.0	48.2305
243	0.048600	565	1096.0	45.1029
244	0.048800	565	1096.0	45.1029
245	0.049000	557	1104.0	45.4321
246	0.049200	544	1117.0	45.9671
247	0.049400	530	1131.0	46.5432
248	0.049600	517	1144.0	47.0782
249	0.049800	503	1158.0	47.6543
250	0.050000	489	1172.0	48.2305
251	0.050200	475	1186.0	48.8066
252	0.050400	461	1200.0	49.3827
253	0.050600	448	1213.0	49.9177
254	0.050800	513	1148.0	47.2428
255	0.051000	502	1159.0	47.6955
256	0.051200	529	1132.0	46.5844
257	0.051400	519	1142.0	46.9959
258	0.051600	507	1154.0	47.4897
259	0.051800	494	1167.0	48.0247
260	0.052000	481	1180.0	48.5597
261	0.052200	467	1194.0	49.1358
262	0.052400	473	1188.0	48.8889
263	0.052600	463	1198.0	49.3004
264	0.052800	455	1206.0	49.6296
