# Jet breakup length measurement
# Input         : ./Measurements 12-06-2026\measurement_28(3350).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 1044.9 px  (43.000 mm)
# Scale         : 24.3 px/mm
# FPS           : 5000.0
# Threshold     : 175
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	473	1370.0	56.3786
1	0.000200	455	1388.0	57.1193
2	0.000400	448	1395.0	57.4074
3	0.000600	437	1406.0	57.8601
4	0.000800	423	1420.0	58.4362
5	0.001000	476	1367.0	56.2551
6	0.001200	461	1382.0	56.8724
7	0.001400	449	1394.0	57.3663
8	0.001600	438	1405.0	57.8189
9	0.001800	511	1332.0	54.8148
10	0.002000	499	1344.0	55.3086
11	0.002200	486	1357.0	55.8436
12	0.002400	499	1344.0	55.3086
13	0.002600	488	1355.0	55.7613
14	0.002800	474	1369.0	56.3374
15	0.003000	455	1388.0	57.1193
16	0.003200	465	1378.0	56.7078
17	0.003400	519	1324.0	54.4856
18	0.003600	510	1333.0	54.8560
19	0.003800	497	1346.0	55.3909
20	0.004000	551	1292.0	53.1687
21	0.004200	539	1304.0	53.6626
22	0.004400	561	1282.0	52.7572
23	0.004600	549	1294.0	53.2510
24	0.004800	535	1308.0	53.8272
25	0.005000	543	1300.0	53.4979
26	0.005200	537	1306.0	53.7449
27	0.005400	526	1317.0	54.1975
28	0.005600	512	1331.0	54.7737
29	0.005800	493	1350.0	55.5556
30	0.006000	481	1362.0	56.0494
31	0.006200	465	1378.0	56.7078
32	0.006400	447	1396.0	57.4486
33	0.006600	525	1318.0	54.2387
34	0.006800	515	1328.0	54.6502
35	0.007000	500	1343.0	55.2675
36	0.007200	521	1322.0	54.4033
37	0.007400	509	1334.0	54.8971
38	0.007600	496	1347.0	55.4321
39	0.007800	481	1362.0	56.0494
40	0.008000	497	1346.0	55.3909
41	0.008200	485	1358.0	55.8848
42	0.008400	473	1370.0	56.3786
43	0.008600	458	1385.0	56.9959
44	0.008800	467	1376.0	56.6255
45	0.009000	453	1390.0	57.2016
46	0.009200	443	1400.0	57.6132
47	0.009400	455	1388.0	57.1193
48	0.009600	441	1402.0	57.6955
49	0.009800	431	1412.0	58.1070
50	0.010000	418	1425.0	58.6420
51	0.010200	403	1440.0	59.2593
52	0.010400	411	1432.0	58.9300
53	0.010600	397	1446.0	59.5062
54	0.010800	547	1296.0	53.3333
55	0.011000	537	1306.0	53.7449
56	0.011200	551	1292.0	53.1687
57	0.011400	541	1302.0	53.5802
58	0.011600	529	1314.0	54.0741
59	0.011800	541	1302.0	53.5802
60	0.012000	571	1272.0	52.3457
61	0.012200	583	1260.0	51.8519
62	0.012400	567	1276.0	52.5103
63	0.012600	567	1276.0	52.5103
64	0.012800	554	1289.0	53.0453
65	0.013000	539	1304.0	53.6626
66	0.013200	543	1300.0	53.4979
67	0.013400	529	1314.0	54.0741
68	0.013600	519	1324.0	54.4856
69	0.013800	507	1336.0	54.9794
70	0.014000	493	1350.0	55.5556
71	0.014200	479	1364.0	56.1317
72	0.014400	463	1380.0	56.7901
73	0.014600	448	1395.0	57.4074
74	0.014800	459	1384.0	56.9547
75	0.015000	467	1376.0	56.6255
76	0.015200	453	1390.0	57.2016
77	0.015400	451	1392.0	57.2840
78	0.015600	439	1404.0	57.7778
79	0.015800	423	1420.0	58.4362
