# Jet breakup length measurement
# Input         : ./Measurements 15-06-2026\Measurement_11(2450).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 418.2 px  (17.000 mm)
# Scale         : 24.6 px/mm
# FPS           : 5000.0
# Threshold     : 175
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	509	708.0	28.7805
1	0.000200	517	700.0	28.4553
2	0.000400	531	686.0	27.8862
3	0.000600	523	694.0	28.2114
4	0.000800	519	698.0	28.3740
5	0.001000	537	680.0	27.6423
6	0.001200	531	686.0	27.8862
7	0.001400	543	674.0	27.3984
8	0.001600	537	680.0	27.6423
9	0.001800	535	682.0	27.7236
10	0.002000	533	684.0	27.8049
11	0.002200	533	684.0	27.8049
12	0.002400	529	688.0	27.9675
13	0.002600	521	696.0	28.2927
14	0.002800	513	704.0	28.6179
15	0.003000	523	694.0	28.2114
16	0.003200	497	720.0	29.2683
17	0.003400	489	728.0	29.5935
18	0.003600	513	704.0	28.6179
19	0.003800	508	709.0	28.8211
20	0.004000	501	716.0	29.1057
21	0.004200	493	724.0	29.4309
22	0.004400	485	732.0	29.7561
23	0.004600	497	720.0	29.2683
24	0.004800	493	724.0	29.4309
25	0.005000	490	727.0	29.5528
26	0.005200	487	730.0	29.6748
27	0.005400	484	733.0	29.7967
28	0.005600	479	738.0	30.0000
29	0.005800	472	745.0	30.2846
30	0.006000	485	732.0	29.7561
31	0.006200	501	716.0	29.1057
32	0.006400	497	720.0	29.2683
33	0.006600	491	726.0	29.5122
34	0.006800	507	710.0	28.8618
35	0.007000	507	710.0	28.8618
36	0.007200	503	714.0	29.0244
37	0.007400	498	719.0	29.2276
38	0.007600	515	702.0	28.5366
39	0.007800	521	696.0	28.2927
40	0.008000	517	700.0	28.4553
41	0.008200	535	682.0	27.7236
42	0.008400	543	674.0	27.3984
43	0.008600	539	678.0	27.5610
44	0.008800	532	685.0	27.8455
45	0.009000	545	672.0	27.3171
46	0.009200	539	678.0	27.5610
47	0.009400	537	680.0	27.6423
48	0.009600	535	682.0	27.7236
49	0.009800	536	681.0	27.6829
50	0.010000	531	686.0	27.8862
51	0.010200	523	694.0	28.2114
52	0.010400	515	702.0	28.5366
53	0.010600	508	709.0	28.8211
54	0.010800	500	717.0	29.1463
55	0.011000	492	725.0	29.4715
56	0.011200	484	733.0	29.7967
57	0.011400	474	743.0	30.2033
58	0.011600	466	751.0	30.5285
59	0.011800	459	758.0	30.8130
60	0.012000	503	714.0	29.0244
61	0.012200	499	718.0	29.1870
62	0.012400	497	720.0	29.2683
63	0.012600	491	726.0	29.5122
64	0.012800	505	712.0	28.9431
65	0.013000	495	722.0	29.3496
66	0.013200	503	714.0	29.0244
67	0.013400	501	716.0	29.1057
68	0.013600	517	700.0	28.4553
69	0.013800	511	706.0	28.6992
70	0.014000	521	696.0	28.2927
71	0.014200	516	701.0	28.4959
72	0.014400	508	709.0	28.8211
73	0.014600	523	694.0	28.2114
74	0.014800	517	700.0	28.4553
75	0.015000	515	702.0	28.5366
76	0.015200	515	702.0	28.5366
77	0.015400	509	708.0	28.7805
78	0.015600	502	715.0	29.0650
79	0.015800	494	723.0	29.3902
80	0.016000	486	731.0	29.7154
81	0.016200	478	739.0	30.0407
82	0.016400	470	747.0	30.3659
83	0.016600	462	755.0	30.6911
84	0.016800	452	765.0	31.0976
85	0.017000	523	694.0	28.2114
86	0.017200	533	684.0	27.8049
87	0.017400	529	688.0	27.9675
88	0.017600	522	695.0	28.2520
89	0.017800	537	680.0	27.6423
90	0.018000	531	686.0	27.8862
91	0.018200	536	681.0	27.6829
92	0.018400	525	692.0	28.1301
93	0.018600	522	695.0	28.2520
94	0.018800	537	680.0	27.6423
95	0.019000	529	688.0	27.9675
96	0.019200	525	692.0	28.1301
97	0.019400	531	686.0	27.8862
98	0.019600	519	698.0	28.3740
99	0.019800	517	700.0	28.4553
100	0.020000	531	686.0	27.8862
101	0.020200	525	692.0	28.1301
102	0.020400	521	696.0	28.2927
103	0.020600	533	684.0	27.8049
104	0.020800	526	691.0	28.0894
105	0.021000	539	678.0	27.5610
106	0.021200	533	684.0	27.8049
107	0.021400	531	686.0	27.8862
108	0.021600	529	688.0	27.9675
