# Jet breakup length measurement
# Input         : C:\Users\taran\test1\DAS\group 26\meting 15-06-26\Measurement_10(2350).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 418.2 px  (17.000 mm)
# Scale         : 24.6 px/mm
# FPS           : 5000.0
# Threshold     : 179
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	493	724.0	29.4309
1	0.000200	485	732.0	29.7561
2	0.000400	477	740.0	30.0813
3	0.000600	469	748.0	30.4065
4	0.000800	463	754.0	30.6504
5	0.001000	457	760.0	30.8943
6	0.001200	559	658.0	26.7480
7	0.001400	551	666.0	27.0732
8	0.001600	545	672.0	27.3171
9	0.001800	539	678.0	27.5610
10	0.002000	535	682.0	27.7236
11	0.002200	558	659.0	26.7886
12	0.002400	551	666.0	27.0732
13	0.002600	545	672.0	27.3171
14	0.002800	541	676.0	27.4797
15	0.003000	567	650.0	26.4228
16	0.003200	559	658.0	26.7480
17	0.003400	555	662.0	26.9106
18	0.003600	551	666.0	27.0732
19	0.003800	548	669.0	27.1951
20	0.004000	539	678.0	27.5610
21	0.004200	533	684.0	27.8049
22	0.004400	527	690.0	28.0488
23	0.004600	543	674.0	27.3984
24	0.004800	537	680.0	27.6423
25	0.005000	531	686.0	27.8862
26	0.005200	528	689.0	28.0081
27	0.005400	523	694.0	28.2114
28	0.005600	517	700.0	28.4553
29	0.005800	510	707.0	28.7398
30	0.006000	519	698.0	28.3740
31	0.006200	495	722.0	29.3496
32	0.006400	511	706.0	28.6992
33	0.006600	507	710.0	28.8618
34	0.006800	504	713.0	28.9837
35	0.007000	500	717.0	29.1463
36	0.007200	494	723.0	29.3902
37	0.007400	487	730.0	29.6748
38	0.007600	480	737.0	29.9593
39	0.007800	543	674.0	27.3984
40	0.008000	537	680.0	27.6423
41	0.008200	539	678.0	27.5610
42	0.008400	533	684.0	27.8049
43	0.008600	563	654.0	26.5854
44	0.008800	559	658.0	26.7480
45	0.009000	555	662.0	26.9106
46	0.009200	547	670.0	27.2358
47	0.009400	545	672.0	27.3171
48	0.009600	567	650.0	26.4228
49	0.009800	563	654.0	26.5854
50	0.010000	555	662.0	26.9106
51	0.010200	551	666.0	27.0732
52	0.010400	549	668.0	27.1545
53	0.010600	545	672.0	27.3171
54	0.010800	535	682.0	27.7236
55	0.011000	529	688.0	27.9675
56	0.011200	545	672.0	27.3171
57	0.011400	513	704.0	28.6179
58	0.011600	531	686.0	27.8862
59	0.011800	527	690.0	28.0488
60	0.012000	522	695.0	28.2520
61	0.012200	517	700.0	28.4553
62	0.012400	510	707.0	28.7398
63	0.012600	559	658.0	26.7480
64	0.012800	553	664.0	26.9919
65	0.013000	547	670.0	27.2358
66	0.013200	543	674.0	27.3984
67	0.013400	570	647.0	26.3008
68	0.013600	561	656.0	26.6667
69	0.013800	557	660.0	26.8293
70	0.014000	555	662.0	26.9106
71	0.014200	550	667.0	27.1138
72	0.014400	568	649.0	26.3821
73	0.014600	533	684.0	27.8049
74	0.014800	551	666.0	27.0732
75	0.015000	545	672.0	27.3171
76	0.015200	576	641.0	26.0569
77	0.015400	570	647.0	26.3008
78	0.015600	561	656.0	26.6667
79	0.015800	559	658.0	26.7480
80	0.016000	585	632.0	25.6911
81	0.016200	579	638.0	25.9350
82	0.016400	571	646.0	26.2602
83	0.016600	569	648.0	26.3415
84	0.016800	565	652.0	26.5041
85	0.017000	561	656.0	26.6667
86	0.017200	553	664.0	26.9919
87	0.017400	571	646.0	26.2602
88	0.017600	567	650.0	26.4228
89	0.017800	559	658.0	26.7480
90	0.018000	555	662.0	26.9106
91	0.018200	553	664.0	26.9919
92	0.018400	569	648.0	26.3415
93	0.018600	561	656.0	26.6667
94	0.018800	551	666.0	27.0732
95	0.019000	555	662.0	26.9106
96	0.019200	551	666.0	27.0732
97	0.019400	547	670.0	27.2358
98	0.019600	542	675.0	27.4390
99	0.019800	535	682.0	27.7236
100	0.020000	528	689.0	28.0081
101	0.020200	521	696.0	28.2927
102	0.020400	513	704.0	28.6179
103	0.020600	505	712.0	28.9431
104	0.020800	498	719.0	29.2276
105	0.021000	489	728.0	29.5935
106	0.021200	482	735.0	29.8780
107	0.021400	531	686.0	27.8862
108	0.021600	525	692.0	28.1301
109	0.021800	522	695.0	28.2520
110	0.022000	517	700.0	28.4553
111	0.022200	510	707.0	28.7398
112	0.022400	521	696.0	28.2927
113	0.022600	525	692.0	28.1301
114	0.022800	513	704.0	28.6179
115	0.023000	563	654.0	26.5854
116	0.023200	559	658.0	26.7480
117	0.023400	553	664.0	26.9919
118	0.023600	550	667.0	27.1138
119	0.023800	571	646.0	26.2602
120	0.024000	563	654.0	26.5854
121	0.024200	555	662.0	26.9106
122	0.024400	550	667.0	27.1138
