# Jet breakup length measurement
# Input         : C:\Users\taran\test1\DAS\group 26\Metingen opnieuw 15_06_2026\Measurement_14(2750).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 602.8 px  (22.000 mm)
# Scale         : 27.4 px/mm
# FPS           : 5000.0
# Threshold     : 170
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	561	840.0	30.6569
1	0.000200	559	842.0	30.7299
2	0.000400	553	848.0	30.9489
3	0.000600	545	856.0	31.2409
4	0.000800	591	810.0	29.5620
5	0.001000	613	788.0	28.7591
6	0.001200	604	797.0	29.0876
7	0.001400	615	786.0	28.6861
8	0.001600	611	790.0	28.8321
9	0.001800	607	794.0	28.9781
10	0.002000	603	798.0	29.1241
11	0.002200	601	800.0	29.1971
12	0.002400	599	802.0	29.2701
13	0.002600	590	811.0	29.5985
14	0.002800	599	802.0	29.2701
15	0.003000	591	810.0	29.5620
16	0.003200	585	816.0	29.7810
17	0.003400	580	821.0	29.9635
18	0.003600	591	810.0	29.5620
19	0.003800	605	796.0	29.0511
20	0.004000	595	806.0	29.4161
21	0.004200	591	810.0	29.5620
22	0.004400	587	814.0	29.7080
23	0.004600	583	818.0	29.8540
24	0.004800	579	822.0	30.0000
25	0.005000	577	824.0	30.0730
26	0.005200	573	828.0	30.2190
27	0.005400	563	838.0	30.5839
28	0.005600	554	847.0	30.9124
29	0.005800	544	857.0	31.2774
30	0.006000	534	867.0	31.6423
31	0.006200	525	876.0	31.9708
32	0.006400	514	887.0	32.3723
33	0.006600	565	836.0	30.5109
34	0.006800	585	816.0	29.7810
35	0.007000	573	828.0	30.2190
36	0.007200	569	832.0	30.3650
37	0.007400	581	820.0	29.9270
38	0.007600	574	827.0	30.1825
39	0.007800	565	836.0	30.5109
40	0.008000	575	826.0	30.1460
41	0.008200	567	834.0	30.4380
42	0.008400	563	838.0	30.5839
43	0.008600	558	843.0	30.7664
44	0.008800	552	849.0	30.9854
45	0.009000	546	855.0	31.2044
46	0.009200	540	861.0	31.4234
47	0.009400	533	868.0	31.6788
48	0.009600	528	873.0	31.8613
49	0.009800	551	850.0	31.0219
50	0.010000	545	856.0	31.2409
51	0.010200	541	860.0	31.3869
52	0.010400	536	865.0	31.5693
53	0.010600	530	871.0	31.7883
54	0.010800	525	876.0	31.9708
55	0.011000	536	865.0	31.5693
56	0.011200	528	873.0	31.8613
57	0.011400	507	894.0	32.6277
58	0.011600	529	872.0	31.8248
59	0.011800	525	876.0	31.9708
60	0.012000	521	880.0	32.1168
61	0.012200	520	881.0	32.1533
62	0.012400	515	886.0	32.3358
63	0.012600	506	895.0	32.6642
64	0.012800	497	904.0	32.9927
65	0.013000	511	890.0	32.4818
66	0.013200	501	900.0	32.8467
67	0.013400	500	901.0	32.8832
68	0.013600	498	903.0	32.9562
69	0.013800	492	909.0	33.1752
70	0.014000	484	917.0	33.4672
71	0.014200	475	926.0	33.7956
72	0.014400	466	935.0	34.1241
73	0.014600	457	944.0	34.4526
74	0.014800	519	882.0	32.1898
75	0.015000	535	866.0	31.6058
76	0.015200	525	876.0	31.9708
77	0.015400	571	830.0	30.2920
78	0.015600	561	840.0	30.6569
79	0.015800	581	820.0	29.9270
80	0.016000	575	826.0	30.1460
81	0.016200	566	835.0	30.4745
82	0.016400	556	845.0	30.8394
83	0.016600	567	834.0	30.4380
84	0.016800	564	837.0	30.5474
85	0.017000	559	842.0	30.7299
86	0.017200	553	848.0	30.9489
87	0.017400	545	856.0	31.2409
88	0.017600	537	864.0	31.5328
89	0.017800	529	872.0	31.8248
90	0.018000	543	858.0	31.3139
91	0.018200	538	863.0	31.4964
92	0.018400	553	848.0	30.9489
93	0.018600	549	852.0	31.0949
94	0.018800	545	856.0	31.2409
95	0.019000	543	858.0	31.3139
96	0.019200	539	862.0	31.4599
97	0.019400	533	868.0	31.6788
98	0.019600	526	875.0	31.9343
99	0.019800	518	883.0	32.2263
100	0.020000	510	891.0	32.5182
101	0.020200	555	846.0	30.8759
102	0.020400	573	828.0	30.2190
103	0.020600	569	832.0	30.3650
104	0.020800	589	812.0	29.6350
105	0.021000	582	819.0	29.8905
106	0.021200	573	828.0	30.2190
107	0.021400	581	820.0	29.9270
108	0.021600	579	822.0	30.0000
109	0.021800	574	827.0	30.1825
110	0.022000	570	831.0	30.3285
111	0.022200	565	836.0	30.5109
112	0.022400	560	841.0	30.6934
113	0.022600	553	848.0	30.9489
114	0.022800	545	856.0	31.2409
115	0.023000	539	862.0	31.4599
116	0.023200	531	870.0	31.7518
117	0.023400	522	879.0	32.0803
118	0.023600	513	888.0	32.4088
