# Jet breakup length measurement
# Input         : C:\Users\taran\test1\DAS\group 26\meting 15-06-26\Measurement_1(1450).cine
# Rotation      : 270 deg
# Nozzle exit x : 748 px  (in rotated frame)
# Needle length : 51 px  (2.090 mm)
# Offset        : 0 px  (0.000 mm)
# Scale         : 24.4 px/mm
# FPS           : 5000.0
# Threshold     : 172
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	331	417.0	17.0902
1	0.000200	355	393.0	16.1066
2	0.000400	358	390.0	15.9836
3	0.000600	357	391.0	16.0246
4	0.000800	354	394.0	16.1475
5	0.001000	350	398.0	16.3115
6	0.001200	347	401.0	16.4344
7	0.001400	342	406.0	16.6393
8	0.001600	338	410.0	16.8033
9	0.001800	359	389.0	15.9426
10	0.002000	361	387.0	15.8607
11	0.002200	361	387.0	15.8607
12	0.002400	359	389.0	15.9426
13	0.002600	355	393.0	16.1066
14	0.002800	351	397.0	16.2705
15	0.003000	347	401.0	16.4344
16	0.003200	343	405.0	16.5984
17	0.003400	339	409.0	16.7623
18	0.003600	363	385.0	15.7787
19	0.003800	363	385.0	15.7787
20	0.004000	361	387.0	15.8607
21	0.004200	358	390.0	15.9836
22	0.004400	355	393.0	16.1066
23	0.004600	351	397.0	16.2705
24	0.004800	347	401.0	16.4344
25	0.005000	343	405.0	16.5984
26	0.005200	339	409.0	16.7623
27	0.005400	334	414.0	16.9672
28	0.005600	328	420.0	17.2131
29	0.005800	324	424.0	17.3770
30	0.006000	321	427.0	17.5000
31	0.006200	349	399.0	16.3525
32	0.006400	347	401.0	16.4344
33	0.006600	344	404.0	16.5574
34	0.006800	340	408.0	16.7213
35	0.007000	356	392.0	16.0656
36	0.007200	355	393.0	16.1066
37	0.007400	353	395.0	16.1885
38	0.007600	351	397.0	16.2705
39	0.007800	349	399.0	16.3525
40	0.008000	347	401.0	16.4344
41	0.008200	344	404.0	16.5574
42	0.008400	340	408.0	16.7213
43	0.008600	337	411.0	16.8443
44	0.008800	333	415.0	17.0082
45	0.009000	329	419.0	17.1721
46	0.009200	325	423.0	17.3361
47	0.009400	321	427.0	17.5000
48	0.009600	318	430.0	17.6230
49	0.009800	314	434.0	17.7869
50	0.010000	311	437.0	17.9098
51	0.010200	309	439.0	17.9918
52	0.010400	307	441.0	18.0738
53	0.010600	304	444.0	18.1967
54	0.010800	301	447.0	18.3197
55	0.011000	343	405.0	16.5984
56	0.011200	341	407.0	16.6803
57	0.011400	340	408.0	16.7213
58	0.011600	339	409.0	16.7623
59	0.011800	337	411.0	16.8443
60	0.012000	334	414.0	16.9672
61	0.012200	331	417.0	17.0902
62	0.012400	328	420.0	17.2131
63	0.012600	325	423.0	17.3361
64	0.012800	321	427.0	17.5000
65	0.013000	317	431.0	17.6639
66	0.013200	313	435.0	17.8279
67	0.013400	309	439.0	17.9918
68	0.013600	305	443.0	18.1557
69	0.013800	301	447.0	18.3197
70	0.014000	298	450.0	18.4426
71	0.014200	295	453.0	18.5656
72	0.014400	293	455.0	18.6475
73	0.014600	291	457.0	18.7295
74	0.014800	289	459.0	18.8115
75	0.015000	287	461.0	18.8934
76	0.015200	285	463.0	18.9754
77	0.015400	283	465.0	19.0574
78	0.015600	337	411.0	16.8443
79	0.015800	347	401.0	16.4344
80	0.016000	349	399.0	16.3525
81	0.016200	347	401.0	16.4344
82	0.016400	343	405.0	16.5984
83	0.016600	339	409.0	16.7623
84	0.016800	335	413.0	16.9262
85	0.017000	355	393.0	16.1066
86	0.017200	357	391.0	16.0246
87	0.017400	358	390.0	15.9836
88	0.017600	356	392.0	16.0656
89	0.017800	353	395.0	16.1885
90	0.018000	349	399.0	16.3525
91	0.018200	345	403.0	16.5164
92	0.018400	341	407.0	16.6803
93	0.018600	337	411.0	16.8443
94	0.018800	357	391.0	16.0246
95	0.019000	358	390.0	15.9836
96	0.019200	357	391.0	16.0246
97	0.019400	355	393.0	16.1066
98	0.019600	351	397.0	16.2705
99	0.019800	348	400.0	16.3934
100	0.020000	344	404.0	16.5574
101	0.020200	340	408.0	16.7213
102	0.020400	335	413.0	16.9262
103	0.020600	331	417.0	17.0902
104	0.020800	355	393.0	16.1066
105	0.021000	356	392.0	16.0656
106	0.021200	354	394.0	16.1475
107	0.021400	351	397.0	16.2705
108	0.021600	347	401.0	16.4344
109	0.021800	343	405.0	16.5984
110	0.022000	339	409.0	16.7623
111	0.022200	335	413.0	16.9262
112	0.022400	330	418.0	17.1311
113	0.022600	353	395.0	16.1885
114	0.022800	355	393.0	16.1066
115	0.023000	355	393.0	16.1066
116	0.023200	352	396.0	16.2295
117	0.023400	349	399.0	16.3525
118	0.023600	346	402.0	16.4754
119	0.023800	342	406.0	16.6393
120	0.024000	337	411.0	16.8443
121	0.024200	333	415.0	17.0082
122	0.024400	328	420.0	17.2131
123	0.024600	355	393.0	16.1066
124	0.024800	356	392.0	16.0656
125	0.025000	356	392.0	16.0656
126	0.025200	353	395.0	16.1885
127	0.025400	350	398.0	16.3115
128	0.025600	346	402.0	16.4754
129	0.025800	342	406.0	16.6393
130	0.026000	337	411.0	16.8443
131	0.026200	357	391.0	16.0246
132	0.026400	359	389.0	15.9426
133	0.026600	361	387.0	15.8607
134	0.026800	360	388.0	15.9016
135	0.027000	357	391.0	16.0246
136	0.027200	354	394.0	16.1475
137	0.027400	350	398.0	16.3115
138	0.027600	346	402.0	16.4754
139	0.027800	341	407.0	16.6803
140	0.028000	363	385.0	15.7787
141	0.028200	365	383.0	15.6967
142	0.028400	365	383.0	15.6967
143	0.028600	363	385.0	15.7787
144	0.028800	359	389.0	15.9426
145	0.029000	356	392.0	16.0656
146	0.029200	352	396.0	16.2295
147	0.029400	347	401.0	16.4344
148	0.029600	343	405.0	16.5984
149	0.029800	365	383.0	15.6967
150	0.030000	367	381.0	15.6148
151	0.030200	366	382.0	15.6557
152	0.030400	363	385.0	15.7787
153	0.030600	359	389.0	15.9426
154	0.030800	356	392.0	16.0656
155	0.031000	352	396.0	16.2295
156	0.031200	347	401.0	16.4344
157	0.031400	343	405.0	16.5984
158	0.031600	367	381.0	15.6148
159	0.031800	368	380.0	15.5738
160	0.032000	366	382.0	15.6557
161	0.032200	363	385.0	15.7787
162	0.032400	359	389.0	15.9426
163	0.032600	355	393.0	16.1066
164	0.032800	351	397.0	16.2705
165	0.033000	347	401.0	16.4344
166	0.033200	343	405.0	16.5984
167	0.033400	367	381.0	15.6148
168	0.033600	367	381.0	15.6148
169	0.033800	365	383.0	15.6967
170	0.034000	362	386.0	15.8197
171	0.034200	359	389.0	15.9426
172	0.034400	355	393.0	16.1066
173	0.034600	351	397.0	16.2705
174	0.034800	347	401.0	16.4344
175	0.035000	342	406.0	16.6393
176	0.035200	367	381.0	15.6148
177	0.035400	367	381.0	15.6148
178	0.035600	365	383.0	15.6967
179	0.035800	361	387.0	15.8607
180	0.036000	358	390.0	15.9836
181	0.036200	354	394.0	16.1475
182	0.036400	350	398.0	16.3115
183	0.036600	345	403.0	16.5164
184	0.036800	367	381.0	15.6148
