# Jet breakup length measurement
# Input         : C:\Users\boris\Desktop\Uni\Project\ma_15-06-26\swisstransfer_cef94cf3-89a8-463e-beb2-954dd92147be\measurement_21(3450).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 418.2 px  (17.000 mm)
# Scale         : 24.6 px/mm
# FPS           : 5000.0
# Threshold     : 175
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	419	798.0	32.4390
1	0.000200	410	807.0	32.8049
2	0.000400	402	815.0	33.1301
3	0.000600	423	794.0	32.2764
4	0.000800	417	800.0	32.5203
5	0.001000	447	770.0	31.3008
6	0.001200	440	777.0	31.5854
7	0.001400	417	800.0	32.5203
8	0.001600	423	794.0	32.2764
9	0.001800	415	802.0	32.6016
10	0.002000	410	807.0	32.8049
11	0.002200	400	817.0	33.2114
12	0.002400	390	827.0	33.6179
13	0.002600	379	838.0	34.0650
14	0.002800	368	849.0	34.5122
15	0.003000	401	816.0	33.1707
16	0.003200	472	745.0	30.2846
17	0.003400	463	754.0	30.6504
18	0.003600	453	764.0	31.0569
19	0.003800	448	769.0	31.2602
20	0.004000	439	778.0	31.6260
21	0.004200	428	789.0	32.0732
22	0.004400	437	780.0	31.7073
23	0.004600	433	784.0	31.8699
24	0.004800	458	759.0	30.8537
25	0.005000	447	770.0	31.3008
26	0.005200	439	778.0	31.6260
27	0.005400	463	754.0	30.6504
28	0.005600	449	768.0	31.2195
29	0.005800	435	782.0	31.7886
30	0.006000	429	788.0	32.0325
31	0.006200	425	792.0	32.1951
32	0.006400	420	797.0	32.3984
33	0.006600	411	806.0	32.7642
34	0.006800	402	815.0	33.1301
35	0.007000	449	768.0	31.2195
36	0.007200	443	774.0	31.4634
37	0.007400	444	773.0	31.4228
38	0.007600	489	728.0	29.5935
39	0.007800	473	744.0	30.2439
40	0.008000	474	743.0	30.2033
41	0.008200	485	732.0	29.7561
42	0.008400	475	742.0	30.1626
43	0.008600	469	748.0	30.4065
44	0.008800	463	754.0	30.6504
45	0.009000	459	758.0	30.8130
46	0.009200	477	740.0	30.0813
47	0.009400	469	748.0	30.4065
48	0.009600	459	758.0	30.8130
49	0.009800	443	774.0	31.4634
50	0.010000	436	781.0	31.7480
51	0.010200	429	788.0	32.0325
52	0.010400	432	785.0	31.9106
53	0.010600	449	768.0	31.2195
54	0.010800	440	777.0	31.5854
55	0.011000	421	796.0	32.3577
56	0.011200	413	804.0	32.6829
57	0.011400	415	802.0	32.6016
58	0.011600	400	817.0	33.2114
59	0.011800	422	795.0	32.3171
60	0.012000	411	806.0	32.7642
61	0.012200	479	738.0	30.0000
62	0.012400	463	754.0	30.6504
