# Jet breakup length measurement
# Input         : C:\Users\boris\Desktop\Uni\Project\di_16-06-26\swisstransfer_acd80a5a-181a-464e-9942-5d5007adbb43\metingen_16_06_2026\Measurement_07(1350).cine
# Rotation      : 270 deg
# Nozzle exit x : 752 px  (in rotated frame)
# Needle length : 47 px  (1.734 mm)
# Offset        : 0 px  (0.000 mm)
# Scale         : 27.1 px/mm
# FPS           : 5000.0
# Threshold     : 168
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	441	311.0	11.4760
1	0.000200	451	301.0	11.1070
2	0.000400	437	315.0	11.6236
3	0.000600	441	311.0	11.4760
4	0.000800	451	301.0	11.1070
5	0.001000	439	313.0	11.5498
6	0.001200	433	319.0	11.7712
7	0.001400	443	309.0	11.4022
8	0.001600	447	305.0	11.2546
9	0.001800	453	299.0	11.0332
10	0.002000	441	311.0	11.4760
11	0.002200	443	309.0	11.4022
12	0.002400	503	249.0	9.1882
13	0.002600	509	243.0	8.9668
14	0.002800	501	251.0	9.2620
15	0.003000	491	261.0	9.6310
16	0.003200	495	257.0	9.4834
17	0.003400	485	267.0	9.8524
18	0.003600	473	279.0	10.2952
19	0.003800	478	274.0	10.1107
20	0.004000	469	283.0	10.4428
21	0.004200	459	293.0	10.8118
22	0.004400	449	303.0	11.1808
23	0.004600	459	293.0	10.8118
24	0.004800	452	300.0	11.0701
25	0.005000	443	309.0	11.4022
26	0.005200	445	307.0	11.3284
27	0.005400	445	307.0	11.3284
28	0.005600	455	297.0	10.9594
29	0.005800	441	311.0	11.4760
30	0.006000	445	307.0	11.3284
31	0.006200	453	299.0	11.0332
32	0.006400	439	313.0	11.5498
33	0.006600	433	319.0	11.7712
34	0.006800	451	301.0	11.1070
35	0.007000	437	315.0	11.6236
36	0.007200	431	321.0	11.8450
37	0.007400	445	307.0	11.3284
38	0.007600	431	321.0	11.8450
39	0.007800	435	317.0	11.6974
40	0.008000	441	311.0	11.4760
41	0.008200	443	309.0	11.4022
42	0.008400	451	301.0	11.1070
43	0.008600	437	315.0	11.6236
44	0.008800	431	321.0	11.8450
45	0.009000	447	305.0	11.2546
46	0.009200	435	317.0	11.6974
47	0.009400	427	325.0	11.9926
48	0.009600	445	307.0	11.3284
49	0.009800	431	321.0	11.8450
50	0.010000	437	315.0	11.6236
51	0.010200	441	311.0	11.4760
52	0.010400	445	307.0	11.3284
53	0.010600	453	299.0	11.0332
54	0.010800	441	311.0	11.4760
55	0.011000	435	317.0	11.6974
56	0.011200	453	299.0	11.0332
57	0.011400	437	315.0	11.6236
58	0.011600	457	295.0	10.8856
59	0.011800	447	305.0	11.2546
60	0.012000	449	303.0	11.1808
61	0.012200	457	295.0	10.8856
62	0.012400	445	307.0	11.3284
63	0.012600	447	305.0	11.2546
64	0.012800	453	299.0	11.0332
65	0.013000	453	299.0	11.0332
66	0.013200	461	291.0	10.7380
67	0.013400	449	303.0	11.1808
68	0.013600	451	301.0	11.1070
69	0.013800	457	295.0	10.8856
70	0.014000	447	305.0	11.2546
71	0.014200	448	304.0	11.2177
72	0.014400	453	299.0	11.0332
73	0.014600	453	299.0	11.0332
74	0.014800	461	291.0	10.7380
75	0.015000	449	303.0	11.1808
76	0.015200	443	309.0	11.4022
77	0.015400	455	297.0	10.9594
78	0.015600	443	309.0	11.4022
79	0.015800	435	317.0	11.6974
80	0.016000	453	299.0	11.0332
81	0.016200	439	313.0	11.5498
82	0.016400	433	319.0	11.7712
83	0.016600	449	303.0	11.1808
84	0.016800	435	317.0	11.6974
85	0.017000	429	323.0	11.9188
86	0.017200	421	331.0	12.2140
87	0.017400	429	323.0	11.9188
88	0.017600	423	329.0	12.1402
89	0.017800	415	337.0	12.4354
90	0.018000	425	327.0	12.0664
91	0.018200	415	337.0	12.4354
92	0.018400	407	345.0	12.7306
93	0.018600	410	342.0	12.6199
94	0.018800	413	339.0	12.5092
95	0.019000	405	347.0	12.8044
96	0.019200	423	329.0	12.1402
97	0.019400	433	319.0	11.7712
98	0.019600	439	313.0	11.5498
99	0.019800	427	325.0	11.9926
100	0.020000	449	303.0	11.1808
101	0.020200	449	303.0	11.1808
102	0.020400	457	295.0	10.8856
103	0.020600	445	307.0	11.3284
104	0.020800	467	285.0	10.5166
105	0.021000	455	297.0	10.9594
106	0.021200	445	307.0	11.3284
107	0.021400	463	289.0	10.6642
108	0.021600	449	303.0	11.1808
109	0.021800	451	301.0	11.1070
110	0.022000	459	293.0	10.8118
111	0.022200	459	293.0	10.8118
112	0.022400	467	285.0	10.5166
113	0.022600	455	297.0	10.9594
114	0.022800	455	297.0	10.9594
115	0.023000	463	289.0	10.6642
116	0.023200	451	301.0	11.1070
117	0.023400	451	301.0	11.1070
118	0.023600	459	293.0	10.8118
119	0.023800	449	303.0	11.1808
120	0.024000	450	302.0	11.1439
121	0.024200	455	297.0	10.9594
122	0.024400	445	307.0	11.3284
123	0.024600	437	315.0	11.6236
124	0.024800	449	303.0	11.1808
125	0.025000	439	313.0	11.5498
126	0.025200	433	319.0	11.7712
127	0.025400	447	305.0	11.2546
128	0.025600	433	319.0	11.7712
129	0.025800	427	325.0	11.9926
130	0.026000	439	313.0	11.5498
131	0.026200	427	325.0	11.9926
132	0.026400	419	333.0	12.2878
133	0.026600	416	336.0	12.3985
134	0.026800	417	335.0	12.3616
135	0.027000	409	343.0	12.6568
136	0.027200	402	350.0	12.9151
137	0.027400	394	358.0	13.2103
138	0.027600	399	353.0	13.0258
139	0.027800	405	347.0	12.8044
140	0.028000	443	309.0	11.4022
141	0.028200	451	301.0	11.1070
142	0.028400	437	315.0	11.6236
143	0.028600	463	289.0	10.6642
144	0.028800	453	299.0	11.0332
145	0.029000	449	303.0	11.1808
146	0.029200	457	295.0	10.8856
147	0.029400	457	295.0	10.8856
148	0.029600	467	285.0	10.5166
149	0.029800	453	299.0	11.0332
150	0.030000	453	299.0	11.0332
151	0.030200	463	289.0	10.6642
152	0.030400	461	291.0	10.7380
153	0.030600	469	283.0	10.4428
154	0.030800	455	297.0	10.9594
155	0.031000	459	293.0	10.8118
156	0.031200	465	287.0	10.5904
157	0.031400	455	297.0	10.9594
158	0.031600	455	297.0	10.9594
159	0.031800	461	291.0	10.7380
160	0.032000	451	301.0	11.1070
161	0.032200	467	285.0	10.5166
162	0.032400	455	297.0	10.9594
163	0.032600	447	305.0	11.2546
164	0.032800	465	287.0	10.5904
165	0.033000	451	301.0	11.1070
166	0.033200	451	301.0	11.1070
167	0.033400	457	295.0	10.8856
168	0.033600	443	309.0	11.4022
169	0.033800	437	315.0	11.6236
170	0.034000	455	297.0	10.9594
171	0.034200	445	307.0	11.3284
172	0.034400	435	317.0	11.6974
173	0.034600	432	320.0	11.8081
174	0.034800	433	319.0	11.7712
175	0.035000	407	345.0	12.7306
176	0.035200	423	329.0	12.1402
177	0.035400	427	325.0	11.9926
178	0.035600	417	335.0	12.3616
179	0.035800	414	338.0	12.4723
180	0.036000	403	349.0	12.8782
181	0.036200	407	345.0	12.7306
182	0.036400	402	350.0	12.9151
183	0.036600	441	311.0	11.4760
184	0.036800	425	327.0	12.0664
185	0.037000	451	301.0	11.1070
186	0.037200	449	303.0	11.1808
187	0.037400	455	297.0	10.9594
188	0.037600	443	309.0	11.4022
189	0.037800	467	285.0	10.5166
190	0.038000	453	299.0	11.0332
191	0.038200	455	297.0	10.9594
192	0.038400	463	289.0	10.6642
193	0.038600	451	301.0	11.1070
194	0.038800	469	283.0	10.4428
195	0.039000	457	295.0	10.8856
196	0.039200	449	303.0	11.1808
197	0.039400	467	285.0	10.5166
198	0.039600	455	297.0	10.9594
199	0.039800	457	295.0	10.8856
