# Jet breakup length measurement
# Input         : C:\Users\taran\OneDrive\meting 16-06-26\measurement_01(750).cine
# Rotation      : 270 deg
# Nozzle exit x : 753 px  (in rotated frame)
# Needle length : 46 px  (1.691 mm)
# Offset        : 0 px  (0.000 mm)
# Scale         : 27.2 px/mm
# FPS           : 5000.0
# Threshold     : 182
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	671	82.0	3.0147
1	0.000200	667	86.0	3.1618
2	0.000400	681	72.0	2.6471
3	0.000600	675	78.0	2.8676
4	0.000800	671	82.0	3.0147
5	0.001000	667	86.0	3.1618
6	0.001200	677	76.0	2.7941
7	0.001400	672	81.0	2.9779
8	0.001600	653	100.0	3.6765
9	0.001800	677	76.0	2.7941
10	0.002000	673	80.0	2.9412
11	0.002200	665	88.0	3.2353
12	0.002400	679	74.0	2.7206
13	0.002600	675	78.0	2.8676
14	0.002800	671	82.0	3.0147
15	0.003000	665	88.0	3.2353
16	0.003200	675	78.0	2.8676
17	0.003400	673	80.0	2.9412
18	0.003600	667	86.0	3.1618
19	0.003800	648	105.0	3.8603
20	0.004000	673	80.0	2.9412
21	0.004200	669	84.0	3.0882
22	0.004400	665	88.0	3.2353
23	0.004600	663	90.0	3.3088
24	0.004800	671	82.0	3.0147
25	0.005000	669	84.0	3.0882
26	0.005200	667	86.0	3.1618
27	0.005400	681	72.0	2.6471
28	0.005600	673	80.0	2.9412
29	0.005800	668	85.0	3.1250
30	0.006000	666	87.0	3.1985
31	0.006200	673	80.0	2.9412
32	0.006400	671	82.0	3.0147
33	0.006600	653	100.0	3.6765
34	0.006800	677	76.0	2.7941
35	0.007000	675	78.0	2.8676
36	0.007200	671	82.0	3.0147
37	0.007400	665	88.0	3.2353
38	0.007600	675	78.0	2.8676
39	0.007800	671	82.0	3.0147
40	0.008000	667	86.0	3.1618
41	0.008200	675	78.0	2.8676
42	0.008400	671	82.0	3.0147
43	0.008600	669	84.0	3.0882
44	0.008800	651	102.0	3.7500
45	0.009000	675	78.0	2.8676
46	0.009200	671	82.0	3.0147
47	0.009400	667	86.0	3.1618
48	0.009600	663	90.0	3.3088
49	0.009800	673	80.0	2.9412
50	0.010000	667	86.0	3.1618
51	0.010200	650	103.0	3.7868
52	0.010400	645	108.0	3.9706
53	0.010600	643	110.0	4.0441
54	0.010800	667	86.0	3.1618
55	0.011000	663	90.0	3.3088
56	0.011200	657	96.0	3.5294
57	0.011400	653	100.0	3.6765
58	0.011600	667	86.0	3.1618
59	0.011800	663	90.0	3.3088
60	0.012000	656	97.0	3.5662
61	0.012200	654	99.0	3.6397
62	0.012400	667	86.0	3.1618
63	0.012600	660	93.0	3.4191
64	0.012800	642	111.0	4.0809
65	0.013000	638	115.0	4.2279
66	0.013200	637	116.0	4.2647
67	0.013400	669	84.0	3.0882
68	0.013600	666	87.0	3.1985
69	0.013800	679	74.0	2.7206
70	0.014000	675	78.0	2.8676
71	0.014200	669	84.0	3.0882
72	0.014400	667	86.0	3.1618
73	0.014600	675	78.0	2.8676
74	0.014800	673	80.0	2.9412
75	0.015000	654	99.0	3.6397
76	0.015200	651	102.0	3.7500
77	0.015400	665	88.0	3.2353
78	0.015600	661	92.0	3.3824
79	0.015800	645	108.0	3.9706
80	0.016000	640	113.0	4.1544
81	0.016200	635	118.0	4.3382
82	0.016400	665	88.0	3.2353
83	0.016600	661	92.0	3.3824
84	0.016800	658	95.0	3.4926
85	0.017000	671	82.0	3.0147
86	0.017200	665	88.0	3.2353
87	0.017400	661	92.0	3.3824
88	0.017600	673	80.0	2.9412
89	0.017800	671	82.0	3.0147
90	0.018000	665	88.0	3.2353
91	0.018200	677	76.0	2.7941
92	0.018400	673	80.0	2.9412
93	0.018600	667	86.0	3.1618
94	0.018800	665	88.0	3.2353
95	0.019000	673	80.0	2.9412
96	0.019200	669	84.0	3.0882
97	0.019400	651	102.0	3.7500
98	0.019600	675	78.0	2.8676
99	0.019800	671	82.0	3.0147
100	0.020000	669	84.0	3.0882
101	0.020200	665	88.0	3.2353
102	0.020400	673	80.0	2.9412
103	0.020600	656	97.0	3.5662
104	0.020800	653	100.0	3.6765
105	0.021000	652	101.0	3.7132
106	0.021200	663	90.0	3.3088
107	0.021400	646	107.0	3.9338
108	0.021600	677	76.0	2.7941
109	0.021800	673	80.0	2.9412
110	0.022000	667	86.0	3.1618
111	0.022200	663	90.0	3.3088
112	0.022400	673	80.0	2.9412
113	0.022600	669	84.0	3.0882
114	0.022800	663	90.0	3.3088
115	0.023000	661	92.0	3.3824
116	0.023200	669	84.0	3.0882
117	0.023400	654	99.0	3.6397
118	0.023600	665	88.0	3.2353
119	0.023800	663	90.0	3.3088
120	0.024000	677	76.0	2.7941
121	0.024200	673	80.0	2.9412
122	0.024400	669	84.0	3.0882
123	0.024600	662	91.0	3.3456
124	0.024800	677	76.0	2.7941
125	0.025000	671	82.0	3.0147
126	0.025200	665	88.0	3.2353
127	0.025400	677	76.0	2.7941
128	0.025600	673	80.0	2.9412
129	0.025800	669	84.0	3.0882
130	0.026000	649	104.0	3.8235
131	0.026200	673	80.0	2.9412
132	0.026400	671	82.0	3.0147
133	0.026600	667	86.0	3.1618
134	0.026800	661	92.0	3.3824
135	0.027000	657	96.0	3.5294
136	0.027200	665	88.0	3.2353
137	0.027400	675	78.0	2.8676
138	0.027600	671	82.0	3.0147
139	0.027800	667	86.0	3.1618
140	0.028000	664	89.0	3.2721
141	0.028200	673	80.0	2.9412
142	0.028400	671	82.0	3.0147
143	0.028600	651	102.0	3.7500
144	0.028800	649	104.0	3.8235
145	0.029000	673	80.0	2.9412
146	0.029200	669	84.0	3.0882
147	0.029400	665	88.0	3.2353
148	0.029600	662	91.0	3.3456
149	0.029800	669	84.0	3.0882
150	0.030000	667	86.0	3.1618
151	0.030200	649	104.0	3.8235
152	0.030400	673	80.0	2.9412
153	0.030600	671	82.0	3.0147
154	0.030800	667	86.0	3.1618
155	0.031000	664	89.0	3.2721
156	0.031200	673	80.0	2.9412
157	0.031400	669	84.0	3.0882
158	0.031600	667	86.0	3.1618
159	0.031800	647	106.0	3.8971
160	0.032000	673	80.0	2.9412
161	0.032200	669	84.0	3.0882
162	0.032400	663	90.0	3.3088
163	0.032600	673	80.0	2.9412
164	0.032800	669	84.0	3.0882
165	0.033000	665	88.0	3.2353
166	0.033200	648	105.0	3.8603
167	0.033400	645	108.0	3.9706
168	0.033600	659	94.0	3.4559
169	0.033800	654	99.0	3.6397
170	0.034000	663	90.0	3.3088
171	0.034200	659	94.0	3.4559
172	0.034400	656	97.0	3.5662
173	0.034600	627	126.0	4.6324
174	0.034800	623	130.0	4.7794
175	0.035000	669	84.0	3.0882
176	0.035200	665	88.0	3.2353
177	0.035400	661	92.0	3.3824
178	0.035600	671	82.0	3.0147
179	0.035800	667	86.0	3.1618
180	0.036000	662	91.0	3.3456
