# Jet breakup length measurement
# Input         : C:\Users\boris\Desktop\Uni\Project\di_16-06-26\swisstransfer_acd80a5a-181a-464e-9942-5d5007adbb43\metingen_16_06_2026\measurement_06(1250).cine
# Rotation      : 270 deg
# Nozzle exit x : 752 px  (in rotated frame)
# Needle length : 47 px  (1.734 mm)
# Offset        : 0 px  (0.000 mm)
# Scale         : 27.1 px/mm
# FPS           : 5000.0
# Threshold     : 167
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	481	271.0	10.0000
1	0.000200	493	259.0	9.5572
2	0.000400	485	267.0	9.8524
3	0.000600	481	271.0	10.0000
4	0.000800	487	265.0	9.7786
5	0.001000	479	273.0	10.0738
6	0.001200	473	279.0	10.2952
7	0.001400	485	267.0	9.8524
8	0.001600	475	277.0	10.2214
9	0.001800	473	279.0	10.2952
10	0.002000	477	275.0	10.1476
11	0.002200	469	283.0	10.4428
12	0.002400	442	310.0	11.4391
13	0.002600	456	296.0	10.9225
14	0.002800	461	291.0	10.7380
15	0.003000	451	301.0	11.1070
16	0.003200	447	305.0	11.2546
17	0.003400	438	314.0	11.5867
18	0.003600	443	309.0	11.4022
19	0.003800	459	293.0	10.8118
20	0.004000	473	279.0	10.2952
21	0.004200	469	283.0	10.4428
22	0.004400	477	275.0	10.1476
23	0.004600	477	275.0	10.1476
24	0.004800	487	265.0	9.7786
25	0.005000	475	277.0	10.2214
26	0.005200	477	275.0	10.1476
27	0.005400	481	271.0	10.0000
28	0.005600	475	277.0	10.2214
29	0.005800	489	263.0	9.7048
30	0.006000	483	269.0	9.9262
31	0.006200	483	269.0	9.9262
32	0.006400	485	267.0	9.8524
33	0.006600	487	265.0	9.7786
34	0.006800	495	257.0	9.4834
35	0.007000	485	267.0	9.8524
36	0.007200	487	265.0	9.7786
37	0.007400	489	263.0	9.7048
38	0.007600	491	261.0	9.6310
39	0.007800	497	255.0	9.4096
40	0.008000	487	265.0	9.7786
41	0.008200	483	269.0	9.9262
42	0.008400	493	259.0	9.5572
43	0.008600	483	269.0	9.9262
44	0.008800	486	266.0	9.8155
45	0.009000	489	263.0	9.7048
46	0.009200	483	269.0	9.9262
47	0.009400	479	273.0	10.0738
48	0.009600	485	267.0	9.8524
49	0.009800	477	275.0	10.1476
50	0.010000	473	279.0	10.2952
51	0.010200	481	271.0	10.0000
52	0.010400	471	281.0	10.3690
53	0.010600	467	285.0	10.5166
54	0.010800	475	277.0	10.2214
55	0.011000	467	285.0	10.5166
56	0.011200	464	288.0	10.6273
57	0.011400	467	285.0	10.5166
58	0.011600	459	293.0	10.8118
59	0.011800	454	298.0	10.9963
60	0.012000	446	306.0	11.2915
61	0.012200	449	303.0	11.1808
62	0.012400	441	311.0	11.4760
63	0.012600	457	295.0	10.8856
64	0.012800	469	283.0	10.4428
65	0.013000	467	285.0	10.5166
66	0.013200	477	275.0	10.1476
67	0.013400	475	277.0	10.2214
68	0.013600	481	271.0	10.0000
69	0.013800	473	279.0	10.2952
70	0.014000	489	263.0	9.7048
71	0.014200	481	271.0	10.0000
72	0.014400	482	270.0	9.9631
73	0.014600	485	267.0	9.8524
74	0.014800	487	265.0	9.7786
75	0.015000	493	259.0	9.5572
76	0.015200	485	267.0	9.8524
77	0.015400	488	264.0	9.7417
78	0.015600	491	261.0	9.6310
79	0.015800	485	267.0	9.8524
80	0.016000	497	255.0	9.4096
81	0.016200	489	263.0	9.7048
82	0.016400	490	262.0	9.6679
83	0.016600	493	259.0	9.5572
84	0.016800	487	265.0	9.7786
85	0.017000	501	251.0	9.2620
86	0.017200	491	261.0	9.6310
87	0.017400	487	265.0	9.7786
88	0.017600	484	268.0	9.8893
89	0.017800	485	267.0	9.8524
90	0.018000	479	273.0	10.0738
91	0.018200	491	261.0	9.6310
92	0.018400	481	271.0	10.0000
93	0.018600	479	273.0	10.0738
94	0.018800	475	277.0	10.2214
95	0.019000	475	277.0	10.2214
96	0.019200	469	283.0	10.4428
97	0.019400	465	287.0	10.5904
98	0.019600	475	277.0	10.2214
99	0.019800	465	287.0	10.5904
100	0.020000	463	289.0	10.6642
101	0.020200	465	287.0	10.5904
102	0.020400	442	310.0	11.4391
103	0.020600	430	322.0	11.8819
104	0.020800	421	331.0	12.2140
105	0.021000	469	283.0	10.4428
106	0.021200	463	289.0	10.6642
107	0.021400	473	279.0	10.2952
108	0.021600	461	291.0	10.7380
109	0.021800	483	269.0	9.9262
110	0.022000	471	281.0	10.3690
111	0.022200	489	263.0	9.7048
112	0.022400	479	273.0	10.0738
113	0.022600	481	271.0	10.0000
114	0.022800	487	265.0	9.7786
115	0.023000	479	273.0	10.0738
116	0.023200	495	257.0	9.4834
117	0.023400	485	267.0	9.8524
118	0.023600	488	264.0	9.7417
119	0.023800	491	261.0	9.6310
120	0.024000	485	267.0	9.8524
121	0.024200	497	255.0	9.4096
122	0.024400	489	263.0	9.7048
123	0.024600	491	261.0	9.6310
124	0.024800	493	259.0	9.5572
125	0.025000	487	265.0	9.7786
126	0.025200	483	269.0	9.9262
127	0.025400	491	261.0	9.6310
128	0.025600	485	267.0	9.8524
129	0.025800	495	257.0	9.4834
130	0.026000	487	265.0	9.7786
131	0.026200	481	271.0	10.0000
132	0.026400	493	259.0	9.5572
133	0.026600	485	267.0	9.8524
134	0.026800	481	271.0	10.0000
135	0.027000	487	265.0	9.7786
136	0.027200	479	273.0	10.0738
137	0.027400	473	279.0	10.2952
138	0.027600	485	267.0	9.8524
139	0.027800	475	277.0	10.2214
140	0.028000	471	281.0	10.3690
141	0.028200	479	273.0	10.0738
142	0.028400	469	283.0	10.4428
143	0.028600	465	287.0	10.5904
144	0.028800	459	293.0	10.8118
145	0.029000	449	303.0	11.1808
146	0.029200	437	315.0	11.6236
147	0.029400	445	307.0	11.3284
148	0.029600	419	333.0	12.2878
149	0.029800	439	313.0	11.5498
150	0.030000	457	295.0	10.8856
151	0.030200	475	277.0	10.2214
152	0.030400	471	281.0	10.3690
153	0.030600	479	273.0	10.0738
154	0.030800	467	285.0	10.5166
155	0.031000	485	267.0	9.8524
156	0.031200	477	275.0	10.1476
157	0.031400	478	274.0	10.1107
158	0.031600	481	271.0	10.0000
159	0.031800	485	267.0	9.8524
160	0.032000	491	261.0	9.6310
161	0.032200	483	269.0	9.9262
162	0.032400	485	267.0	9.8524
163	0.032600	487	265.0	9.7786
164	0.032800	489	263.0	9.7048
165	0.033000	495	257.0	9.4834
166	0.033200	487	265.0	9.7786
167	0.033400	489	263.0	9.7048
168	0.033600	491	261.0	9.6310
169	0.033800	487	265.0	9.7786
170	0.034000	497	255.0	9.4096
171	0.034200	489	263.0	9.7048
172	0.034400	490	262.0	9.6679
173	0.034600	493	259.0	9.5572
174	0.034800	485	267.0	9.8524
175	0.035000	487	265.0	9.7786
176	0.035200	489	263.0	9.7048
177	0.035400	483	269.0	9.9262
178	0.035600	481	271.0	10.0000
179	0.035800	485	267.0	9.8524
180	0.036000	479	273.0	10.0738
181	0.036200	475	277.0	10.2214
182	0.036400	481	271.0	10.0000
183	0.036600	473	279.0	10.2952
184	0.036800	467	285.0	10.5166
185	0.037000	477	275.0	10.1476
186	0.037200	469	283.0	10.4428
187	0.037400	466	286.0	10.5535
188	0.037600	457	295.0	10.8856
189	0.037800	447	305.0	11.2546
190	0.038000	453	299.0	11.0332
191	0.038200	447	305.0	11.2546
192	0.038400	438	314.0	11.5867
193	0.038600	465	287.0	10.5904
194	0.038800	459	293.0	10.8118
195	0.039000	469	283.0	10.4428
196	0.039200	469	283.0	10.4428
197	0.039400	475	277.0	10.2214
198	0.039600	465	287.0	10.5904
199	0.039800	483	269.0	9.9262
200	0.040000	487	265.0	9.7786
201	0.040200	493	259.0	9.5572
202	0.040400	485	267.0	9.8524
203	0.040600	481	271.0	10.0000
204	0.040800	487	265.0	9.7786
205	0.041000	489	263.0	9.7048
206	0.041200	495	257.0	9.4834
207	0.041400	487	265.0	9.7786
208	0.041600	489	263.0	9.7048
209	0.041800	493	259.0	9.5572
210	0.042000	487	265.0	9.7786
211	0.042200	497	255.0	9.4096
212	0.042400	491	261.0	9.6310
213	0.042600	492	260.0	9.5941
214	0.042800	495	257.0	9.4834
215	0.043000	489	263.0	9.7048
216	0.043200	489	263.0	9.7048
217	0.043400	491	261.0	9.6310
218	0.043600	487	265.0	9.7786
219	0.043800	484	268.0	9.8893
220	0.044000	487	265.0	9.7786
221	0.044200	483	269.0	9.9262
222	0.044400	477	275.0	10.1476
223	0.044600	485	267.0	9.8524
224	0.044800	479	273.0	10.0738
225	0.045000	476	276.0	10.1845
226	0.045200	477	275.0	10.1476
227	0.045400	481	271.0	10.0000
228	0.045600	485	267.0	9.8524
229	0.045800	477	275.0	10.1476
230	0.046000	473	279.0	10.2952
231	0.046200	465	287.0	10.5904
232	0.046400	455	297.0	10.9594
233	0.046600	445	307.0	11.3284
234	0.046800	453	299.0	11.0332
235	0.047000	444	308.0	11.3653
236	0.047200	445	307.0	11.3284
237	0.047400	459	293.0	10.8118
238	0.047600	457	295.0	10.8856
239	0.047800	465	287.0	10.5904
240	0.048000	483	269.0	9.9262
241	0.048200	473	279.0	10.2952
242	0.048400	477	275.0	10.1476
243	0.048600	479	273.0	10.0738
244	0.048800	481	271.0	10.0000
245	0.049000	489	263.0	9.7048
246	0.049200	481	271.0	10.0000
247	0.049400	495	257.0	9.4834
248	0.049600	487	265.0	9.7786
249	0.049800	489	263.0	9.7048
250	0.050000	491	261.0	9.6310
251	0.050200	485	267.0	9.8524
252	0.050400	499	253.0	9.3358
253	0.050600	491	261.0	9.6310
254	0.050800	493	259.0	9.5572
255	0.051000	495	257.0	9.4834
256	0.051200	489	263.0	9.7048
257	0.051400	483	269.0	9.9262
258	0.051600	491	261.0	9.6310
259	0.051800	487	265.0	9.7786
260	0.052000	481	271.0	10.0000
261	0.052200	489	263.0	9.7048
262	0.052400	485	267.0	9.8524
263	0.052600	493	259.0	9.5572
264	0.052800	485	267.0	9.8524
265	0.053000	487	265.0	9.7786
266	0.053200	489	263.0	9.7048
267	0.053400	481	271.0	10.0000
268	0.053600	477	275.0	10.1476
269	0.053800	485	267.0	9.8524
270	0.054000	475	277.0	10.2214
271	0.054200	469	283.0	10.4428
272	0.054400	467	285.0	10.5166
273	0.054600	473	279.0	10.2952
274	0.054800	465	287.0	10.5904
275	0.055000	461	291.0	10.7380
276	0.055200	451	301.0	11.1070
277	0.055400	439	313.0	11.5498
278	0.055600	427	325.0	11.9926
279	0.055800	449	303.0	11.1808
280	0.056000	441	311.0	11.4760
281	0.056200	465	287.0	10.5904
282	0.056400	475	277.0	10.2214
283	0.056600	473	279.0	10.2952
284	0.056800	481	271.0	10.0000
285	0.057000	481	271.0	10.0000
286	0.057200	487	265.0	9.7786
287	0.057400	479	273.0	10.0738
288	0.057600	481	271.0	10.0000
289	0.057800	485	267.0	9.8524
290	0.058000	487	265.0	9.7786
291	0.058200	493	259.0	9.5572
292	0.058400	485	267.0	9.8524
293	0.058600	499	253.0	9.3358
294	0.058800	489	263.0	9.7048
295	0.059000	491	261.0	9.6310
296	0.059200	495	257.0	9.4834
297	0.059400	489	263.0	9.7048
298	0.059600	483	269.0	9.9262
299	0.059800	493	259.0	9.5572
300	0.060000	487	265.0	9.7786
301	0.060200	497	255.0	9.4096
302	0.060400	489	263.0	9.7048
303	0.060600	492	260.0	9.5941
304	0.060800	495	257.0	9.4834
305	0.061000	491	261.0	9.6310
306	0.061200	489	263.0	9.7048
307	0.061400	489	263.0	9.7048
308	0.061600	483	269.0	9.9262
309	0.061800	479	273.0	10.0738
310	0.062000	485	267.0	9.8524
311	0.062200	477	275.0	10.1476
312	0.062400	479	273.0	10.0738
313	0.062600	483	269.0	9.9262
314	0.062800	475	277.0	10.2214
315	0.063000	473	279.0	10.2952
316	0.063200	479	273.0	10.0738
317	0.063400	469	283.0	10.4428
318	0.063600	466	286.0	10.5535
319	0.063800	469	283.0	10.4428
320	0.064000	461	291.0	10.7380
321	0.064200	455	297.0	10.9594
322	0.064400	446	306.0	11.2915
323	0.064600	436	316.0	11.6605
324	0.064800	467	285.0	10.5166
325	0.065000	463	289.0	10.6642
326	0.065200	473	279.0	10.2952
327	0.065400	473	279.0	10.2952
328	0.065600	477	275.0	10.1476
329	0.065800	479	273.0	10.0738
330	0.066000	485	267.0	9.8524
331	0.066200	477	275.0	10.1476
332	0.066400	493	259.0	9.5572
333	0.066600	483	269.0	9.9262
334	0.066800	486	266.0	9.8155
335	0.067000	489	263.0	9.7048
336	0.067200	491	261.0	9.6310
337	0.067400	497	255.0	9.4096
338	0.067600	489	263.0	9.7048
339	0.067800	491	261.0	9.6310
340	0.068000	493	259.0	9.5572
341	0.068200	495	257.0	9.4834
342	0.068400	499	253.0	9.3358
343	0.068600	493	259.0	9.5572
344	0.068800	487	265.0	9.7786
345	0.069000	495	257.0	9.4834
346	0.069200	489	263.0	9.7048
347	0.069400	485	267.0	9.8524
348	0.069600	491	261.0	9.6310
349	0.069800	487	265.0	9.7786
350	0.070000	485	267.0	9.8524
351	0.070200	487	265.0	9.7786
352	0.070400	489	263.0	9.7048
353	0.070600	477	275.0	10.1476
354	0.070800	485	267.0	9.8524
355	0.071000	481	271.0	10.0000
356	0.071200	477	275.0	10.1476
357	0.071400	477	275.0	10.1476
358	0.071600	473	279.0	10.2952
359	0.071800	471	281.0	10.3690
360	0.072000	475	277.0	10.2214
361	0.072200	467	285.0	10.5166
362	0.072400	464	288.0	10.6273
363	0.072600	467	285.0	10.5166
364	0.072800	459	293.0	10.8118
365	0.073000	453	299.0	11.0332
366	0.073200	443	309.0	11.4022
367	0.073400	449	303.0	11.1808
368	0.073600	455	297.0	10.9594
369	0.073800	459	293.0	10.8118
370	0.074000	477	275.0	10.1476
371	0.074200	485	267.0	9.8524
372	0.074400	475	277.0	10.2214
373	0.074600	477	275.0	10.1476
374	0.074800	481	271.0	10.0000
375	0.075000	483	269.0	9.9262
376	0.075200	489	263.0	9.7048
377	0.075400	481	271.0	10.0000
