# Jet breakup length measurement
# Input         : C:\Users\taran\OneDrive\meting 16-06-26\Measurement_04(1050).cine
# Rotation      : 270 deg
# Nozzle exit x : 753 px  (in rotated frame)
# Needle length : 46 px  (1.691 mm)
# Offset        : 0 px  (0.000 mm)
# Scale         : 27.2 px/mm
# FPS           : 5000.0
# Threshold     : 178
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	565	188.0	6.9118
1	0.000200	556	197.0	7.2426
2	0.000400	569	184.0	6.7647
3	0.000600	563	190.0	6.9853
4	0.000800	575	178.0	6.5441
5	0.001000	567	186.0	6.8382
6	0.001200	559	194.0	7.1324
7	0.001400	573	180.0	6.6176
8	0.001600	565	188.0	6.9118
9	0.001800	577	176.0	6.4706
10	0.002000	571	182.0	6.6912
11	0.002200	561	192.0	7.0588
12	0.002400	575	178.0	6.5441
13	0.002600	567	186.0	6.8382
14	0.002800	577	176.0	6.4706
15	0.003000	573	180.0	6.6176
16	0.003200	565	188.0	6.9118
17	0.003400	577	176.0	6.4706
18	0.003600	569	184.0	6.7647
19	0.003800	561	192.0	7.0588
20	0.004000	575	178.0	6.5441
21	0.004200	567	186.0	6.8382
22	0.004400	577	176.0	6.4706
23	0.004600	571	182.0	6.6912
24	0.004800	563	190.0	6.9853
25	0.005000	575	178.0	6.5441
26	0.005200	567	186.0	6.8382
27	0.005400	559	194.0	7.1324
28	0.005600	573	180.0	6.6176
29	0.005800	565	188.0	6.9118
30	0.006000	556	197.0	7.2426
31	0.006200	567	186.0	6.8382
32	0.006400	561	192.0	7.0588
33	0.006600	550	203.0	7.4632
34	0.006800	563	190.0	6.9853
35	0.007000	555	198.0	7.2794
36	0.007200	545	208.0	7.6471
37	0.007400	557	196.0	7.2059
38	0.007600	545	208.0	7.6471
39	0.007800	559	194.0	7.1324
40	0.008000	550	203.0	7.4632
41	0.008200	563	190.0	6.9853
42	0.008400	556	197.0	7.2426
43	0.008600	569	184.0	6.7647
44	0.008800	563	190.0	6.9853
45	0.009000	573	180.0	6.6176
46	0.009200	567	186.0	6.8382
47	0.009400	559	194.0	7.1324
48	0.009600	573	180.0	6.6176
49	0.009800	565	188.0	6.9118
50	0.010000	577	176.0	6.4706
51	0.010200	571	182.0	6.6912
52	0.010400	562	191.0	7.0221
53	0.010600	575	178.0	6.5441
54	0.010800	569	184.0	6.7647
55	0.011000	579	174.0	6.3971
56	0.011200	573	180.0	6.6176
57	0.011400	565	188.0	6.9118
58	0.011600	577	176.0	6.4706
59	0.011800	571	182.0	6.6912
60	0.012000	561	192.0	7.0588
61	0.012200	575	178.0	6.5441
62	0.012400	567	186.0	6.8382
63	0.012600	579	174.0	6.3971
64	0.012800	573	180.0	6.6176
65	0.013000	563	190.0	6.9853
66	0.013200	577	176.0	6.4706
67	0.013400	569	184.0	6.7647
68	0.013600	560	193.0	7.0956
69	0.013800	573	180.0	6.6176
70	0.014000	565	188.0	6.9118
71	0.014200	556	197.0	7.2426
72	0.014400	571	182.0	6.6912
73	0.014600	561	192.0	7.0588
74	0.014800	573	180.0	6.6176
75	0.015000	567	186.0	6.8382
76	0.015200	557	196.0	7.2059
77	0.015400	545	208.0	7.6471
78	0.015600	561	192.0	7.0588
79	0.015800	552	201.0	7.3897
80	0.016000	561	192.0	7.0588
81	0.016200	556	197.0	7.2426
82	0.016400	544	209.0	7.6838
83	0.016600	559	194.0	7.1324
84	0.016800	545	208.0	7.6471
85	0.017000	563	190.0	6.9853
86	0.017200	554	199.0	7.3162
87	0.017400	567	186.0	6.8382
88	0.017600	559	194.0	7.1324
89	0.017800	573	180.0	6.6176
90	0.018000	565	188.0	6.9118
91	0.018200	577	176.0	6.4706
92	0.018400	571	182.0	6.6912
93	0.018600	563	190.0	6.9853
94	0.018800	575	178.0	6.5441
95	0.019000	567	186.0	6.8382
96	0.019200	559	194.0	7.1324
97	0.019400	573	180.0	6.6176
98	0.019600	565	188.0	6.9118
99	0.019800	577	176.0	6.4706
100	0.020000	569	184.0	6.7647
101	0.020200	561	192.0	7.0588
102	0.020400	575	178.0	6.5441
103	0.020600	567	186.0	6.8382
104	0.020800	579	174.0	6.3971
105	0.021000	573	180.0	6.6176
106	0.021200	564	189.0	6.9485
107	0.021400	577	176.0	6.4706
108	0.021600	569	184.0	6.7647
109	0.021800	560	193.0	7.0956
110	0.022000	573	180.0	6.6176
111	0.022200	565	188.0	6.9118
112	0.022400	577	176.0	6.4706
113	0.022600	571	182.0	6.6912
114	0.022800	563	190.0	6.9853
115	0.023000	573	180.0	6.6176
116	0.023200	567	186.0	6.8382
117	0.023400	558	195.0	7.1691
118	0.023600	571	182.0	6.6912
119	0.023800	563	190.0	6.9853
120	0.024000	554	199.0	7.3162
121	0.024200	567	186.0	6.8382
122	0.024400	559	194.0	7.1324
123	0.024600	545	208.0	7.6471
124	0.024800	561	192.0	7.0588
125	0.025000	552	201.0	7.3897
126	0.025200	542	211.0	7.7574
127	0.025400	552	201.0	7.3897
128	0.025600	544	209.0	7.6838
129	0.025800	559	194.0	7.1324
130	0.026000	548	205.0	7.5368
131	0.026200	563	190.0	6.9853
132	0.026400	555	198.0	7.2794
133	0.026600	569	184.0	6.7647
134	0.026800	561	192.0	7.0588
135	0.027000	575	178.0	6.5441
136	0.027200	567	186.0	6.8382
137	0.027400	577	176.0	6.4706
138	0.027600	573	180.0	6.6176
139	0.027800	563	190.0	6.9853
140	0.028000	577	176.0	6.4706
141	0.028200	569	184.0	6.7647
142	0.028400	561	192.0	7.0588
143	0.028600	575	178.0	6.5441
144	0.028800	567	186.0	6.8382
145	0.029000	577	176.0	6.4706
146	0.029200	571	182.0	6.6912
147	0.029400	563	190.0	6.9853
148	0.029600	575	178.0	6.5441
149	0.029800	569	184.0	6.7647
150	0.030000	560	193.0	7.0956
151	0.030200	573	180.0	6.6176
152	0.030400	565	188.0	6.9118
153	0.030600	577	176.0	6.4706
154	0.030800	571	182.0	6.6912
155	0.031000	563	190.0	6.9853
156	0.031200	573	180.0	6.6176
157	0.031400	567	186.0	6.8382
158	0.031600	559	194.0	7.1324
159	0.031800	571	182.0	6.6912
160	0.032000	563	190.0	6.9853
161	0.032200	554	199.0	7.3162
162	0.032400	567	186.0	6.8382
163	0.032600	559	194.0	7.1324
164	0.032800	550	203.0	7.4632
165	0.033000	563	190.0	6.9853
166	0.033200	553	200.0	7.3529
167	0.033400	544	209.0	7.6838
168	0.033600	556	197.0	7.2426
169	0.033800	545	208.0	7.6471
170	0.034000	559	194.0	7.1324
171	0.034200	545	208.0	7.6471
172	0.034400	563	190.0	6.9853
173	0.034600	555	198.0	7.2794
174	0.034800	569	184.0	6.7647
175	0.035000	561	192.0	7.0588
176	0.035200	573	180.0	6.6176
177	0.035400	567	186.0	6.8382
178	0.035600	558	195.0	7.1691
179	0.035800	573	180.0	6.6176
180	0.036000	565	188.0	6.9118
181	0.036200	577	176.0	6.4706
182	0.036400	569	184.0	6.7647
183	0.036600	561	192.0	7.0588
184	0.036800	575	178.0	6.5441
185	0.037000	567	186.0	6.8382
186	0.037200	579	174.0	6.3971
187	0.037400	573	180.0	6.6176
188	0.037600	563	190.0	6.9853
189	0.037800	577	176.0	6.4706
190	0.038000	569	184.0	6.7647
191	0.038200	561	192.0	7.0588
192	0.038400	575	178.0	6.5441
193	0.038600	567	186.0	6.8382
194	0.038800	577	176.0	6.4706
195	0.039000	571	182.0	6.6912
196	0.039200	563	190.0	6.9853
197	0.039400	575	178.0	6.5441
198	0.039600	567	186.0	6.8382
199	0.039800	559	194.0	7.1324
200	0.040000	573	180.0	6.6176
201	0.040200	565	188.0	6.9118
202	0.040400	556	197.0	7.2426
203	0.040600	569	184.0	6.7647
204	0.040800	561	192.0	7.0588
205	0.041000	550	203.0	7.4632
206	0.041200	565	188.0	6.9118
207	0.041400	556	197.0	7.2426
208	0.041600	544	209.0	7.6838
209	0.041800	559	194.0	7.1324
210	0.042000	550	203.0	7.4632
211	0.042200	561	192.0	7.0588
212	0.042400	553	200.0	7.3529
213	0.042600	565	188.0	6.9118
214	0.042800	557	196.0	7.2059
215	0.043000	569	184.0	6.7647
216	0.043200	563	190.0	6.9853
217	0.043400	553	200.0	7.3529
218	0.043600	567	186.0	6.8382
219	0.043800	559	194.0	7.1324
220	0.044000	573	180.0	6.6176
221	0.044200	565	188.0	6.9118
222	0.044400	577	176.0	6.4706
223	0.044600	571	182.0	6.6912
224	0.044800	561	192.0	7.0588
225	0.045000	575	178.0	6.5441
226	0.045200	567	186.0	6.8382
227	0.045400	577	176.0	6.4706
228	0.045600	573	180.0	6.6176
229	0.045800	565	188.0	6.9118
230	0.046000	577	176.0	6.4706
231	0.046200	569	184.0	6.7647
232	0.046400	561	192.0	7.0588
233	0.046600	575	178.0	6.5441
234	0.046800	567	186.0	6.8382
235	0.047000	579	174.0	6.3971
236	0.047200	571	182.0	6.6912
237	0.047400	563	190.0	6.9853
238	0.047600	577	176.0	6.4706
239	0.047800	569	184.0	6.7647
240	0.048000	559	194.0	7.1324
241	0.048200	573	180.0	6.6176
242	0.048400	565	188.0	6.9118
243	0.048600	556	197.0	7.2426
244	0.048800	571	182.0	6.6912
245	0.049000	561	192.0	7.0588
246	0.049200	573	180.0	6.6176
247	0.049400	567	186.0	6.8382
248	0.049600	557	196.0	7.2059
249	0.049800	569	184.0	6.7647
250	0.050000	563	190.0	6.9853
251	0.050200	552	201.0	7.3897
252	0.050400	565	188.0	6.9118
253	0.050600	557	196.0	7.2059
254	0.050800	545	208.0	7.6471
255	0.051000	561	192.0	7.0588
256	0.051200	550	203.0	7.4632
257	0.051400	563	190.0	6.9853
258	0.051600	554	199.0	7.3162
259	0.051800	567	186.0	6.8382
260	0.052000	559	194.0	7.1324
261	0.052200	573	180.0	6.6176
262	0.052400	565	188.0	6.9118
263	0.052600	556	197.0	7.2426
264	0.052800	571	182.0	6.6912
265	0.053000	561	192.0	7.0588
266	0.053200	575	178.0	6.5441
267	0.053400	567	186.0	6.8382
268	0.053600	579	174.0	6.3971
269	0.053800	573	180.0	6.6176
270	0.054000	565	188.0	6.9118
271	0.054200	577	176.0	6.4706
272	0.054400	569	184.0	6.7647
273	0.054600	561	192.0	7.0588
274	0.054800	575	178.0	6.5441
275	0.055000	567	186.0	6.8382
276	0.055200	579	174.0	6.3971
277	0.055400	573	180.0	6.6176
278	0.055600	563	190.0	6.9853
279	0.055800	577	176.0	6.4706
280	0.056000	569	184.0	6.7647
281	0.056200	560	193.0	7.0956
282	0.056400	573	180.0	6.6176
283	0.056600	565	188.0	6.9118
284	0.056800	577	176.0	6.4706
285	0.057000	571	182.0	6.6912
286	0.057200	561	192.0	7.0588
287	0.057400	575	178.0	6.5441
288	0.057600	567	186.0	6.8382
289	0.057800	558	195.0	7.1691
290	0.058000	571	182.0	6.6912
291	0.058200	563	190.0	6.9853
292	0.058400	553	200.0	7.3529
293	0.058600	567	186.0	6.8382
294	0.058800	559	194.0	7.1324
295	0.059000	548	205.0	7.5368
296	0.059200	563	190.0	6.9853
297	0.059400	553	200.0	7.3529
298	0.059600	565	188.0	6.9118
299	0.059800	557	196.0	7.2059
300	0.060000	545	208.0	7.6471
