# Jet breakup length measurement
# Input         : C:\Users\taran\OneDrive\meting 16-06-26\Measurement_25(3150).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 459 px  (17.000 mm)
# Scale         : 27 px/mm
# FPS           : 5000.0
# Threshold     : 176
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	507	751.0	27.8148
1	0.000200	542	716.0	26.5185
2	0.000400	555	703.0	26.0370
3	0.000600	548	710.0	26.2963
4	0.000800	542	716.0	26.5185
5	0.001000	533	725.0	26.8519
6	0.001200	523	735.0	27.2222
7	0.001400	495	763.0	28.2593
8	0.001600	633	625.0	23.1481
9	0.001800	603	655.0	24.2593
10	0.002000	575	683.0	25.2963
11	0.002200	559	699.0	25.8889
12	0.002400	553	705.0	26.1111
13	0.002600	521	737.0	27.2963
14	0.002800	495	763.0	28.2593
15	0.003000	519	739.0	27.3704
16	0.003200	511	747.0	27.6667
17	0.003400	499	759.0	28.1111
18	0.003600	471	787.0	29.1481
19	0.003800	443	815.0	30.1852
20	0.004000	430	828.0	30.6667
21	0.004200	449	809.0	29.9630
22	0.004400	503	755.0	27.9630
23	0.004600	475	783.0	29.0000
24	0.004800	447	811.0	30.0370
25	0.005000	439	819.0	30.3333
26	0.005200	463	795.0	29.4444
27	0.005400	467	791.0	29.2963
28	0.005600	527	731.0	27.0741
29	0.005800	515	743.0	27.5185
30	0.006000	489	769.0	28.4815
31	0.006200	479	779.0	28.8519
32	0.006400	451	807.0	29.8889
33	0.006600	497	761.0	28.1852
34	0.006800	469	789.0	29.2222
35	0.007000	467	791.0	29.2963
36	0.007200	463	795.0	29.4444
37	0.007400	546	712.0	26.3704
38	0.007600	491	767.0	28.4074
39	0.007800	548	710.0	26.2963
40	0.008000	495	763.0	28.2593
41	0.008200	537	721.0	26.7037
42	0.008400	527	731.0	27.0741
43	0.008600	519	739.0	27.3704
44	0.008800	513	745.0	27.5926
45	0.009000	483	775.0	28.7037
46	0.009200	503	755.0	27.9630
47	0.009400	499	759.0	28.1111
48	0.009600	540	718.0	26.5926
49	0.009800	485	773.0	28.6296
50	0.010000	499	759.0	28.1111
51	0.010200	467	791.0	29.2963
52	0.010400	495	763.0	28.2593
53	0.010600	523	735.0	27.2222
54	0.010800	495	763.0	28.2593
55	0.011000	521	737.0	27.2963
56	0.011200	493	765.0	28.3333
57	0.011400	483	775.0	28.7037
58	0.011600	547	711.0	26.3333
59	0.011800	537	721.0	26.7037
60	0.012000	527	731.0	27.0741
61	0.012200	551	707.0	26.1852
62	0.012400	525	733.0	27.1481
63	0.012600	513	745.0	27.5926
64	0.012800	551	707.0	26.1852
65	0.013000	541	717.0	26.5556
66	0.013200	513	745.0	27.5926
67	0.013400	548	710.0	26.2963
68	0.013600	493	765.0	28.3333
69	0.013800	531	727.0	26.9259
70	0.014000	499	759.0	28.1111
71	0.014200	491	767.0	28.4074
72	0.014400	517	741.0	27.4444
73	0.014600	554	704.0	26.0741
74	0.014800	501	757.0	28.0370
75	0.015000	511	747.0	27.6667
76	0.015200	579	679.0	25.1481
77	0.015400	548	710.0	26.2963
78	0.015600	483	775.0	28.7037
79	0.015800	511	747.0	27.6667
80	0.016000	501	757.0	28.0370
81	0.016200	473	785.0	29.0741
82	0.016400	519	739.0	27.3704
83	0.016600	487	771.0	28.5556
84	0.016800	544	714.0	26.4444
85	0.017000	487	771.0	28.5556
86	0.017200	505	753.0	27.8889
87	0.017400	495	763.0	28.2593
88	0.017600	465	793.0	29.3704
89	0.017800	491	767.0	28.4074
90	0.018000	463	795.0	29.4444
91	0.018200	451	807.0	29.8889
92	0.018400	459	799.0	29.5926
93	0.018600	451	807.0	29.8889
94	0.018800	503	755.0	27.9630
95	0.019000	495	763.0	28.2593
96	0.019200	467	791.0	29.2963
97	0.019400	437	821.0	30.4074
98	0.019600	519	739.0	27.3704
99	0.019800	487	771.0	28.5556
100	0.020000	479	779.0	28.8519
101	0.020200	467	791.0	29.2963
102	0.020400	515	743.0	27.5185
103	0.020600	447	811.0	30.0370
104	0.020800	475	783.0	29.0000
105	0.021000	445	813.0	30.1111
106	0.021200	435	823.0	30.4815
107	0.021400	489	769.0	28.4815
108	0.021600	481	777.0	28.7778
109	0.021800	451	807.0	29.8889
110	0.022000	515	743.0	27.5185
111	0.022200	487	771.0	28.5556
112	0.022400	459	799.0	29.5926
113	0.022600	507	751.0	27.8148
114	0.022800	550	708.0	26.2222
115	0.023000	497	761.0	28.1852
116	0.023200	491	767.0	28.4074
117	0.023400	481	777.0	28.7778
118	0.023600	453	805.0	29.8148
119	0.023800	449	809.0	29.9630
120	0.024000	511	747.0	27.6667
121	0.024200	501	757.0	28.0370
122	0.024400	491	767.0	28.4074
123	0.024600	463	795.0	29.4444
124	0.024800	451	807.0	29.8889
125	0.025000	463	795.0	29.4444
126	0.025200	499	759.0	28.1111
127	0.025400	469	789.0	29.2222
128	0.025600	455	803.0	29.7407
129	0.025800	487	771.0	28.5556
130	0.026000	567	691.0	25.5926
131	0.026200	507	751.0	27.8148
132	0.026400	479	779.0	28.8519
133	0.026600	471	787.0	29.1481
134	0.026800	542	716.0	26.5185
135	0.027000	507	751.0	27.8148
136	0.027200	481	777.0	28.7778
137	0.027400	471	787.0	29.1481
138	0.027600	443	815.0	30.1852
139	0.027800	487	771.0	28.5556
140	0.028000	499	759.0	28.1111
141	0.028200	511	747.0	27.6667
142	0.028400	481	777.0	28.7778
143	0.028600	507	751.0	27.8148
144	0.028800	475	783.0	29.0000
145	0.029000	489	769.0	28.4815
146	0.029200	463	795.0	29.4444
147	0.029400	451	807.0	29.8889
148	0.029600	439	819.0	30.3333
149	0.029800	447	811.0	30.0370
150	0.030000	527	731.0	27.0741
151	0.030200	519	739.0	27.3704
152	0.030400	511	747.0	27.6667
153	0.030600	503	755.0	27.9630
154	0.030800	491	767.0	28.4074
155	0.031000	519	739.0	27.3704
156	0.031200	491	767.0	28.4074
157	0.031400	557	701.0	25.9630
158	0.031600	547	711.0	26.3333
159	0.031800	517	741.0	27.4444
160	0.032000	507	751.0	27.8148
161	0.032200	479	779.0	28.8519
162	0.032400	451	807.0	29.8889
163	0.032600	523	735.0	27.2222
164	0.032800	495	763.0	28.2593
165	0.033000	481	777.0	28.7778
166	0.033200	455	803.0	29.7407
167	0.033400	467	791.0	29.2963
168	0.033600	557	701.0	25.9630
169	0.033800	525	733.0	27.1481
170	0.034000	513	745.0	27.5926
171	0.034200	487	771.0	28.5556
172	0.034400	477	781.0	28.9259
173	0.034600	447	811.0	30.0370
174	0.034800	439	819.0	30.3333
175	0.035000	499	759.0	28.1111
176	0.035200	521	737.0	27.2963
177	0.035400	489	769.0	28.4815
178	0.035600	542	716.0	26.5185
179	0.035800	485	773.0	28.6296
180	0.036000	479	779.0	28.8519
181	0.036200	499	759.0	28.1111
182	0.036400	495	763.0	28.2593
183	0.036600	550	708.0	26.2222
184	0.036800	455	803.0	29.7407
185	0.037000	509	749.0	27.7407
186	0.037200	481	777.0	28.7778
187	0.037400	469	789.0	29.2222
188	0.037600	487	771.0	28.5556
189	0.037800	459	799.0	29.5926
190	0.038000	517	741.0	27.4444
191	0.038200	485	773.0	28.6296
192	0.038400	477	781.0	28.9259
193	0.038600	509	749.0	27.7407
194	0.038800	475	783.0	29.0000
195	0.039000	473	785.0	29.0741
196	0.039200	467	791.0	29.2963
197	0.039400	463	795.0	29.4444
198	0.039600	459	799.0	29.5926
199	0.039800	434	824.0	30.5185
200	0.040000	455	803.0	29.7407
201	0.040200	527	731.0	27.0741
202	0.040400	544	714.0	26.4444
203	0.040600	535	723.0	26.7778
204	0.040800	546	712.0	26.3704
205	0.041000	559	699.0	25.8889
206	0.041200	507	751.0	27.8148
207	0.041400	515	743.0	27.5185
208	0.041600	485	773.0	28.6296
209	0.041800	471	787.0	29.1481
210	0.042000	443	815.0	30.1852
211	0.042200	473	785.0	29.0741
212	0.042400	513	745.0	27.5926
213	0.042600	503	755.0	27.9630
214	0.042800	517	741.0	27.4444
215	0.043000	547	711.0	26.3333
216	0.043200	539	719.0	26.6296
217	0.043400	527	731.0	27.0741
218	0.043600	542	716.0	26.5185
219	0.043800	489	769.0	28.4815
220	0.044000	479	779.0	28.8519
221	0.044200	471	787.0	29.1481
222	0.044400	463	795.0	29.4444
223	0.044600	497	761.0	28.1852
224	0.044800	547	711.0	26.3333
225	0.045000	519	739.0	27.3704
226	0.045200	509	749.0	27.7407
227	0.045400	495	763.0	28.2593
228	0.045600	525	733.0	27.1481
229	0.045800	515	743.0	27.5185
230	0.046000	487	771.0	28.5556
231	0.046200	457	801.0	29.6667
232	0.046400	459	799.0	29.5926
233	0.046600	475	783.0	29.0000
234	0.046800	467	791.0	29.2963
235	0.047000	439	819.0	30.3333
236	0.047200	569	689.0	25.5185
237	0.047400	537	721.0	26.7037
238	0.047600	527	731.0	27.0741
239	0.047800	497	761.0	28.1852
240	0.048000	471	787.0	29.1481
241	0.048200	455	803.0	29.7407
242	0.048400	428	830.0	30.7407
243	0.048600	455	803.0	29.7407
244	0.048800	471	787.0	29.1481
245	0.049000	511	747.0	27.6667
246	0.049200	523	735.0	27.2222
247	0.049400	539	719.0	26.6296
248	0.049600	533	725.0	26.8519
249	0.049800	544	714.0	26.4444
250	0.050000	511	747.0	27.6667
251	0.050200	483	775.0	28.7037
252	0.050400	529	729.0	27.0000
253	0.050600	519	739.0	27.3704
254	0.050800	491	767.0	28.4074
255	0.051000	507	751.0	27.8148
256	0.051200	479	779.0	28.8519
257	0.051400	447	811.0	30.0370
258	0.051600	493	765.0	28.3333
259	0.051800	509	749.0	27.7407
260	0.052000	503	755.0	27.9630
261	0.052200	475	783.0	29.0000
262	0.052400	447	811.0	30.0370
263	0.052600	503	755.0	27.9630
264	0.052800	471	787.0	29.1481
265	0.053000	443	815.0	30.1852
266	0.053200	497	761.0	28.1852
267	0.053400	475	783.0	29.0000
268	0.053600	467	791.0	29.2963
269	0.053800	563	695.0	25.7407
270	0.054000	451	807.0	29.8889
271	0.054200	475	783.0	29.0000
272	0.054400	515	743.0	27.5185
273	0.054600	540	718.0	26.5926
274	0.054800	475	783.0	29.0000
275	0.055000	497	761.0	28.1852
276	0.055200	487	771.0	28.5556
277	0.055400	542	716.0	26.5185
278	0.055600	487	771.0	28.5556
279	0.055800	519	739.0	27.3704
280	0.056000	509	749.0	27.7407
281	0.056200	479	779.0	28.8519
282	0.056400	489	769.0	28.4815
283	0.056600	483	775.0	28.7037
284	0.056800	473	785.0	29.0741
285	0.057000	515	743.0	27.5185
286	0.057200	485	773.0	28.6296
287	0.057400	477	781.0	28.9259
288	0.057600	517	741.0	27.4444
289	0.057800	489	769.0	28.4815
290	0.058000	557	701.0	25.9630
291	0.058200	503	755.0	27.9630
292	0.058400	544	714.0	26.4444
293	0.058600	533	725.0	26.8519
294	0.058800	507	751.0	27.8148
295	0.059000	491	767.0	28.4074
296	0.059200	527	731.0	27.0741
297	0.059400	493	765.0	28.3333
298	0.059600	463	795.0	29.4444
299	0.059800	546	712.0	26.3704
300	0.060000	493	765.0	28.3333
301	0.060200	563	695.0	25.7407
302	0.060400	555	703.0	26.0370
303	0.060600	543	715.0	26.4815
304	0.060800	517	741.0	27.4444
305	0.061000	517	741.0	27.4444
306	0.061200	557	701.0	25.9630
307	0.061400	549	709.0	26.2593
308	0.061600	517	741.0	27.4444
309	0.061800	507	751.0	27.8148
310	0.062000	481	777.0	28.7778
311	0.062200	544	714.0	26.4444
312	0.062400	537	721.0	26.7037
313	0.062600	507	751.0	27.8148
314	0.062800	499	759.0	28.1111
315	0.063000	487	771.0	28.5556
316	0.063200	497	761.0	28.1852
317	0.063400	469	789.0	29.2222
318	0.063600	443	815.0	30.1852
319	0.063800	459	799.0	29.5926
320	0.064000	499	759.0	28.1111
321	0.064200	471	787.0	29.1481
322	0.064400	459	799.0	29.5926
323	0.064600	451	807.0	29.8889
324	0.064800	463	795.0	29.4444
325	0.065000	495	763.0	28.2593
326	0.065200	544	714.0	26.4444
327	0.065400	509	749.0	27.7407
328	0.065600	501	757.0	28.0370
329	0.065800	473	785.0	29.0741
330	0.066000	446	812.0	30.0741
331	0.066200	451	807.0	29.8889
332	0.066400	459	799.0	29.5926
333	0.066600	451	807.0	29.8889
334	0.066800	548	710.0	26.2963
335	0.067000	515	743.0	27.5185
336	0.067200	505	753.0	27.8889
337	0.067400	535	723.0	26.7778
338	0.067600	547	711.0	26.3333
339	0.067800	543	715.0	26.4815
340	0.068000	555	703.0	26.0370
341	0.068200	523	735.0	27.2222
342	0.068400	513	745.0	27.5926
343	0.068600	483	775.0	28.7037
344	0.068800	453	805.0	29.8148
345	0.069000	459	799.0	29.5926
346	0.069200	449	809.0	29.9630
347	0.069400	451	807.0	29.8889
348	0.069600	511	747.0	27.6667
349	0.069800	481	777.0	28.7778
350	0.070000	475	783.0	29.0000
351	0.070200	467	791.0	29.2963
352	0.070400	459	799.0	29.5926
353	0.070600	479	779.0	28.8519
354	0.070800	467	791.0	29.2963
355	0.071000	564	694.0	25.7037
356	0.071200	443	815.0	30.1852
357	0.071400	523	735.0	27.2222
358	0.071600	493	765.0	28.3333
359	0.071800	467	791.0	29.2963
360	0.072000	503	755.0	27.9630
361	0.072200	497	761.0	28.1852
362	0.072400	469	789.0	29.2222
363	0.072600	459	799.0	29.5926
364	0.072800	459	799.0	29.5926
365	0.073000	447	811.0	30.0370
366	0.073200	539	719.0	26.6296
367	0.073400	552	706.0	26.1481
368	0.073600	544	714.0	26.4444
369	0.073800	511	747.0	27.6667
370	0.074000	503	755.0	27.9630
371	0.074200	475	783.0	29.0000
372	0.074400	548	710.0	26.2963
373	0.074600	543	715.0	26.4815
374	0.074800	533	725.0	26.8519
375	0.075000	507	751.0	27.8148
376	0.075200	542	716.0	26.5185
377	0.075400	531	727.0	26.9259
378	0.075600	523	735.0	27.2222
379	0.075800	491	767.0	28.4074
380	0.076000	463	795.0	29.4444
381	0.076200	467	791.0	29.2963
382	0.076400	459	799.0	29.5926
383	0.076600	445	813.0	30.1111
384	0.076800	511	747.0	27.6667
385	0.077000	459	799.0	29.5926
386	0.077200	523	735.0	27.2222
387	0.077400	495	763.0	28.2593
388	0.077600	519	739.0	27.3704
389	0.077800	511	747.0	27.6667
390	0.078000	507	751.0	27.8148
391	0.078200	481	777.0	28.7778
392	0.078400	471	787.0	29.1481
393	0.078600	497	761.0	28.1852
394	0.078800	489	769.0	28.4815
395	0.079000	548	710.0	26.2963
396	0.079200	491	767.0	28.4074
397	0.079400	507	751.0	27.8148
398	0.079600	459	799.0	29.5926
399	0.079800	451	807.0	29.8889
400	0.080000	523	735.0	27.2222
401	0.080200	513	745.0	27.5926
402	0.080400	503	755.0	27.9630
403	0.080600	501	757.0	28.0370
404	0.080800	549	709.0	26.2593
405	0.081000	517	741.0	27.4444
406	0.081200	507	751.0	27.8148
407	0.081400	479	779.0	28.8519
408	0.081600	465	793.0	29.3704
409	0.081800	451	807.0	29.8889
410	0.082000	459	799.0	29.5926
411	0.082200	451	807.0	29.8889
412	0.082400	419	839.0	31.0741
413	0.082600	391	867.0	32.1111
414	0.082800	543	715.0	26.4815
415	0.083000	535	723.0	26.7778
416	0.083200	548	710.0	26.2963
417	0.083400	495	763.0	28.2593
418	0.083600	505	753.0	27.8889
419	0.083800	497	761.0	28.1852
420	0.084000	548	710.0	26.2963
421	0.084200	495	763.0	28.2593
422	0.084400	553	705.0	26.1111
423	0.084600	543	715.0	26.4815
424	0.084800	509	749.0	27.7407
425	0.085000	483	775.0	28.7037
426	0.085200	507	751.0	27.8148
