# Jet breakup length measurement
# Input         : C:\Users\taran\OneDrive\meting 16-06-26\Measurement_32(3850).cine
# Rotation      : 270 deg
# Nozzle exit x : 799 px  (in rotated frame)
# Needle length : 0 px  (0.000 mm)
# Offset        : 625.6 px  (23.000 mm)
# Scale         : 27.2 px/mm
# FPS           : 5000.0
# Threshold     : 170
# Inverted      : True
# Gap tolerance : 2
#
frame	time_s	tip_x_px	length_px	length_mm
0	0.000000	461	963.0	35.4044
1	0.000200	523	901.0	33.1250
2	0.000400	511	913.0	33.5662
3	0.000600	494	930.0	34.1912
4	0.000800	491	933.0	34.3015
5	0.001000	477	947.0	34.8162
6	0.001200	445	979.0	35.9926
7	0.001400	479	945.0	34.7426
8	0.001600	447	977.0	35.9191
9	0.001800	503	921.0	33.8603
10	0.002000	491	933.0	34.3015
11	0.002200	473	951.0	34.9632
12	0.002400	442	982.0	36.1029
13	0.002600	493	931.0	34.2279
14	0.002800	477	947.0	34.8162
15	0.003000	461	963.0	35.4044
16	0.003200	429	995.0	36.5809
17	0.003400	463	961.0	35.3309
18	0.003600	477	947.0	34.8162
19	0.003800	463	961.0	35.3309
20	0.004000	481	943.0	34.6691
21	0.004200	465	959.0	35.2574
22	0.004400	432	992.0	36.4706
23	0.004600	493	931.0	34.2279
24	0.004800	475	949.0	34.8897
25	0.005000	444	980.0	36.0294
26	0.005200	505	919.0	33.7868
27	0.005400	491	933.0	34.3015
28	0.005600	459	965.0	35.4779
29	0.005800	426	998.0	36.6912
30	0.006000	390	1034.0	38.0147
31	0.006200	511	913.0	33.5662
32	0.006400	497	927.0	34.0809
33	0.006600	481	943.0	34.6691
34	0.006800	505	919.0	33.7868
35	0.007000	513	911.0	33.4926
36	0.007200	497	927.0	34.0809
37	0.007400	581	843.0	30.9926
38	0.007600	547	877.0	32.2426
39	0.007800	525	899.0	33.0515
40	0.008000	494	930.0	34.1912
41	0.008200	491	933.0	34.3015
42	0.008400	493	931.0	34.2279
43	0.008600	497	927.0	34.0809
44	0.008800	481	943.0	34.6691
45	0.009000	571	853.0	31.3603
46	0.009200	587	837.0	30.7721
47	0.009400	727	697.0	25.6250
48	0.009600	696	728.0	26.7647
49	0.009800	659	765.0	28.1250
50	0.010000	644	780.0	28.6765
51	0.010200	608	816.0	30.0000
52	0.010400	585	839.0	30.8456
53	0.010600	553	871.0	32.0221
54	0.010800	517	907.0	33.3456
55	0.011000	496	928.0	34.1176
56	0.011200	475	949.0	34.8897
57	0.011400	459	965.0	35.4779
58	0.011600	443	981.0	36.0662
59	0.011800	455	969.0	35.6250
60	0.012000	499	925.0	34.0074
61	0.012200	483	941.0	34.5956
62	0.012400	453	971.0	35.6985
63	0.012600	493	931.0	34.2279
64	0.012800	505	919.0	33.7868
65	0.013000	497	927.0	34.0809
66	0.013200	479	945.0	34.7426
67	0.013400	461	963.0	35.4044
68	0.013600	430	994.0	36.5441
69	0.013800	447	977.0	35.9191
70	0.014000	429	995.0	36.5809
71	0.014200	455	969.0	35.6250
72	0.014400	435	989.0	36.3603
73	0.014600	439	985.0	36.2132
74	0.014800	469	955.0	35.1103
75	0.015000	497	927.0	34.0809
76	0.015200	481	943.0	34.6691
77	0.015400	451	973.0	35.7721
78	0.015600	515	909.0	33.4191
79	0.015800	499	925.0	34.0074
80	0.016000	485	939.0	34.5221
81	0.016200	469	955.0	35.1103
82	0.016400	573	851.0	31.2868
83	0.016600	539	885.0	32.5368
84	0.016800	521	903.0	33.1985
85	0.017000	488	936.0	34.4118
86	0.017200	469	955.0	35.1103
87	0.017400	449	975.0	35.8456
88	0.017600	433	991.0	36.4338
89	0.017800	445	979.0	35.9926
90	0.018000	483	941.0	34.5956
91	0.018200	471	953.0	35.0368
92	0.018400	497	927.0	34.0809
93	0.018600	485	939.0	34.5221
94	0.018800	471	953.0	35.0368
95	0.019000	441	983.0	36.1397
96	0.019200	451	973.0	35.7721
97	0.019400	443	981.0	36.0662
98	0.019600	487	937.0	34.4485
99	0.019800	469	955.0	35.1103
100	0.020000	577	847.0	31.1397
101	0.020200	543	881.0	32.3897
102	0.020400	525	899.0	33.0515
103	0.020600	496	928.0	34.1176
104	0.020800	475	949.0	34.8897
105	0.021000	443	981.0	36.0662
106	0.021200	481	943.0	34.6691
107	0.021400	469	955.0	35.1103
108	0.021600	451	973.0	35.7721
109	0.021800	494	930.0	34.1912
110	0.022000	478	946.0	34.7794
111	0.022200	459	965.0	35.4779
112	0.022400	463	961.0	35.3309
113	0.022600	473	951.0	34.9632
114	0.022800	457	967.0	35.5515
115	0.023000	487	937.0	34.4485
116	0.023200	475	949.0	34.8897
117	0.023400	457	967.0	35.5515
118	0.023600	426	998.0	36.6912
119	0.023800	435	989.0	36.3603
120	0.024000	441	983.0	36.1397
121	0.024200	423	1001.0	36.8015
122	0.024400	491	933.0	34.3015
123	0.024600	461	963.0	35.4044
124	0.024800	439	985.0	36.2132
125	0.025000	471	953.0	35.0368
126	0.025200	453	971.0	35.6985
127	0.025400	479	945.0	34.7426
128	0.025600	461	963.0	35.4044
129	0.025800	522	902.0	33.1618
130	0.026000	463	961.0	35.3309
131	0.026200	495	929.0	34.1544
132	0.026400	477	947.0	34.8162
133	0.026600	461	963.0	35.4044
134	0.026800	441	983.0	36.1397
135	0.027000	479	945.0	34.7426
136	0.027200	467	957.0	35.1838
137	0.027400	485	939.0	34.5221
138	0.027600	491	933.0	34.3015
139	0.027800	455	969.0	35.6250
140	0.028000	461	963.0	35.4044
141	0.028200	493	931.0	34.2279
142	0.028400	505	919.0	33.7868
143	0.028600	505	919.0	33.7868
144	0.028800	495	929.0	34.1544
145	0.029000	479	945.0	34.7426
146	0.029200	649	775.0	28.4926
147	0.029400	619	805.0	29.5956
148	0.029600	597	827.0	30.4044
149	0.029800	561	863.0	31.7279
150	0.030000	531	893.0	32.8309
151	0.030200	496	928.0	34.1176
152	0.030400	505	919.0	33.7868
153	0.030600	465	959.0	35.2574
154	0.030800	575	849.0	31.2132
155	0.031000	541	883.0	32.4632
156	0.031200	519	905.0	33.2721
157	0.031400	489	935.0	34.3750
158	0.031600	569	855.0	31.4338
159	0.031800	551	873.0	32.0956
160	0.032000	517	907.0	33.3456
161	0.032200	495	929.0	34.1544
162	0.032400	508	916.0	33.6765
163	0.032600	493	931.0	34.2279
164	0.032800	459	965.0	35.4779
165	0.033000	437	987.0	36.2868
166	0.033200	611	813.0	29.8897
167	0.033400	591	833.0	30.6250
168	0.033600	555	869.0	31.9485
169	0.033800	524	900.0	33.0882
170	0.034000	489	935.0	34.3750
171	0.034200	453	971.0	35.6985
172	0.034400	461	963.0	35.4044
173	0.034600	443	981.0	36.0662
174	0.034800	461	963.0	35.4044
175	0.035000	443	981.0	36.0662
176	0.035200	441	983.0	36.1397
177	0.035400	483	941.0	34.5956
178	0.035600	497	927.0	34.0809
179	0.035800	487	937.0	34.4485
180	0.036000	467	957.0	35.1838
181	0.036200	485	939.0	34.5221
182	0.036400	453	971.0	35.6985
183	0.036600	433	991.0	36.4338
184	0.036800	451	973.0	35.7721
185	0.037000	491	933.0	34.3015
186	0.037200	462	962.0	35.3676
187	0.037400	565	859.0	31.5809
188	0.037600	534	890.0	32.7206
189	0.037800	511	913.0	33.5662
190	0.038000	501	923.0	33.9338
191	0.038200	581	843.0	30.9926
192	0.038400	601	823.0	30.2574
193	0.038600	567	857.0	31.5074
194	0.038800	549	875.0	32.1691
195	0.039000	517	907.0	33.3456
196	0.039200	483	941.0	34.5956
197	0.039400	463	961.0	35.3309
198	0.039600	445	979.0	35.9926
199	0.039800	518	906.0	33.3088
200	0.040000	421	1003.0	36.8750
201	0.040200	463	961.0	35.3309
202	0.040400	521	903.0	33.1985
203	0.040600	505	919.0	33.7868
204	0.040800	583	841.0	30.9191
205	0.041000	567	857.0	31.5074
206	0.041200	535	889.0	32.6838
207	0.041400	531	893.0	32.8309
208	0.041600	511	913.0	33.5662
209	0.041800	484	940.0	34.5588
210	0.042000	507	917.0	33.7132
211	0.042200	499	925.0	34.0074
212	0.042400	485	939.0	34.5221
213	0.042600	491	933.0	34.3015
214	0.042800	591	833.0	30.6250
215	0.043000	579	845.0	31.0662
216	0.043200	561	863.0	31.7279
217	0.043400	523	901.0	33.1250
218	0.043600	535	889.0	32.6838
219	0.043800	515	909.0	33.4191
220	0.044000	499	925.0	34.0074
221	0.044200	485	939.0	34.5221
222	0.044400	469	955.0	35.1103
223	0.044600	473	951.0	34.9632
224	0.044800	455	969.0	35.6250
225	0.045000	481	943.0	34.6691
226	0.045200	469	955.0	35.1103
227	0.045400	467	957.0	35.1838
228	0.045600	451	973.0	35.7721
229	0.045800	473	951.0	34.9632
230	0.046000	486	938.0	34.4853
231	0.046200	467	957.0	35.1838
232	0.046400	436	988.0	36.3235
233	0.046600	400	1024.0	37.6471
234	0.046800	453	971.0	35.6985
235	0.047000	517	907.0	33.3456
236	0.047200	459	965.0	35.4779
237	0.047400	465	959.0	35.2574
238	0.047600	501	923.0	33.9338
239	0.047800	485	939.0	34.5221
240	0.048000	597	827.0	30.4044
241	0.048200	579	845.0	31.0662
242	0.048400	547	877.0	32.2426
243	0.048600	512	912.0	33.5294
244	0.048800	489	935.0	34.3750
245	0.049000	501	923.0	33.9338
246	0.049200	479	945.0	34.7426
247	0.049400	449	975.0	35.8456
248	0.049600	485	939.0	34.5221
249	0.049800	469	955.0	35.1103
250	0.050000	453	971.0	35.6985
251	0.050200	437	987.0	36.2868
252	0.050400	485	939.0	34.5221
253	0.050600	455	969.0	35.6250
254	0.050800	437	987.0	36.2868
255	0.051000	477	947.0	34.8162
256	0.051200	481	943.0	34.6691
257	0.051400	523	901.0	33.1250
258	0.051600	513	911.0	33.4926
259	0.051800	502	922.0	33.8971
260	0.052000	481	943.0	34.6691
261	0.052200	518	906.0	33.3088
262	0.052400	459	965.0	35.4779
263	0.052600	511	913.0	33.5662
264	0.052800	499	925.0	34.0074
265	0.053000	485	939.0	34.5221
266	0.053200	471	953.0	35.0368
267	0.053400	455	969.0	35.6250
268	0.053600	441	983.0	36.1397
269	0.053800	475	949.0	34.8897
270	0.054000	503	921.0	33.8603
271	0.054200	487	937.0	34.4485
272	0.054400	467	957.0	35.1838
273	0.054600	493	931.0	34.2279
274	0.054800	475	949.0	34.8897
275	0.055000	443	981.0	36.0662
276	0.055200	421	1003.0	36.8750
277	0.055400	487	937.0	34.4485
278	0.055600	519	905.0	33.2721
279	0.055800	451	973.0	35.7721
280	0.056000	489	935.0	34.3750
281	0.056200	475	949.0	34.8897
282	0.056400	523	901.0	33.1250
283	0.056600	459	965.0	35.4779
284	0.056800	471	953.0	35.0368
285	0.057000	439	985.0	36.2132
286	0.057200	419	1005.0	36.9485
287	0.057400	453	971.0	35.6985
288	0.057600	433	991.0	36.4338
289	0.057800	457	967.0	35.5515
290	0.058000	423	1001.0	36.8015
291	0.058200	477	947.0	34.8162
292	0.058400	467	957.0	35.1838
293	0.058600	453	971.0	35.6985
294	0.058800	437	987.0	36.2868
295	0.059000	453	971.0	35.6985
296	0.059200	489	935.0	34.3750
297	0.059400	473	951.0	34.9632
298	0.059600	441	983.0	36.1397
299	0.059800	406	1018.0	37.4265
300	0.060000	451	973.0	35.7721
301	0.060200	417	1007.0	37.0221
302	0.060400	435	989.0	36.3603
303	0.060600	479	945.0	34.7426
304	0.060800	485	939.0	34.5221
305	0.061000	469	955.0	35.1103
306	0.061200	487	937.0	34.4485
307	0.061400	475	949.0	34.8897
308	0.061600	457	967.0	35.5515
309	0.061800	455	969.0	35.6250
310	0.062000	439	985.0	36.2132
311	0.062200	495	929.0	34.1544
312	0.062400	483	941.0	34.5956
313	0.062600	461	963.0	35.4044
314	0.062800	493	931.0	34.2279
315	0.063000	505	919.0	33.7868
316	0.063200	489	935.0	34.3750
317	0.063400	495	929.0	34.1544
318	0.063600	477	947.0	34.8162
319	0.063800	445	979.0	35.9926
320	0.064000	425	999.0	36.7279
321	0.064200	512	912.0	33.5294
322	0.064400	495	929.0	34.1544
323	0.064600	475	949.0	34.8897
324	0.064800	445	979.0	35.9926
325	0.065000	462	962.0	35.3676
326	0.065200	445	979.0	35.9926
327	0.065400	429	995.0	36.5809
328	0.065600	445	979.0	35.9926
329	0.065800	491	933.0	34.3015
330	0.066000	462	962.0	35.3676
331	0.066200	443	981.0	36.0662
332	0.066400	410	1014.0	37.2794
333	0.066600	435	989.0	36.3603
334	0.066800	453	971.0	35.6985
335	0.067000	421	1003.0	36.8750
336	0.067200	471	953.0	35.0368
337	0.067400	439	985.0	36.2132
338	0.067600	433	991.0	36.4338
339	0.067800	495	929.0	34.1544
340	0.068000	479	945.0	34.7426
341	0.068200	447	977.0	35.9191
342	0.068400	483	941.0	34.5956
343	0.068600	467	957.0	35.1838
344	0.068800	507	917.0	33.7132
345	0.069000	493	931.0	34.2279
346	0.069200	461	963.0	35.4044
347	0.069400	441	983.0	36.1397
348	0.069600	461	963.0	35.4044
349	0.069800	499	925.0	34.0074
350	0.070000	487	937.0	34.4485
351	0.070200	469	955.0	35.1103
352	0.070400	481	943.0	34.6691
353	0.070600	468	956.0	35.1471
354	0.070800	483	941.0	34.5956
355	0.071000	469	955.0	35.1103
356	0.071200	438	986.0	36.2500
357	0.071400	455	969.0	35.6250
358	0.071600	422	1002.0	36.8382
359	0.071800	439	985.0	36.2132
360	0.072000	458	966.0	35.5147
361	0.072200	475	949.0	34.8897
362	0.072400	483	941.0	34.5956
363	0.072600	537	887.0	32.6103
364	0.072800	506	918.0	33.7500
365	0.073000	555	869.0	31.9485
366	0.073200	523	901.0	33.1250
367	0.073400	501	923.0	33.9338
368	0.073600	483	941.0	34.5956
369	0.073800	469	955.0	35.1103
370	0.074000	453	971.0	35.6985
371	0.074200	493	931.0	34.2279
372	0.074400	475	949.0	34.8897
373	0.074600	442	982.0	36.1029
374	0.074800	461	963.0	35.4044
375	0.075000	449	975.0	35.8456
376	0.075200	505	919.0	33.7868
377	0.075400	498	926.0	34.0441
378	0.075600	481	943.0	34.6691
379	0.075800	459	965.0	35.4779
380	0.076000	453	971.0	35.6985
381	0.076200	477	947.0	34.8162
382	0.076400	465	959.0	35.2574
383	0.076600	449	975.0	35.8456
384	0.076800	491	933.0	34.3015
385	0.077000	491	933.0	34.3015
386	0.077200	479	945.0	34.7426
387	0.077400	459	965.0	35.4779
388	0.077600	487	937.0	34.4485
389	0.077800	474	950.0	34.9265
390	0.078000	489	935.0	34.3750
391	0.078200	501	923.0	33.9338
392	0.078400	487	937.0	34.4485
393	0.078600	469	955.0	35.1103
394	0.078800	435	989.0	36.3603
395	0.079000	469	955.0	35.1103
396	0.079200	453	971.0	35.6985
397	0.079400	495	929.0	34.1544
398	0.079600	479	945.0	34.7426
399	0.079800	461	963.0	35.4044
400	0.080000	449	975.0	35.8456
401	0.080200	621	803.0	29.5221
402	0.080400	587	837.0	30.7721
403	0.080600	-1	0.0	0.0000
404	0.080800	-1	0.0	0.0000
405	0.081000	774	650.0	23.8971
406	0.081200	740	684.0	25.1471
407	0.081400	708	716.0	26.3235
408	0.081600	676	748.0	27.5000
409	0.081800	661	763.0	28.0515
410	0.082000	628	796.0	29.2647
411	0.082200	593	831.0	30.5515
412	0.082400	556	868.0	31.9118
413	0.082600	537	887.0	32.6103
414	0.082800	517	907.0	33.3456
415	0.083000	497	927.0	34.0809
416	0.083200	466	958.0	35.2206
417	0.083400	507	917.0	33.7132
418	0.083600	489	935.0	34.3750
419	0.083800	457	967.0	35.5515
420	0.084000	469	955.0	35.1103
421	0.084200	687	737.0	27.0956
422	0.084400	587	837.0	30.7721
423	0.084600	639	785.0	28.8603
424	0.084800	621	803.0	29.5221
425	0.085000	587	837.0	30.7721
426	0.085200	554	870.0	31.9853
427	0.085400	518	906.0	33.3088
428	0.085600	498	926.0	34.0441
429	0.085800	464	960.0	35.2941
430	0.086000	515	909.0	33.4191
431	0.086200	499	925.0	34.0074
432	0.086400	-1	0.0	0.0000
433	0.086600	786	638.0	23.4559
434	0.086800	750	674.0	24.7794
435	0.087000	714	710.0	26.1029
436	0.087200	679	745.0	27.3897
437	0.087400	647	777.0	28.5662
438	0.087600	635	789.0	29.0074
439	0.087800	602	822.0	30.2206
440	0.088000	566	858.0	31.5441
441	0.088200	530	894.0	32.8676
442	0.088400	533	891.0	32.7574
443	0.088600	502	922.0	33.8971
444	0.088800	481	943.0	34.6691
445	0.089000	463	961.0	35.3309
446	0.089200	475	949.0	34.8897
447	0.089400	461	963.0	35.4044
448	0.089600	445	979.0	35.9926
449	0.089800	473	951.0	34.9632
450	0.090000	477	947.0	34.8162
451	0.090200	445	979.0	35.9926
452	0.090400	457	967.0	35.5515
453	0.090600	443	981.0	36.0662
454	0.090800	475	949.0	34.8897
455	0.091000	461	963.0	35.4044
